household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,364.6840850711759,370.3328121008617,254.2688799322347,116.06393216862699,96.30330323269762,0.3749762170423878,0.6972305355266839,0.6865956016421886,Fall,LOAD_PRIORITY
2,small_family,middle,541.3667980102372,543.625224538282,361.1423319527297,182.4828925855523,162.8857922012901,-9.735043541996845,0.6670936106168457,0.6643222493206772,Fall,LOAD_PRIORITY
3,family_house,high,639.7770053041562,779.3640914583732,505.1855488235427,274.1785426348305,114.31721561640528,102.74841292135811,0.7896275493417783,0.6482022386715585,Fall,LOAD_PRIORITY
4,luxury_house,luxury,754.3834066572147,1259.3734552966175,713.7898527633722,545.5836025332454,18.56436836555603,392.47977037093364,0.9461897577072664,0.5667817197205056,Fall,LOAD_PRIORITY
5,apartment,low,335.3471951981426,378.7418803090749,247.04674119884515,131.69513911022975,72.66181087986703,33.375724540791964,0.736689451220475,0.6522826073452479,Fall,LOAD_PRIORITY
6,small_family,middle,619.1843143480994,541.8004212639842,399.13491141859316,142.66550984539106,198.97135619964888,-72.07508819564072,0.6446140546031394,0.7366825416773174,Fall,LOAD_PRIORITY
7,family_house,high,639.2633840202145,796.6334693948162,514.8703901413953,281.76307925342087,103.11829787463542,118.51584135289377,0.8054119835606199,0.6463077562288844,Fall,LOAD_PRIORITY
8,luxury_house,luxury,755.6131135507804,1246.2957700776956,726.1600070593515,520.1357630183443,7.2987529775546145,383.5329445839591,0.9610209167056104,0.5826546350342519,Fall,LOAD_PRIORITY
9,apartment,low,335.9502817207298,377.7006068610849,241.41965085248984,136.28095600859504,81.85796009810994,28.53855291814733,0.7186172001879082,0.6391825865963777,Fall,LOAD_PRIORITY
10,small_family,middle,586.6983349730817,551.302346974716,393.3737241207824,157.9286228539336,172.75443690793546,-37.03252607669171,0.6704872004431899,0.7135353699824235,Fall,LOAD_PRIORITY
