household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,356.70449175503785,390.7836351102799,3.794733192202055,386.9889019180778,356.70449175503785,-30.79236614097573,0.010638310646247871,0.009710573451038129,Fall,PRODUCE_PRIORITY
2,small_family,middle,568.6301325486087,516.2478550766284,4.74341649025257,511.5044385863759,568.6301325486087,-128.13879035396593,0.00834183104049113,0.009188254137246709,Fall,PRODUCE_PRIORITY
3,family_house,high,611.6389001878196,780.1325215160397,6.403612261840967,773.7289092541987,611.6389001878196,29.821671771611364,0.010469596129145109,0.008208364713980594,Fall,PRODUCE_PRIORITY
4,luxury_house,luxury,741.5797518516374,1268.7562512929103,8.538149682454623,1260.2181016104555,741.5797518516374,277.741799541368,0.011513461176813239,0.006729542947082175,Fall,PRODUCE_PRIORITY
5,apartment,low,389.9785219554965,394.52860656265966,3.794733192202055,390.7338733704576,389.9785219554965,-57.93026473210364,0.009730620992084025,0.009618398080848339,Fall,PRODUCE_PRIORITY
6,small_family,middle,565.7909811087524,546.4240293291554,4.74341649025257,541.6806128389028,565.7909811087524,-102.95142336870003,0.008383690529950007,0.00868083436242008,Fall,PRODUCE_PRIORITY
7,family_house,high,574.8326465694092,798.5498024321262,6.403612261840967,792.1461901702853,574.8326465694092,76.76026071524575,0.01113995925606802,0.008019051839143435,Fall,PRODUCE_PRIORITY
8,luxury_house,luxury,726.0303768864088,1264.0467196988525,8.538149682454623,1255.508570016398,726.0303768864088,288.2040883145304,0.011760044695472103,0.00675461559244326,Fall,PRODUCE_PRIORITY
9,apartment,low,405.41646221242115,381.54701193365497,3.794733192202055,377.7522787414529,405.41646221242115,-81.56060693508937,0.009360086592176355,0.009945650400904987,Fall,PRODUCE_PRIORITY
10,small_family,middle,564.0374037466515,542.7720916585597,4.74341649025257,538.0286751683071,564.0374037466515,-104.11215699575604,0.008409755201949635,0.00873924168753411,Fall,PRODUCE_PRIORITY
11,family_house,high,534.8411398898841,793.1003639913313,6.403612261840967,786.6967517294903,534.8411398898841,108.66553789622208,0.011972923891306076,0.008074151207817324,Fall,PRODUCE_PRIORITY
12,luxury_house,luxury,753.0852946273292,1261.753994395507,8.538149682454623,1253.2158447130523,753.0852946273292,262.1351183701929,0.01133755995949941,0.0067668893622525525,Fall,PRODUCE_PRIORITY
13,apartment,low,440.0758680885015,386.21179760378664,3.794733192202055,382.4170644115846,440.0758680885015,-109.25548297096293,0.008622906792605394,0.009825523755996338,Fall,PRODUCE_PRIORITY
14,small_family,middle,569.8207674268556,529.0504011813262,4.74341649025257,524.3069846910736,569.8207674268556,-119.60845216586483,0.008324400866736493,0.008965906612415206,Fall,PRODUCE_PRIORITY
15,family_house,high,674.5967784628277,776.1144458635154,6.403612261840967,769.7108336016743,674.5967784628277,-29.85397541528937,0.009492503472122384,0.008250860805349683,Fall,PRODUCE_PRIORITY
16,luxury_house,luxury,675.4098399587235,1256.3130092241108,8.538149682454623,1247.774859541656,675.4098399587235,327.96228869339086,0.012641435136592646,0.006796196186591842,Fall,PRODUCE_PRIORITY
17,apartment,low,300.59168009310844,390.22595813772705,3.794733192202055,386.43122494552495,300.59168009310844,19.29090662534611,0.012624212323596696,0.009724450957367462,Fall,PRODUCE_PRIORITY
18,small_family,middle,528.889167558861,527.500223354609,4.74341649025257,522.7568068643563,528.889167558861,-83.93264565470764,0.008968639898877617,0.008992254941783854,Fall,PRODUCE_PRIORITY
19,family_house,high,567.3918784243707,798.0379424455799,6.403612261840967,791.6343301837389,567.3918784243707,83.0730570558706,0.011286048506058275,0.008024195243420578,Fall,PRODUCE_PRIORITY
20,luxury_house,luxury,681.4392927434233,1252.8645993896225,8.538149682454623,1244.3264497071677,681.4392927434233,319.94947381129487,0.012529582272957399,0.006814902174276683,Fall,PRODUCE_PRIORITY
21,apartment,low,325.0573445620394,388.6480064880103,3.794733192202055,384.85327329580826,325.0573445620394,-3.911655133979309,0.011674042305719397,0.009763933247703721,Fall,PRODUCE_PRIORITY
22,small_family,middle,598.3058873923262,529.8677934790275,4.74341649025257,525.1243769887749,598.3058873923262,-144.6320159115125,0.007928079248770916,0.008952075496244173,Fall,PRODUCE_PRIORITY
23,family_house,high,538.8081689861831,775.1441223861824,6.403612261840967,768.7405101243414,538.8081689861831,91.62803050569136,0.011884772040279105,0.008261189212308367,Fall,PRODUCE_PRIORITY
24,luxury_house,luxury,739.9486858635514,1255.3518565522654,8.538149682454623,1246.8137068698106,739.9486858635514,269.15646287516165,0.011538840254159303,0.006801399653722617,Fall,PRODUCE_PRIORITY
25,apartment,low,393.7717090168986,400.36575917618677,3.794733192202055,396.5710259839848,393.7717090168986,-56.96626862722019,0.009636886310791832,0.009478166164884564,Fall,PRODUCE_PRIORITY
26,small_family,middle,481.1825703287086,534.0192281469921,4.74341649025257,529.2758116567395,481.1825703287086,-36.107454553283105,0.009857831066100785,0.008882482577850017,Fall,PRODUCE_PRIORITY
27,family_house,high,577.1500390673762,782.7887621543894,6.403612261840967,776.3851498925484,577.1500390673762,62.85382725877275,0.011095229712170935,0.008180511232962723,Fall,PRODUCE_PRIORITY
28,luxury_house,luxury,780.7427415272762,1267.7943690999198,8.538149682454623,1259.2562194174652,780.7427415272762,241.7736971885504,0.010935932194198097,0.006734648686376756,Fall,PRODUCE_PRIORITY
29,apartment,low,330.7208344328744,376.40868624527434,3.794733192202055,372.6139530530723,330.7208344328744,-18.188286199782738,0.011474128017091292,0.010081417700677987,Fall,PRODUCE_PRIORITY
30,small_family,middle,478.27035860932574,541.9640746604882,4.74341649025257,537.2206581702357,478.27035860932574,-27.52782912071649,0.009917855883950402,0.008752271067457873,Fall,PRODUCE_PRIORITY
31,family_house,high,652.5704045413524,781.7757557821071,6.403612261840967,775.3721435202663,652.5704045413524,-5.784256447017469,0.009812906342790143,0.008191111344243007,Fall,PRODUCE_PRIORITY
32,luxury_house,luxury,743.9532948442234,1273.3534634441837,8.538149682454623,1264.8153137617292,743.9532948442234,279.0535199614958,0.01147672809788742,0.006705247150591258,Fall,PRODUCE_PRIORITY
33,apartment,low,360.1008760844822,375.63116978971334,3.794733192202055,371.8364365975113,360.1008760844822,-45.21346102790051,0.010537972674389672,0.010102285160005308,Fall,PRODUCE_PRIORITY
34,small_family,middle,625.1792729376684,545.5593672437491,4.74341649025257,540.8159507534965,625.1792729376684,-157.04938257877927,0.007587290071156114,0.00869459269706439,Fall,PRODUCE_PRIORITY
35,family_house,high,612.4509614137845,788.8398432366206,6.403612261840967,782.4362309747796,612.4509614137845,35.6213079586787,0.010455714278019649,0.008117759665342028,Fall,PRODUCE_PRIORITY
36,luxury_house,luxury,795.7580792552887,1256.183671179786,8.538149682454623,1247.6455214973316,795.7580792552887,219.55186979323878,0.010729579636118885,0.006796895930382331,Fall,PRODUCE_PRIORITY
37,apartment,low,364.93878002399845,377.5980350349546,3.794733192202055,373.80330184275255,364.93878002399845,-48.09242563953421,0.010398273354102056,0.010049663504871716,Fall,PRODUCE_PRIORITY
38,small_family,middle,501.7675877842226,543.002638201576,4.74341649025257,538.2592217113233,501.7675877842226,-47.89641272230784,0.009453413504047221,0.008735531204715246,Fall,PRODUCE_PRIORITY
39,family_house,high,739.1942264784766,782.6032447886802,6.403612261840967,776.1996325268392,739.1942264784766,-83.12507943549952,0.00866296303793902,0.008182450436389491,Fall,PRODUCE_PRIORITY
40,luxury_house,luxury,701.2480637273044,1251.257980318449,8.538149682454623,1242.7198306359944,701.2480637273044,300.9166156224219,0.012175648139507547,0.006823652529498064,Fall,PRODUCE_PRIORITY
41,apartment,low,397.8792684956121,400.28426170794694,3.794733192202055,396.4895285157449,397.8792684956121,-60.724195259242265,0.009537398634892443,0.009480095909868038,Fall,PRODUCE_PRIORITY
42,small_family,middle,530.5723983693382,537.0225906509473,4.74341649025257,532.2791741606948,530.5723983693382,-78.3057779118833,0.008940187059920553,0.008832806240986767,Fall,PRODUCE_PRIORITY
43,family_house,high,639.4590273863109,783.0655336098864,6.403612261840967,776.6619213480456,639.4590273863109,6.983316363354334,0.010014108781941408,0.008177619863206963,Fall,PRODUCE_PRIORITY
44,luxury_house,luxury,717.3492614978359,1269.0560542851044,8.538149682454623,1260.5179046026499,717.3492614978359,299.7740931039351,0.0119023607337754,0.006727953153546403,Fall,PRODUCE_PRIORITY
45,apartment,low,311.8277630330384,369.1509677516243,3.794733192202055,365.35623455942226,311.8277630330384,-6.627810810167887,0.012169324358075197,0.010279624120490627,Fall,PRODUCE_PRIORITY
46,small_family,middle,526.5942587229197,545.7718973675537,4.74341649025257,541.0284808773011,526.5942587229197,-68.16347219265191,0.009007725419863404,0.00869120691836957,Fall,PRODUCE_PRIORITY
47,family_house,high,594.2288022253339,790.9122975354361,6.403612261840967,784.5086852735951,594.2288022253339,53.57559195239594,0.010776341095988634,0.008096488424563989,Fall,PRODUCE_PRIORITY
48,luxury_house,luxury,600.2228866059596,1271.1161870561418,8.538149682454623,1262.5780373736875,600.2228866059596,406.7329300849019,0.014224965213730402,0.00671704897585221,Fall,PRODUCE_PRIORITY
49,apartment,low,272.35168389143155,386.3234235868497,3.794733192202055,382.5286903946477,272.35168389143155,41.78000229369741,0.01393320995112614,0.00982268472610219,Fall,PRODUCE_PRIORITY
50,small_family,middle,538.2922217903765,540.957447237032,4.74341649025257,536.2140307467795,538.2922217903765,-82.30247655125424,0.008811972936327819,0.008768557516824683,Fall,PRODUCE_PRIORITY
