household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,162.87847638890094,396.32760328636914,140.0382121071887,256.2893911791805,11.911120008883382,181.49703537639033,0.859771132514912,0.35333953766021986,Summer,CHARGE_PRIORITY
2,small_family,middle,282.2526609563745,553.6825166959984,224.33541614913034,329.34710054686803,39.60978093623619,211.36152256753846,0.794803547250894,0.40516976676058314,Summer,CHARGE_PRIORITY
3,family_house,high,359.2456066739507,782.8661823926788,315.30335879887406,467.56282359380464,17.736077301845583,334.70964812369243,0.8776818781949409,0.4027551143353906,Summer,CHARGE_PRIORITY
4,luxury_house,luxury,353.1032135629042,1263.9160536015415,326.33104188906844,937.585011712473,0.0,703.1887587843548,0.9241803227908987,0.25819043991029694,Summer,CHARGE_PRIORITY
5,apartment,low,200.88021158020968,368.7692474511365,160.88356522913583,207.8856822220007,27.013001317734407,131.60256048053955,0.8008930494624477,0.4362716423376751,Summer,CHARGE_PRIORITY
6,small_family,middle,304.0276991603222,527.1751805980962,234.12639333277306,293.04878726532297,50.839684862920336,174.03087407236393,0.7700824430780294,0.44411497723991783,Summer,CHARGE_PRIORITY
7,family_house,high,446.21977279624633,786.8844876299308,368.7435627652208,418.14092486471,47.23909425497301,271.0905088190567,0.8263720822017386,0.46861206258603955,Summer,CHARGE_PRIORITY
8,luxury_house,luxury,489.49017679894024,1253.7183625129846,449.2348703598623,804.4834921531224,0.0,603.3626191148418,0.91776074710563,0.35832199941572573,Summer,CHARGE_PRIORITY
9,apartment,low,220.7740942562897,377.1423594482352,177.2445085171862,199.89785093104902,28.818501524677043,123.98673682607743,0.8028320039733857,0.4699671200458562,Summer,CHARGE_PRIORITY
10,small_family,middle,326.19908262868,550.3010361862639,247.91195257074173,302.38908361552217,58.11224797488097,174.49078953424873,0.7600019919520916,0.45050242734202195,Summer,CHARGE_PRIORITY
11,family_house,high,366.0613792934131,804.1121844448535,324.2210061934529,479.89117825140056,14.122626987677899,347.2080193996403,0.8857012089592128,0.40320369777419807,Summer,CHARGE_PRIORITY
12,luxury_house,luxury,532.3259293942543,1269.2346028443808,486.0796461317868,783.1549567125942,2.8740792218611864,584.7795462347706,0.913124120564459,0.38297068567345416,Summer,CHARGE_PRIORITY
13,apartment,low,173.23085635887514,390.89613223275376,143.3690033145715,247.52712891818229,18.804843998624154,168.720987089875,0.8276181641540807,0.3667700739213362,Summer,CHARGE_PRIORITY
14,small_family,middle,317.13081254979954,549.3213023610625,261.6285065452515,287.692795815811,33.4840457462727,185.63395569021282,0.8249860820577553,0.47627591615459713,Summer,CHARGE_PRIORITY
15,family_house,high,383.8268376301374,785.6991558875937,319.55951078740554,466.1396451001882,37.929172601732375,315.468478483582,0.8325616644225878,0.4067199364957997,Summer,CHARGE_PRIORITY
16,luxury_house,luxury,388.660160941834,1268.5572949896114,357.5521023533383,911.0051926362733,1.6604828569029881,681.7594599059923,0.9199607736663514,0.2818572750048837,Summer,CHARGE_PRIORITY
17,apartment,low,219.74423534168218,378.55717439882176,174.33866299622102,204.2185114026007,31.21351142458343,125.07172326982544,0.7933708145978908,0.46053456330099773,Summer,CHARGE_PRIORITY
18,small_family,middle,339.4712221964147,533.0485953765765,276.0881791078905,256.9604162686861,39.63887698376359,157.04532291612736,0.8132889065575891,0.5179418565259435,Summer,CHARGE_PRIORITY
