household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,179.4901248716842,368.1638774925476,3.794733192202055,364.36914430034557,179.4901248716842,111.73574584074336,0.021141737992075464,0.010307184990680864,Summer,PRODUCE_PRIORITY
2,small_family,middle,235.76798184327853,531.5051238184609,4.74341649025257,526.7617073282083,235.76798184327853,182.88009683720557,0.0201190019661179,0.008924498142510316,Summer,PRODUCE_PRIORITY
3,family_house,high,322.55127227607807,783.4385362384189,6.403612261840967,777.0349239765779,322.55127227607807,292.4800479339632,0.019853005745889565,0.0081737264196718,Summer,PRODUCE_PRIORITY
4,luxury_house,luxury,407.1595784264583,1258.2359070035516,8.538149682454623,1249.697757321097,407.1595784264583,570.8296974070103,0.02097003272145001,0.0067858099064967495,Summer,PRODUCE_PRIORITY
5,apartment,low,187.05693150569317,367.9161555580813,3.794733192202055,364.1214223658793,187.05693150569317,104.7398284192856,0.020286514707884857,0.010314124930029058,Summer,PRODUCE_PRIORITY
6,small_family,middle,277.1143243074797,536.2895270674994,4.74341649025257,531.5461105772468,277.1143243074797,149.25669105620338,0.017117182600021007,0.008844879959133614,Summer,PRODUCE_PRIORITY
7,family_house,high,485.52741821837196,796.2190081351089,6.403612261840967,789.8153958732679,485.52741821837196,155.38687050841617,0.013188981757897065,0.00804252623513649,Summer,PRODUCE_PRIORITY
8,luxury_house,luxury,452.5455484477654,1271.510522805423,8.538149682454623,1262.9723731229685,452.5455484477654,539.9382862392374,0.018866939939505625,0.006714965805879689,Summer,PRODUCE_PRIORITY
9,apartment,low,215.127072547129,363.5672588296205,3.794733192202055,359.7725256374185,215.127072547129,76.21502893564775,0.01763949626270642,0.010437499802424153,Summer,PRODUCE_PRIORITY
10,small_family,middle,277.945904043755,536.1962497043775,4.74341649025257,531.4528332141249,277.945904043755,148.4383112712142,0.017065970108722482,0.008846418625396523,Summer,PRODUCE_PRIORITY
11,family_house,high,362.91660154144904,783.9471561895273,6.403612261840967,777.5435439276864,362.91660154144904,256.5327165584607,0.017644858996921926,0.008168423357725439,Summer,PRODUCE_PRIORITY
12,luxury_house,luxury,444.28222430253527,1254.0325685532405,8.538149682454623,1245.494418870786,444.28222430253527,534.2668122808077,0.019217851211261933,0.006808554974218066,Summer,PRODUCE_PRIORITY
13,apartment,low,245.36798951853118,386.6561944053427,3.794733192202055,382.8614612131406,245.36798951853118,66.31490534317743,0.015465477789699466,0.009814230955327533,Summer,PRODUCE_PRIORITY
14,small_family,middle,337.2985002722729,545.1998928610676,4.74341649025257,540.456476370815,337.2985002722729,101.77370703306565,0.014062963477227458,0.008700325426258525,Summer,PRODUCE_PRIORITY
15,family_house,high,357.2606170734788,784.4339628293127,6.403612261840967,778.0303505674717,357.2606170734788,261.9882075594728,0.017924204224626077,0.008163354170368002,Summer,PRODUCE_PRIORITY
16,luxury_house,luxury,498.2216175429875,1273.4840868697954,8.538149682454623,1264.9459371873409,498.2216175429875,500.3099971018169,0.017137252543478677,0.0067045593820031675,Summer,PRODUCE_PRIORITY
17,apartment,low,238.7829557250036,384.212271810134,3.794733192202055,380.41753861793194,238.7829557250036,70.40849381094569,0.01589197679826148,0.009876657958695544,Summer,PRODUCE_PRIORITY
18,small_family,middle,231.47538751163734,531.6586270180196,4.74341649025257,526.915210527767,231.47538751163734,186.85855913535164,0.020492098711851585,0.00892192141573544,Summer,PRODUCE_PRIORITY
19,family_house,high,387.8391679166973,776.7319973267707,6.403612261840967,770.3283850649298,387.8391679166973,228.69103767366977,0.016510999382136612,0.00824430084492447,Summer,PRODUCE_PRIORITY
20,luxury_house,luxury,529.011952123245,1262.3217714581247,8.538149682454623,1253.7836217756699,529.011952123245,464.22695942083186,0.016139804872434098,0.006763845697275817,Summer,PRODUCE_PRIORITY
21,apartment,low,181.08837142298006,374.0304897418739,3.794733192202055,370.23575654967186,181.08837142298006,114.69728313157185,0.02095514561417335,0.010145518336809595,Summer,PRODUCE_PRIORITY
22,small_family,middle,288.7657140824846,539.5166490439057,4.74341649025257,534.7732325536531,288.7657140824846,141.19078174100366,0.016426522467614127,0.00879197425817818,Summer,PRODUCE_PRIORITY
23,family_house,high,351.16089751991575,790.2154787179691,6.403612261840967,783.8118664561282,351.16089751991575,271.81409207417204,0.01823555044729259,0.008103627977814443,Summer,PRODUCE_PRIORITY
24,luxury_house,luxury,426.366564171224,1266.3114461574937,8.538149682454623,1257.773296475039,426.366564171224,559.6000646021776,0.02002537346954298,0.006742535344178446,Summer,PRODUCE_PRIORITY
25,apartment,low,160.53872888720514,396.5043833343109,3.794733192202055,392.70965014210884,160.53872888720514,150.04738160809703,0.023637493697039564,0.009570469714082689,Summer,PRODUCE_PRIORITY
26,small_family,middle,299.9865181129226,546.9051168541287,4.74341649025257,542.1617003638762,299.9865181129226,136.63340897127676,0.015812098890614232,0.008673198227760852,Summer,PRODUCE_PRIORITY
27,family_house,high,430.27275518003796,782.384761644629,6.403612261840967,775.981149382788,430.27275518003796,194.7403823750568,0.014882681240557562,0.00818473540867554,Summer,PRODUCE_PRIORITY
28,luxury_house,luxury,466.0589617688882,1254.0821404117269,8.538149682454623,1245.5439907292725,466.0589617688882,514.7049274549549,0.018319891650723296,0.0068082858429444415,Summer,PRODUCE_PRIORITY
