household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,418.9140562428905,375.28006722370804,266.75470733247386,108.52535989123422,128.06397025317216,-33.86355330942928,0.6367766928732677,0.710815016917642,Winter,CHARGE_PRIORITY
2,small_family,middle,563.8637559876361,559.8903959883355,370.4542665236184,189.43612946471717,163.02157120708455,-4.642316987838228,0.6569925138648943,0.66165497600594,Winter,CHARGE_PRIORITY
3,family_house,high,622.3109289332056,779.9653403825426,490.5683388426337,289.397001539909,89.82853796816677,136.20206698358163,0.7883010180836593,0.6289617159167983,Winter,CHARGE_PRIORITY
4,luxury_house,luxury,858.8390114677413,1267.5294252589238,778.1438203969974,489.3856048619264,7.484007886803836,360.30359654832137,0.9060415398075162,0.6139059219379011,Winter,CHARGE_PRIORITY
5,apartment,low,456.8392140672222,382.6035705972846,286.4087576186668,96.19481297861782,144.89679547542715,-58.26100619392108,0.6269355799577284,0.7485783710056665,Winter,CHARGE_PRIORITY
6,small_family,middle,572.4342601260482,526.2210042769789,389.812349655056,136.40865462192292,149.74168868836483,-32.46102885308616,0.680973129681687,0.7407768722395514,Winter,CHARGE_PRIORITY
7,family_house,high,698.5552447428611,795.2997028484558,545.0385084943194,250.26119435413648,106.90336726809474,91.4828652243171,0.7802367995890557,0.685324672626184,Winter,CHARGE_PRIORITY
8,luxury_house,luxury,851.9923315313572,1254.909568920678,770.2059219188425,484.70364700183546,10.732261057445534,353.86870029967565,0.9040056974861345,0.6137541230012938,Winter,CHARGE_PRIORITY
9,apartment,low,387.84622455373557,383.9011913623446,265.35327661546813,118.54791474687653,99.83207838943237,-0.9379344903317417,0.6841713540483461,0.6912020139187711,Winter,CHARGE_PRIORITY
10,small_family,middle,678.7177573354832,550.3122416858477,409.8013224636128,140.5109192222348,236.00572882039017,-107.02196652167505,0.6037875361805987,0.744670555043827,Winter,CHARGE_PRIORITY
11,family_house,high,668.2164086656234,781.8526084095471,503.6316278214937,278.2209805880533,122.5781867879502,98.34536733188479,0.7536953916280015,0.6441516244935046,Winter,CHARGE_PRIORITY
12,luxury_house,luxury,924.1998290087483,1265.581876142157,833.2910074160665,432.2908687260904,13.576209401616179,311.9995630831133,0.9016351023455758,0.6584252059267532,Winter,CHARGE_PRIORITY
13,apartment,low,359.72265249057193,377.5937279730971,265.16023735331044,112.43349061978671,71.51554508782382,19.96112738579859,0.7371241024646344,0.7022368691786179,Winter,CHARGE_PRIORITY
14,small_family,middle,479.7303767527514,553.4981534491224,337.5253538375349,215.97279961158756,114.19061029003164,59.20805044766219,0.7035730280875926,0.6098039383406186,Winter,CHARGE_PRIORITY
15,family_house,high,726.5945966913966,797.7828330328314,545.5163889213509,252.26644411148044,135.50953441967422,67.24125210590351,0.7507850889690082,0.6837905835194891,Winter,CHARGE_PRIORITY
16,luxury_house,luxury,762.879836504246,1270.2433980225223,694.7150365905549,575.5283614319676,3.8754702229327256,428.15834787333625,0.9106480514335736,0.5469148965246085,Winter,CHARGE_PRIORITY
17,apartment,low,364.4372346227171,384.48256721236055,242.60033160997466,141.88223560238586,101.68207014367844,14.897813572478782,0.6656848108869177,0.6309787550809285,Winter,CHARGE_PRIORITY
18,small_family,middle,618.7215583427978,541.2689554507016,396.6664449580035,144.60251049269803,189.67759935207644,-62.25795654734526,0.6411065520659192,0.7328453645151494,Winter,CHARGE_PRIORITY
19,family_house,high,805.5208815943438,794.0420694170556,579.88004546341,214.16202395364556,178.10218072380565,0.3295553138090952,0.7198820771916806,0.7302888194439469,Winter,CHARGE_PRIORITY
20,luxury_house,luxury,850.1879217524772,1246.8836729300492,768.1415412792387,478.7421316508104,10.338448087611997,349.75199545925705,0.9034961819921908,0.6160490813663352,Winter,CHARGE_PRIORITY
21,apartment,low,401.36234642282886,365.6927714811625,269.4930124522979,96.19975902886463,108.7623810353804,-25.736323660193875,0.6714456770899762,0.7369383085172083,Winter,CHARGE_PRIORITY
22,small_family,middle,576.5846755079722,536.5909397545256,387.98541290575037,148.60552684877536,156.1341772910111,-29.066614425328467,0.6729027485233361,0.723056213142999,Winter,CHARGE_PRIORITY
23,family_house,high,575.9646350556502,799.5570735470199,451.88206124467854,347.6750123023413,85.49133610843063,183.81405672916844,0.784565637786107,0.5651654849853623,Winter,CHARGE_PRIORITY
24,luxury_house,luxury,756.3636495540177,1245.3186599186974,683.6486914474131,561.6699684712844,9.792873462007318,412.4388902376567,0.9038624368721576,0.548974903734315,Winter,CHARGE_PRIORITY
25,apartment,low,374.41048763634217,368.75368438196244,237.34497407090078,131.40871031106167,117.57350085463077,-7.259618035871441,0.6339164684441998,0.6436409563437856,Winter,CHARGE_PRIORITY
26,small_family,middle,553.8351825663063,547.1236363183772,381.2002957239614,165.92334059441578,140.9460452840041,-2.4089353097918575,0.6882919462746903,0.696735199175597,Winter,CHARGE_PRIORITY
27,family_house,high,858.4657985409688,781.6881572185737,589.1495861940764,192.53857102449732,221.92233118353414,-55.32616979680773,0.6862819546164602,0.7536887705839195,Winter,CHARGE_PRIORITY
28,luxury_house,luxury,880.5190408265254,1291.8851971625654,797.2895519019637,494.59564526060154,7.347255909100846,364.3342036272604,0.9054767869114609,0.6171520144770543,Winter,CHARGE_PRIORITY
29,apartment,low,332.83186113035515,385.26702791196647,227.5449188752877,157.72210903667883,86.52099962540609,40.422682114643635,0.6836632710056826,0.5906161243761605,Winter,CHARGE_PRIORITY
30,small_family,middle,557.4363018922929,525.1208849978088,351.7800724285105,173.3408125692984,177.5140398216103,-29.757026412475454,0.6310677493273141,0.669903030861129,Winter,CHARGE_PRIORITY
31,family_house,high,745.33474207015,778.9395898791398,545.3751247166099,233.56446516252987,154.67041912350277,35.96997166074493,0.7317183728774579,0.7001507328716342,Winter,CHARGE_PRIORITY
