household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,379.63948643996355,373.70491964558016,268.4233178763371,105.28160176924315,95.65370898486286,-7.1271367594442125,0.7070479427560434,0.7182761150988014,Winter,LOAD_PRIORITY
2,small_family,middle,643.5295690232603,547.0444308482813,397.2245531258933,149.81987772238804,225.04762464356043,-90.17795388741334,0.6172592095943547,0.7261285020486034,Winter,LOAD_PRIORITY
3,family_house,high,675.8181923238888,791.6286256306566,536.8189323429475,254.80969328770908,115.4610939604539,87.19228540137331,0.7943244772636643,0.6781196573270539,Winter,LOAD_PRIORITY
4,luxury_house,luxury,823.5632416363918,1261.0025422050637,773.029352231514,487.97318997354967,22.75281347344172,345.50236035406465,0.9386399406262127,0.6130275922201942,Winter,LOAD_PRIORITY
5,apartment,low,346.7921580572529,380.9952242308036,247.9803649712553,133.01485925954836,85.1168268264858,23.156000300824047,0.7150691248627241,0.6508752582710353,Winter,LOAD_PRIORITY
6,small_family,middle,596.3655222914549,557.3719579325737,386.48606173351203,170.88589619906162,189.88795717436489,-42.73473930763217,0.6480690906618661,0.6934077974914303,Winter,LOAD_PRIORITY
7,family_house,high,738.0305271052415,797.1209071335768,550.311003687421,246.80990344615572,162.6488271278129,38.723483169585194,0.7456480233221409,0.6903733157198487,Winter,LOAD_PRIORITY
8,luxury_house,luxury,780.7245693593725,1260.4437549093368,724.3213125246007,536.122442384736,30.046769432801703,375.0497392990305,0.9277552429520006,0.5746557985657208,Winter,LOAD_PRIORITY
9,apartment,low,396.10438594109945,396.71964606006657,272.62484575673363,124.094800303333,107.46271970514968,-3.6453475071349573,0.68826515290662,0.6871977439591082,Winter,LOAD_PRIORITY
10,small_family,middle,648.6898105675947,520.6267747755087,402.9621553175824,117.66461945792634,224.08551815006803,-113.42850174161647,0.621193903084428,0.7739942984901946,Winter,LOAD_PRIORITY
11,family_house,high,720.5815473214284,792.3988850342303,547.0819193207791,245.31696571345117,148.93655921882925,49.944820988142055,0.7592227713218742,0.6904122780247806,Winter,LOAD_PRIORITY
