time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Fall,CHARGE_PRIORITY
1.0,36.719177911171215,38.22,38.22,0.0,0.0,1.5008220888287853,Fall,CHARGE_PRIORITY
2.0,70.93600452900671,38.22,38.22,0.0,0.0,-32.71600452900672,Fall,CHARGE_PRIORITY
3.0,99.98597337107317,38.22,38.22,0.0,0.0,-61.76597337107317,Fall,CHARGE_PRIORITY
4.0,116.28260844331005,38.22,38.22,0.0,8.19128397742607,-78.06260844331005,Fall,CHARGE_PRIORITY
5.0,123.80949919582554,38.22,38.22,0.0,30.078317751606264,-85.58949919582554,Fall,CHARGE_PRIORITY
6.0,126.06045460133453,38.22,38.22,0.0,39.040474378225035,-87.84045460133453,Fall,CHARGE_PRIORITY
7.0,123.80949919582554,38.22,38.22,0.0,58.64221330042191,-85.58949919582554,Fall,CHARGE_PRIORITY
8.0,116.28260844331007,38.22,38.22,0.0,67.11188295366316,-78.06260844331007,Fall,CHARGE_PRIORITY
9.0,99.98597337107317,38.22,38.22,0.0,56.11532545349652,-61.76597337107317,Fall,CHARGE_PRIORITY
10.0,70.93600452900677,38.22,38.22,0.0,32.621730742985854,-32.71600452900677,Fall,CHARGE_PRIORITY
11.0,36.71917791117126,38.22,38.22,0.0,5.972239103355978,1.500822088828745,Fall,CHARGE_PRIORITY
12.0,1.7374310178150048e-14,38.22,38.22,0.0,0.0,38.219999999999985,Fall,CHARGE_PRIORITY
13.0,0.0,38.22,37.697484392214484,0.5225156077855122,0.0,38.22,Fall,CHARGE_PRIORITY
14.0,0.0,38.22,36.72,1.5,0.0,38.22,Fall,CHARGE_PRIORITY
15.0,0.0,38.22,36.477651683834125,1.7423483161658713,0.0,38.22,Fall,CHARGE_PRIORITY
16.0,0.0,38.22,35.88,2.34,0.0,38.22,Fall,CHARGE_PRIORITY
17.0,0.0,38.22,34.97461605616946,3.2453839438305394,0.0,38.22,Fall,CHARGE_PRIORITY
18.0,0.0,122.4159721414432,105.98373387738773,16.432238264055478,0.0,122.4159721414432,Fall,CHARGE_PRIORITY
19.0,0.0,115.10152319294069,95.68200060294583,19.419522589994862,0.0,115.10152319294069,Fall,CHARGE_PRIORITY
20.0,0.0,108.87420229269915,56.73979240110058,52.13440989159857,0.0,108.87420229269915,Fall,CHARGE_PRIORITY
21.0,0.0,110.01581598854212,14.23555297238978,95.78026301615235,0.0,110.01581598854212,Fall,CHARGE_PRIORITY
22.0,0.0,38.22,2.531401737017813,35.68859826298219,0.0,38.22,Fall,CHARGE_PRIORITY
23.0,0.0,38.22,0.7500142445819153,37.46998575541809,0.0,38.22,Fall,CHARGE_PRIORITY
24.0,0.0,38.22,0.5599999999999999,37.66,0.0,38.22,Fall,CHARGE_PRIORITY
25.0,32.755122920426636,38.22,26.8051255363535,11.414874463646498,0.0,5.4648770795733626,Fall,CHARGE_PRIORITY
26.0,63.27803834422619,38.22,33.99430607474153,4.22569392525847,0.0,-25.058038344226194,Fall,CHARGE_PRIORITY
27.0,88.22583071982073,38.22,35.819886202050505,2.4001137979494978,0.0,-50.005830719820736,Fall,CHARGE_PRIORITY
28.0,102.72651456873132,38.22,36.97055436806991,1.2494456319300873,0.0,-64.50651456873132,Fall,CHARGE_PRIORITY
29.0,110.77866402448754,38.22,37.379158325764436,0.8408416742355598,0.6508508980477457,-72.55866402448754,Fall,CHARGE_PRIORITY
30.0,113.41656966744036,38.22,37.508944978621365,0.711055021378634,7.929255944974953,-75.19656966744036,Fall,CHARGE_PRIORITY
31.0,110.77866402448755,38.22,37.379158325764436,0.8408416742355597,19.516348217195773,-72.55866402448756,Fall,CHARGE_PRIORITY
32.0,102.72651456873132,38.22,36.99864311310328,1.221356886896721,22.023649099404288,-64.50651456873132,Fall,CHARGE_PRIORITY
33.0,88.22583071982073,38.22,36.39333082354962,1.8266691764503824,19.971308608577967,-50.005830719820736,Fall,CHARGE_PRIORITY
34.0,63.27803834422624,38.22,34.77991299341014,3.4400870065898554,14.733666948841611,-25.058038344226244,Fall,CHARGE_PRIORITY
35.0,32.75512292042667,38.22,32.57400841443591,5.6459915855640865,4.0349726865148705,5.464877079573326,Fall,CHARGE_PRIORITY
36.0,1.549864942291602e-14,38.22,30.7,7.519999999999999,0.0,38.219999999999985,Fall,CHARGE_PRIORITY
37.0,0.0,38.22,30.7,7.52,0.0,38.22,Fall,CHARGE_PRIORITY
38.0,0.0,38.22,30.539110664196404,7.680889335803596,0.0,38.22,Fall,CHARGE_PRIORITY
39.0,0.0,38.22,28.35742863501049,9.862571364989511,0.0,38.22,Fall,CHARGE_PRIORITY
40.0,0.0,38.22,27.8,10.42,0.0,38.22,Fall,CHARGE_PRIORITY
41.0,0.0,38.22,27.215930183490215,11.004069816509785,0.0,38.22,Fall,CHARGE_PRIORITY
42.0,0.0,121.48301437768313,79.76667591300223,41.7163384646809,0.0,121.48301437768313,Fall,CHARGE_PRIORITY
43.0,0.0,115.22704481320015,64.28368162215153,50.94336319104861,0.0,115.22704481320015,Fall,CHARGE_PRIORITY
44.0,0.0,110.34954054710188,31.014179770611204,79.33536077649067,0.0,110.34954054710188,Fall,CHARGE_PRIORITY
45.0,0.0,109.5955179100777,7.14886265330178,102.44665525677593,0.0,109.5955179100777,Fall,CHARGE_PRIORITY
46.0,0.0,38.22,0.15199638617046032,38.06800361382954,0.0,38.22,Fall,CHARGE_PRIORITY
47.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,CHARGE_PRIORITY
48.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,CHARGE_PRIORITY
49.0,36.310557374332795,38.22,28.06129853153942,10.158701468460576,0.0,1.9094426256672066,Fall,CHARGE_PRIORITY
50.0,70.14661026963805,38.22,34.986457253853686,3.2335427461463135,0.0,-31.926610269638047,Fall,CHARGE_PRIORITY
51.0,97.85728614917136,38.22,36.85244158704595,1.3675584129540463,0.0,-59.63728614917136,Fall,CHARGE_PRIORITY
52.0,115.14230927106222,38.22,37.77242756711457,0.4475724328854306,0.0,-76.92230927106222,Fall,CHARGE_PRIORITY
53.0,123.72241567436144,38.22,38.075523498792684,0.14447650120731748,2.3201618040598384,-85.50241567436144,Fall,CHARGE_PRIORITY
54.0,126.34214572890136,38.22,38.1233411902862,0.09665880971379992,11.729284802949286,-88.12214572890136,Fall,CHARGE_PRIORITY
55.0,123.72241567436144,38.22,38.075523498792684,0.14447650120731748,27.34611600334516,-85.50241567436146,Fall,CHARGE_PRIORITY
