time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Fall,PRODUCE_PRIORITY
1.0,32.090936117636794,38.22,38.22,0.0,32.090936117636794,6.129063882363205,Fall,PRODUCE_PRIORITY
2.0,61.994927971636045,38.22,38.22,0.0,61.994927971636045,-23.774927971636046,Fall,PRODUCE_PRIORITY
3.0,87.67406793583088,38.22,38.22,0.0,87.67406793583088,-49.45406793583087,Fall,PRODUCE_PRIORITY
4.0,105.9478481981868,38.22,38.22,0.0,105.9478481981868,-67.72784819818682,Fall,PRODUCE_PRIORITY
5.0,116.0471147461191,38.22,32.67779618945547,5.542203810544526,116.0471147461191,-77.82711474611911,Fall,PRODUCE_PRIORITY
6.0,118.92151829065016,38.22,20.22,18.0,118.92151829065016,-80.70151829065017,Fall,PRODUCE_PRIORITY
7.0,116.04711474611912,38.22,16.423347142091618,21.796652857908384,116.04711474611912,-77.82711474611912,Fall,PRODUCE_PRIORITY
8.0,105.94784819818682,38.22,10.14,28.08,105.94784819818682,-67.72784819818682,Fall,PRODUCE_PRIORITY
9.0,87.67406793583088,38.22,6.804414373283407,31.41558562671659,87.67406793583088,-49.45406793583087,Fall,PRODUCE_PRIORITY
10.0,61.994927971636095,38.22,3.6399999999999997,34.58,61.994927971636095,-23.774927971636096,Fall,PRODUCE_PRIORITY
11.0,32.09093611763683,38.22,3.6399999999999997,34.58,32.09093611763683,6.12906388236317,Fall,PRODUCE_PRIORITY
12.0,1.518437802076696e-14,38.22,3.6399999999999997,34.58,1.518437802076696e-14,38.219999999999985,Fall,PRODUCE_PRIORITY
13.0,0.0,38.22,2.0115314986267174,36.20846850137328,0.0,38.22,Fall,PRODUCE_PRIORITY
14.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,PRODUCE_PRIORITY
15.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,PRODUCE_PRIORITY
16.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,PRODUCE_PRIORITY
17.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,PRODUCE_PRIORITY
18.0,0.0,114.15859568054954,0.0,114.15859568054954,0.0,114.15859568054954,Fall,PRODUCE_PRIORITY
19.0,0.0,111.39438892672209,0.0,111.39438892672209,0.0,111.39438892672209,Fall,PRODUCE_PRIORITY
20.0,0.0,114.53395209872167,0.0,114.53395209872167,0.0,114.53395209872167,Fall,PRODUCE_PRIORITY
21.0,0.0,102.17184188788305,0.0,102.17184188788305,0.0,102.17184188788305,Fall,PRODUCE_PRIORITY
22.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,PRODUCE_PRIORITY
23.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,PRODUCE_PRIORITY
24.0,0.0,38.22,0.0,38.22,0.0,38.22,Fall,PRODUCE_PRIORITY
