time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Spring,CHARGE_PRIORITY
1.0,31.884011198551324,38.22,38.22,0.0,0.0,6.335988801448676,Spring,CHARGE_PRIORITY
2.0,61.595179724741186,38.22,38.22,0.0,0.0,-23.375179724741184,Spring,CHARGE_PRIORITY
3.0,86.10824100694542,38.22,38.22,0.0,0.0,-47.88824100694542,Spring,CHARGE_PRIORITY
4.0,101.63756733667948,38.22,38.22,0.0,6.153453167475492,-63.417567336679475,Spring,CHARGE_PRIORITY
5.0,109.72692726538634,38.22,38.22,0.0,29.571214832645964,-71.50692726538634,Spring,CHARGE_PRIORITY
6.0,112.3277316526812,38.22,38.22,0.0,40.826244772920205,-74.1077316526812,Spring,CHARGE_PRIORITY
7.0,109.72692726538635,38.22,38.22,0.0,50.413320578932236,-71.50692726538635,Spring,CHARGE_PRIORITY
8.0,101.63756733667948,38.22,38.22,0.0,52.4559851695752,-63.41756733667948,Spring,CHARGE_PRIORITY
9.0,86.10824100694542,38.22,37.48562806084937,0.7343719391506245,43.146879232716756,-47.88824100694542,Spring,CHARGE_PRIORITY
10.0,61.59517972474123,38.22,37.13886300818609,1.0811369918139107,26.639732056912557,-23.375179724741233,Spring,CHARGE_PRIORITY
11.0,31.88401119855136,38.22,36.63109672304666,1.5889032769533369,6.047920140487866,6.335988801448639,Spring,CHARGE_PRIORITY
12.0,1.508646793856205e-14,38.22,35.22,3.0,0.0,38.219999999999985,Spring,CHARGE_PRIORITY
13.0,0.0,38.22,35.22,3.0,0.0,38.22,Spring,CHARGE_PRIORITY
14.0,0.0,38.22,35.22,3.0,0.0,38.22,Spring,CHARGE_PRIORITY
15.0,0.0,38.22,34.117448364679625,4.102551635320374,0.0,38.22,Spring,CHARGE_PRIORITY
16.0,0.0,38.22,30.927439263033055,7.292560736966946,0.0,38.22,Spring,CHARGE_PRIORITY
17.0,0.0,38.22,29.32816467921864,8.89183532078136,0.0,38.22,Spring,CHARGE_PRIORITY
18.0,0.0,108.19310380848817,75.56091116511976,32.63219264336841,0.0,108.19310380848817,Spring,CHARGE_PRIORITY
19.0,0.0,108.67486094514307,67.59705837741191,41.077802567731155,0.0,108.67486094514307,Spring,CHARGE_PRIORITY
20.0,0.0,109.07859754609281,43.19484919156189,65.88374835453092,0.0,109.07859754609281,Spring,CHARGE_PRIORITY
21.0,0.0,102.72818166527898,26.897931148926435,75.83025051635254,0.0,102.72818166527898,Spring,CHARGE_PRIORITY
22.0,0.0,38.22,3.676554982129398,34.5434450178706,0.0,38.22,Spring,CHARGE_PRIORITY
23.0,0.0,38.22,1.78,36.44,0.0,38.22,Spring,CHARGE_PRIORITY
24.0,0.0,38.22,1.3240097578436196,36.89599024215638,0.0,38.22,Spring,CHARGE_PRIORITY
25.0,25.07821358450849,38.22,19.494796286300343,18.725203713699656,0.0,13.141786415491508,Spring,CHARGE_PRIORITY
26.0,48.4473883569402,38.22,29.503048662227005,8.716951337772995,0.0,-10.227388356940201,Spring,CHARGE_PRIORITY
27.0,68.51495367594123,38.22,34.34479441774741,3.875205582252592,0.0,-30.294953675941226,Spring,CHARGE_PRIORITY
28.0,83.6117972383357,38.22,36.12960245182151,2.0903975481784856,0.0,-45.391797238335705,Spring,CHARGE_PRIORITY
29.0,92.24904320585858,38.22,36.930009657543515,1.2899903424564818,0.0,-54.02904320585859,Spring,CHARGE_PRIORITY
30.0,95.07992293172501,38.22,37.14978060217958,1.0702193978204164,8.989863061902515,-56.85992293172501,Spring,CHARGE_PRIORITY
31.0,92.2490432058586,38.22,36.930009657543515,1.2899903424564818,21.951697989806963,-54.0290432058586,Spring,CHARGE_PRIORITY
32.0,83.61179723833571,38.22,36.28567385032361,1.934326149676386,22.407832792132833,-45.39179723833571,Spring,CHARGE_PRIORITY
33.0,68.51495367594123,38.22,35.101065124465194,3.118934875534807,18.537282245756465,-30.294953675941226,Spring,CHARGE_PRIORITY
34.0,48.44738835694024,38.22,32.409933333590814,5.810066666409187,11.783960631706591,-10.227388356940239,Spring,CHARGE_PRIORITY
35.0,25.078213584508518,38.22,29.868687511504962,8.351312488495036,3.9195510441747863,13.141786415491481,Spring,CHARGE_PRIORITY
36.0,1.1866187815675115e-14,38.22,24.224263799521456,13.995736200478543,0.0,38.219999999999985,Spring,CHARGE_PRIORITY
37.0,0.0,38.22,19.300408940931156,18.919591059068843,0.0,38.22,Spring,CHARGE_PRIORITY
38.0,0.0,38.22,17.54779956919768,20.67220043080232,0.0,38.22,Spring,CHARGE_PRIORITY
39.0,0.0,38.22,16.5,21.72,0.0,38.22,Spring,CHARGE_PRIORITY
40.0,0.0,38.22,15.806020766802304,22.413979233197693,0.0,38.22,Spring,CHARGE_PRIORITY
41.0,0.0,38.22,15.14142570665543,23.07857429334457,0.0,38.22,Spring,CHARGE_PRIORITY
42.0,0.0,108.04849391484326,47.190889896384704,60.85760401845856,0.0,108.04849391484326,Spring,CHARGE_PRIORITY
43.0,0.0,119.0019776709942,36.988093886538806,82.01388378445539,0.0,119.0019776709942,Spring,CHARGE_PRIORITY
44.0,0.0,112.32610044924382,18.65118262773402,93.6749178215098,0.0,112.32610044924382,Spring,CHARGE_PRIORITY
45.0,0.0,113.61304393582023,5.508106143440485,108.10493779237974,0.0,113.61304393582023,Spring,CHARGE_PRIORITY
46.0,0.0,38.22,0.5022786875546174,37.717721312445384,0.0,38.22,Spring,CHARGE_PRIORITY
47.0,0.0,38.22,0.5,37.72,0.0,38.22,Spring,CHARGE_PRIORITY
48.0,0.0,38.22,0.37239729812833694,37.847602701871665,0.0,38.22,Spring,CHARGE_PRIORITY
49.0,23.120108543614055,38.22,19.559952708804044,18.66004729119596,0.0,15.099891456385942,Spring,CHARGE_PRIORITY
50.0,44.664619897766705,38.22,28.4378708521004,9.7821291478996,0.0,-6.4446198977667075,Spring,CHARGE_PRIORITY
51.0,62.421469882362416,38.22,32.37260260375441,5.847397396245589,0.0,-24.201469882362417,Spring,CHARGE_PRIORITY
52.0,74.52078600765334,38.22,33.97362068280772,4.246379317192281,0.0,-36.30078600765334,Spring,CHARGE_PRIORITY
53.0,81.32195037324033,38.22,34.84358657105213,3.3764134289478713,0.0,-43.101950373240335,Spring,CHARGE_PRIORITY
54.0,83.48515455770493,38.22,35.13428594478472,3.0857140552152793,0.0,-45.265154557704925,Spring,CHARGE_PRIORITY
55.0,81.32195037324034,38.22,34.845806015250716,3.374193984749285,4.18803972577478,-43.10195037324034,Spring,CHARGE_PRIORITY
56.0,74.52078600765336,38.22,33.98479205062937,4.235207949370627,8.984366704581033,-36.30078600765335,Spring,CHARGE_PRIORITY
57.0,62.421469882362416,38.22,32.61706886918227,5.602931130817731,9.529244325327525,-24.201469882362417,Spring,CHARGE_PRIORITY
58.0,44.66461989776674,38.22,30.713460977645703,7.506539022354295,7.241447735740506,-6.444619897766742,Spring,CHARGE_PRIORITY
59.0,23.120108543614084,38.22,28.31694109100305,9.903058908996949,1.8548000926938162,15.099891456385917,Spring,CHARGE_PRIORITY
60.0,1.0939676758586637e-14,38.22,24.00858001145337,14.21141998854663,0.0,38.219999999999985,Spring,CHARGE_PRIORITY
61.0,0.0,38.22,20.437255078535667,17.78274492146433,0.0,38.22,Spring,CHARGE_PRIORITY
62.0,0.0,38.22,18.953382721629367,19.26661727837063,0.0,38.22,Spring,CHARGE_PRIORITY
63.0,0.0,38.22,17.64372759883859,20.576272401161408,0.0,38.22,Spring,CHARGE_PRIORITY
64.0,0.0,38.22,16.15319051051134,22.066809489488662,0.0,38.22,Spring,CHARGE_PRIORITY
65.0,0.0,38.22,13.84057953001156,24.37942046998844,0.0,38.22,Spring,CHARGE_PRIORITY
66.0,0.0,117.6764376274443,43.49439482042854,74.18204280701576,0.0,117.6764376274443,Spring,CHARGE_PRIORITY
67.0,0.0,105.49288264156765,30.000039149243374,75.49284349232427,0.0,105.49288264156765,Spring,CHARGE_PRIORITY
68.0,0.0,115.7501352648416,21.821304877734192,93.92883038710741,0.0,115.7501352648416,Spring,CHARGE_PRIORITY
69.0,0.0,116.18380217664146,7.456654843001571,108.72714733363989,0.0,116.18380217664146,Spring,CHARGE_PRIORITY
70.0,0.0,38.22,0.8399999999999999,37.38,0.0,38.22,Spring,CHARGE_PRIORITY
71.0,0.0,38.22,0.7826334434607685,37.43736655653923,0.0,38.22,Spring,CHARGE_PRIORITY
72.0,0.0,38.22,0.5599999999999999,37.66,0.0,38.22,Spring,CHARGE_PRIORITY
73.0,26.249985401930008,38.22,22.04936136158077,16.170638638419227,0.0,11.97001459806999,Spring,CHARGE_PRIORITY
74.0,50.711077678870446,38.22,31.675441494734134,6.544558505265864,0.0,-12.491077678870445,Spring,CHARGE_PRIORITY
75.0,71.08791617622028,38.22,35.24739009303532,2.972609906964676,0.0,-32.867916176220284,Spring,CHARGE_PRIORITY
76.0,84.9557060055013,38.22,36.84423121837278,1.3757687816272206,0.0,-46.7357060055013,Spring,CHARGE_PRIORITY
77.0,92.8542283881566,38.22,37.333326927569836,0.8866730724301625,0.0,-54.6342283881566,Spring,CHARGE_PRIORITY
78.0,95.4242472924146,38.22,37.41422674200609,0.8057732579939073,6.254967704588502,-57.204247292414614,Spring,CHARGE_PRIORITY
79.0,92.85422838815661,38.22,37.333326927569836,0.8866730724301625,12.93734938458187,-54.63422838815661,Spring,CHARGE_PRIORITY
80.0,84.9557060055013,38.22,37.08218070441654,1.1378192955834636,14.459730016751042,-46.73570600550131,Spring,CHARGE_PRIORITY
81.0,71.08791617622028,38.22,36.25439540662151,1.9656045933784854,12.414270663468848,-32.867916176220284,Spring,CHARGE_PRIORITY
82.0,50.71107767887048,38.22,34.084139917591514,4.135860082408485,8.621648257447868,-12.491077678870484,Spring,CHARGE_PRIORITY
83.0,26.24998540193004,38.22,30.82879370222653,7.391206297773468,2.5825285996250065,11.97001459806996,Spring,CHARGE_PRIORITY
84.0,1.2420631792148298e-14,38.22,27.390613125529896,10.829386874470105,0.0,38.219999999999985,Spring,CHARGE_PRIORITY
85.0,0.0,38.22,25.664764372029232,12.555235627970767,0.0,38.22,Spring,CHARGE_PRIORITY
86.0,0.0,38.22,22.89358251433182,15.326417485668179,0.0,38.22,Spring,CHARGE_PRIORITY
87.0,0.0,38.22,20.6653515305036,17.5546484694964,0.0,38.22,Spring,CHARGE_PRIORITY
88.0,0.0,38.22,19.72747806255762,18.492521937442383,0.0,38.22,Spring,CHARGE_PRIORITY
89.0,0.0,38.22,18.06,20.16,0.0,38.22,Spring,CHARGE_PRIORITY
90.0,0.0,117.07663575323184,54.79519068645365,62.28144506677819,0.0,117.07663575323184,Spring,CHARGE_PRIORITY
91.0,0.0,121.93674020432655,38.355364815742355,83.58137538858419,0.0,121.93674020432655,Spring,CHARGE_PRIORITY
92.0,0.0,113.32831815313604,15.259248685504895,98.06906946763115,0.0,113.32831815313604,Spring,CHARGE_PRIORITY
93.0,0.0,105.44270359088354,3.9295446251151747,101.51315896576837,0.0,105.44270359088354,Spring,CHARGE_PRIORITY
94.0,0.0,38.22,0.84,37.38,0.0,38.22,Spring,CHARGE_PRIORITY
95.0,0.0,38.22,0.84,37.38,0.0,38.22,Spring,CHARGE_PRIORITY
96.0,0.0,38.22,0.84,37.38,0.0,38.22,Spring,CHARGE_PRIORITY
97.0,27.044111429054386,38.22,22.813343198998066,15.406656801001935,0.0,11.175888570945613,Spring,CHARGE_PRIORITY
98.0,52.24521135672598,38.22,32.004260917683986,6.215739082316016,0.0,-14.025211356725984,Spring,CHARGE_PRIORITY
99.0,73.6178094536912,38.22,34.92572326012498,3.2942767398750186,0.0,-35.3978094536912,Spring,CHARGE_PRIORITY
100.0,87.66689931149293,38.22,36.23812921916933,1.9818707808306697,0.0,-49.44689931149292,Spring,CHARGE_PRIORITY
101.0,95.03563876520484,38.22,36.91955741393139,1.300442586068609,0.0,-56.81563876520484,Spring,CHARGE_PRIORITY
102.0,97.40040005219136,38.22,37.13733395626115,1.0826660437388502,2.4448106283343627,-59.18040005219137,Spring,CHARGE_PRIORITY
103.0,95.03563876520484,38.22,36.93247147873757,1.2875285212624281,11.15894879489068,-56.815638765204845,Spring,CHARGE_PRIORITY
104.0,87.66689931149293,38.22,36.243206776165636,1.9767932238343673,13.223529553948051,-49.44689931149293,Spring,CHARGE_PRIORITY
105.0,73.6178094536912,38.22,35.16728828601151,3.0527117139884865,11.5812697236995,-35.3978094536912,Spring,CHARGE_PRIORITY
106.0,52.245211356726024,38.22,33.592499141953226,4.6275008580467745,7.871337775310179,-14.025211356726025,Spring,CHARGE_PRIORITY
