time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Spring,PRODUCE_PRIORITY
1.0,25.509596496891618,38.22,38.22,0.0,25.509596496891618,12.710403503108381,Spring,PRODUCE_PRIORITY
2.0,49.280756149121515,38.22,38.22,0.0,49.280756149121515,-11.060756149121515,Spring,PRODUCE_PRIORITY
3.0,69.65282776117246,38.22,38.22,0.0,69.65282776117246,-31.432827761172465,Spring,PRODUCE_PRIORITY
4.0,84.4079640928513,38.22,38.22,0.0,84.4079640928513,-46.18796409285131,Spring,PRODUCE_PRIORITY
5.0,93.33832168223532,38.22,32.67779618945547,5.542203810544526,93.33832168223532,-55.11832168223531,Spring,PRODUCE_PRIORITY
6.0,96.14988229911013,38.22,20.22,18.0,96.14988229911013,-57.92988229911013,Spring,PRODUCE_PRIORITY
7.0,93.33832168223532,38.22,16.423347142091618,21.796652857908384,93.33832168223532,-55.11832168223532,Spring,PRODUCE_PRIORITY
8.0,84.40796409285132,38.22,10.14,28.08,84.40796409285132,-46.18796409285132,Spring,PRODUCE_PRIORITY
9.0,69.65282776117246,38.22,6.804414373283407,31.41558562671659,69.65282776117246,-31.432827761172465,Spring,PRODUCE_PRIORITY
10.0,49.28075614912155,38.22,3.6399999999999997,34.58,49.28075614912155,-11.060756149121552,Spring,PRODUCE_PRIORITY
11.0,25.509596496891646,38.22,3.6399999999999997,34.58,25.509596496891646,12.710403503108353,Spring,PRODUCE_PRIORITY
12.0,1.2070304055516583e-14,38.22,3.6399999999999997,34.58,1.2070304055516583e-14,38.219999999999985,Spring,PRODUCE_PRIORITY
13.0,0.0,38.22,2.0115314986267174,36.20846850137328,0.0,38.22,Spring,PRODUCE_PRIORITY
14.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
15.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
16.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
17.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
18.0,0.0,118.94662254769706,0.0,118.94662254769706,0.0,118.94662254769706,Spring,PRODUCE_PRIORITY
19.0,0.0,120.54587256819282,0.0,120.54587256819282,0.0,120.54587256819282,Spring,PRODUCE_PRIORITY
20.0,0.0,110.16875410774234,0.0,110.16875410774234,0.0,110.16875410774234,Spring,PRODUCE_PRIORITY
21.0,0.0,102.78483019123489,0.0,102.78483019123489,0.0,102.78483019123489,Spring,PRODUCE_PRIORITY
22.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
23.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
24.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
25.0,28.016810008635364,38.22,0.0,38.22,28.016810008635364,10.203189991364637,Spring,PRODUCE_PRIORITY
26.0,54.1243207151499,38.22,0.0,38.22,54.1243207151499,-15.904320715149899,Spring,PRODUCE_PRIORITY
27.0,74.84218243974067,38.22,0.0,38.22,74.84218243974067,-36.62218243974067,Spring,PRODUCE_PRIORITY
28.0,88.38554939921559,38.22,0.0,38.22,88.38554939921559,-50.16554939921559,Spring,PRODUCE_PRIORITY
