time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Summer,LOAD_PRIORITY
1.0,22.136367838412966,38.22,38.22,0.0,0.0,16.083632161587037,Summer,LOAD_PRIORITY
2.0,42.7641787907156,38.22,38.22,0.0,0.0,-4.544178790715596,Summer,LOAD_PRIORITY
3.0,60.47768162957787,38.22,38.22,0.0,0.0,-22.257681629577874,Summer,LOAD_PRIORITY
4.0,72.84595702086935,38.22,38.22,0.0,3.3370773253321655,-34.62595702086936,Summer,LOAD_PRIORITY
5.0,79.26497760407301,38.22,38.22,0.0,13.005992345052878,-41.04497760407302,Summer,LOAD_PRIORITY
6.0,81.35561964603383,38.22,38.22,0.0,20.47997190743888,-43.13561964603383,Summer,LOAD_PRIORITY
7.0,79.26497760407302,38.22,38.22,0.0,26.071215464441906,-41.04497760407302,Summer,LOAD_PRIORITY
8.0,72.84595702086936,38.22,38.197517705153416,0.022482294846581263,28.42654823357544,-34.625957020869365,Summer,LOAD_PRIORITY
9.0,60.47768162957787,38.22,36.28505914252324,1.9349408574767621,24.38422655177473,-22.257681629577874,Summer,LOAD_PRIORITY
10.0,42.764178790715626,38.22,34.28353901102971,3.93646098897029,14.507527410150786,-4.5441787907156295,Summer,LOAD_PRIORITY
11.0,22.13636783841299,38.22,33.07767090343499,5.142329096565005,2.6834319624148346,16.083632161587012,Summer,LOAD_PRIORITY
12.0,1.0474202934842998e-14,38.22,28.638563954224246,9.581436045775751,0.0,38.21999999999999,Summer,LOAD_PRIORITY
13.0,0.0,38.22,27.44501951258742,10.774980487412577,0.0,38.22,Summer,LOAD_PRIORITY
14.0,0.0,38.22,25.896211100167324,12.323788899832676,0.0,38.22,Summer,LOAD_PRIORITY
15.0,0.0,38.22,23.105564896329565,15.114435103670434,0.0,38.22,Summer,LOAD_PRIORITY
16.0,0.0,38.22,22.86,15.36,0.0,38.22,Summer,LOAD_PRIORITY
17.0,0.0,38.22,21.804124000787397,16.415875999212602,0.0,38.22,Summer,LOAD_PRIORITY
18.0,0.0,106.67077730022454,64.35031067534449,42.320466624880055,0.0,106.67077730022454,Summer,LOAD_PRIORITY
19.0,0.0,108.86583327053198,49.745007477110136,59.12082579342185,0.0,108.86583327053198,Summer,LOAD_PRIORITY
20.0,0.0,105.08368260745394,43.42553724005957,61.65814536739438,0.0,105.08368260745394,Summer,LOAD_PRIORITY
21.0,0.0,113.6003056933209,17.01469046483504,96.58561522848586,0.0,113.6003056933209,Summer,LOAD_PRIORITY
22.0,0.0,38.22,1.9618650986755346,36.25813490132447,0.0,38.22,Summer,LOAD_PRIORITY
23.0,0.0,38.22,0.7463222266916872,37.47367777330831,0.0,38.22,Summer,LOAD_PRIORITY
24.0,0.0,38.22,0.5,37.72,0.0,38.22,Summer,LOAD_PRIORITY
25.0,19.555274786398282,38.22,18.111203277765554,20.108796722234445,0.0,18.664725213601717,Summer,LOAD_PRIORITY
26.0,37.77788991272308,38.22,26.025094095734573,12.194905904265427,0.0,0.44211008727691475,Summer,LOAD_PRIORITY
27.0,52.56124517881471,38.22,30.490471576686563,7.729528423313435,0.0,-14.34124517881471,Summer,LOAD_PRIORITY
28.0,61.80413030771942,38.22,32.48573878503771,5.734261214962289,0.0,-23.584130307719416,Summer,LOAD_PRIORITY
29.0,67.34643190049894,38.22,33.55562311112321,4.664376888876792,1.1056698679435244,-29.12643190049894,Summer,LOAD_PRIORITY
30.0,69.15773789563498,38.22,33.89764766117936,4.322352338820638,3.5,-30.937737895634985,Summer,LOAD_PRIORITY
31.0,67.34643190049894,38.22,33.55562311112321,4.664376888876791,4.307695624287986,-29.126431900498943,Summer,LOAD_PRIORITY
32.0,61.804130307719426,38.22,32.55285786881878,5.667142131181215,8.402201887092243,-23.584130307719423,Summer,LOAD_PRIORITY
33.0,52.56124517881471,38.22,30.850174745867896,7.369825254132103,7.597068783370419,-14.34124517881471,Summer,LOAD_PRIORITY
34.0,37.77788991272311,38.22,28.223042200455467,9.996957799544532,8.182009271288747,0.4421100872768855,Summer,LOAD_PRIORITY
35.0,19.555274786398304,38.22,24.957101481469294,13.262898518530706,1.444071508632733,18.664725213601695,Summer,LOAD_PRIORITY
36.0,9.252914392031483e-15,38.22,20.824369943608254,17.395630056391745,0.0,38.21999999999999,Summer,LOAD_PRIORITY
37.0,0.0,38.22,16.022725453734957,22.197274546265042,0.0,38.22,Summer,LOAD_PRIORITY
38.0,0.0,38.22,13.874312848539672,24.34568715146033,0.0,38.22,Summer,LOAD_PRIORITY
39.0,0.0,38.22,13.525642196006944,24.694357803993057,0.0,38.22,Summer,LOAD_PRIORITY
40.0,0.0,38.22,12.914705730263112,25.305294269736887,0.0,38.22,Summer,LOAD_PRIORITY
41.0,0.0,38.22,12.54748334686599,25.67251665313401,0.0,38.22,Summer,LOAD_PRIORITY
42.0,0.0,106.43124461652627,33.082201660794034,73.34904295573223,0.0,106.43124461652627,Summer,LOAD_PRIORITY
43.0,0.0,105.25534251684648,24.615508422502575,80.63983409434391,0.0,105.25534251684648,Summer,LOAD_PRIORITY
44.0,0.0,113.62531449651588,16.259734036172244,97.36558046034364,0.0,113.62531449651588,Summer,LOAD_PRIORITY
45.0,0.0,107.908667797346,3.4357351726559484,104.47293262469005,0.0,107.908667797346,Summer,LOAD_PRIORITY
46.0,0.0,38.22,1.2516689879775857,36.96833101202241,0.0,38.22,Summer,LOAD_PRIORITY
47.0,0.0,38.22,0.5,37.72,0.0,38.22,Summer,LOAD_PRIORITY
48.0,0.0,38.22,0.2782813705337629,37.94171862946624,0.0,38.22,Summer,LOAD_PRIORITY
49.0,17.647407127218155,38.22,16.045717371324457,22.17428262867554,0.0,20.572592872781843,Summer,LOAD_PRIORITY
50.0,34.09217262243558,38.22,27.01491314205428,11.20508685794572,0.0,4.127827377564422,Summer,LOAD_PRIORITY
51.0,48.21361289341313,38.22,32.332213225498315,5.887786774501685,0.0,-9.993612893413133,Summer,LOAD_PRIORITY
52.0,59.04937512246712,38.22,34.54837560855479,3.6716243914452096,0.0,-20.82937512246712,Summer,LOAD_PRIORITY
53.0,65.86102002063129,38.22,35.72853923351063,2.491460766489369,0.0,-27.64102002063128,Summer,LOAD_PRIORITY
54.0,68.18434524487117,38.22,36.07666360389594,2.1433363961040652,5.53615798504695,-29.96434524487117,Summer,LOAD_PRIORITY
55.0,65.86102002063129,38.22,35.72853923351063,2.491460766489369,7.222582754478806,-27.641020020631288,Summer,LOAD_PRIORITY
56.0,59.049375122467126,38.22,34.70789022289376,3.5121097771062435,7.665924626662933,-20.829375122467127,Summer,LOAD_PRIORITY
57.0,47.495015104664574,38.22,32.701196727628535,5.518803272371465,8.458420306127103,-9.275015104664572,Summer,LOAD_PRIORITY
58.0,33.58404725306584,38.22,29.84569590184091,8.37430409815909,5.703411629059503,4.635952746934161,Summer,LOAD_PRIORITY
59.0,17.38438208143288,38.22,26.289068494961313,11.930931505038687,1.6016897558937042,20.83561791856712,Summer,LOAD_PRIORITY
60.0,8.225719194176103e-15,38.22,20.904582836658513,17.315417163341486,0.0,38.21999999999999,Summer,LOAD_PRIORITY
61.0,0.0,38.22,17.238912857350996,20.981087142649002,0.0,38.22,Summer,LOAD_PRIORITY
