time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Summer,PRODUCE_PRIORITY
1.0,21.31875785932123,38.22,38.22,0.0,21.31875785932123,16.901242140678768,Summer,PRODUCE_PRIORITY
2.0,41.18467760144285,38.22,38.22,0.0,41.18467760144285,-2.9646776014428537,Summer,PRODUCE_PRIORITY
3.0,58.22670855278662,38.22,38.22,0.0,58.22670855278662,-20.00670855278662,Summer,PRODUCE_PRIORITY
4.0,69.25776731295363,38.22,38.22,0.0,69.25776731295363,-31.037767312953633,Summer,PRODUCE_PRIORITY
5.0,75.40132087728028,38.22,32.67779618945547,5.542203810544526,75.40132087728028,-37.181320877280285,Summer,PRODUCE_PRIORITY
6.0,77.36011596435748,38.22,20.22,18.0,77.36011596435748,-39.140115964357484,Summer,PRODUCE_PRIORITY
7.0,75.4013208772803,38.22,16.423347142091618,21.796652857908384,75.4013208772803,-37.18132087728029,Summer,PRODUCE_PRIORITY
8.0,69.25776731295363,38.22,10.14,28.08,69.25776731295363,-31.037767312953637,Summer,PRODUCE_PRIORITY
9.0,58.22670855278662,38.22,6.804414373283407,31.41558562671659,58.22670855278662,-20.00670855278662,Summer,PRODUCE_PRIORITY
10.0,41.184677601442885,38.22,3.6399999999999997,34.58,41.184677601442885,-2.964677601442886,Summer,PRODUCE_PRIORITY
11.0,21.318757859321256,38.22,3.6399999999999997,34.58,21.318757859321256,16.901242140678743,Summer,PRODUCE_PRIORITY
12.0,1.0087336719704538e-14,38.22,3.6399999999999997,34.58,1.0087336719704538e-14,38.21999999999999,Summer,PRODUCE_PRIORITY
13.0,0.0,38.22,2.0115314986267174,36.20846850137328,0.0,38.22,Summer,PRODUCE_PRIORITY
14.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
15.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
16.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
17.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
18.0,0.0,105.14404658777379,0.0,105.14404658777379,0.0,105.14404658777379,Summer,PRODUCE_PRIORITY
19.0,0.0,108.00980789119606,0.0,108.00980789119606,0.0,108.00980789119606,Summer,PRODUCE_PRIORITY
20.0,0.0,109.96209056153516,0.0,109.96209056153516,0.0,109.96209056153516,Summer,PRODUCE_PRIORITY
21.0,0.0,102.21658998041735,0.0,102.21658998041735,0.0,102.21658998041735,Summer,PRODUCE_PRIORITY
22.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
23.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
24.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
25.0,19.124803717893077,38.22,0.0,38.22,19.124803717893077,19.095196282106922,Summer,PRODUCE_PRIORITY
26.0,36.94628366764423,38.22,0.0,38.22,36.94628366764423,1.2737163323557683,Summer,PRODUCE_PRIORITY
27.0,52.120619711488736,38.22,0.0,38.22,52.120619711488736,-13.900619711488734,Summer,PRODUCE_PRIORITY
28.0,62.443355855560625,38.22,0.0,38.22,62.443355855560625,-24.223355855560627,Summer,PRODUCE_PRIORITY
29.0,68.41019142151231,38.22,0.0,38.22,68.41019142151231,-30.190191421512306,Summer,PRODUCE_PRIORITY
30.0,70.4001275110649,38.22,0.0,38.22,70.4001275110649,-32.180127511064896,Summer,PRODUCE_PRIORITY
31.0,68.41019142151231,38.22,0.0,38.22,68.41019142151231,-30.19019142151231,Summer,PRODUCE_PRIORITY
32.0,62.44335585556063,38.22,0.0,38.22,62.44335585556063,-24.223355855560634,Summer,PRODUCE_PRIORITY
33.0,52.120619711488736,38.22,0.0,38.22,52.120619711488736,-13.900619711488734,Summer,PRODUCE_PRIORITY
34.0,36.94628366764426,38.22,0.0,38.22,36.94628366764426,1.2737163323557397,Summer,PRODUCE_PRIORITY
35.0,19.124803717893098,38.22,0.0,38.22,19.124803717893098,19.0951962821069,Summer,PRODUCE_PRIORITY
36.0,8.952782639924648e-15,38.22,0.0,38.22,8.952782639924648e-15,38.21999999999999,Summer,PRODUCE_PRIORITY
37.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
38.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
39.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
40.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
41.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
42.0,0.0,117.2123293237713,0.0,117.2123293237713,0.0,117.2123293237713,Summer,PRODUCE_PRIORITY
43.0,0.0,113.79429996541381,0.0,113.79429996541381,0.0,113.79429996541381,Summer,PRODUCE_PRIORITY
44.0,0.0,108.4013158015714,0.0,108.4013158015714,0.0,108.4013158015714,Summer,PRODUCE_PRIORITY
45.0,0.0,110.07559007001707,0.0,110.07559007001707,0.0,110.07559007001707,Summer,PRODUCE_PRIORITY
46.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
47.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
48.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
49.0,21.10470842857605,38.22,0.0,38.22,21.10470842857605,17.11529157142395,Summer,PRODUCE_PRIORITY
50.0,40.77116585492437,38.22,0.0,38.22,40.77116585492437,-2.5511658549243683,Summer,PRODUCE_PRIORITY
51.0,57.6591357057969,38.22,0.0,38.22,57.6591357057969,-19.4391357057969,Summer,PRODUCE_PRIORITY
52.0,70.3236087055122,38.22,0.0,38.22,70.3236087055122,-32.1036087055122,Summer,PRODUCE_PRIORITY
53.0,77.62168339974521,38.22,0.0,38.22,77.62168339974521,-39.40168339974521,Summer,PRODUCE_PRIORITY
54.0,79.89948038871107,38.22,0.0,38.22,79.89948038871107,-41.67948038871108,Summer,PRODUCE_PRIORITY
55.0,77.62168339974521,38.22,0.0,38.22,77.62168339974521,-39.40168339974522,Summer,PRODUCE_PRIORITY
56.0,70.3236087055122,38.22,0.0,38.22,70.3236087055122,-32.10360870551221,Summer,PRODUCE_PRIORITY
57.0,57.6591357057969,38.22,0.0,38.22,57.6591357057969,-19.4391357057969,Summer,PRODUCE_PRIORITY
58.0,40.7711658549244,38.22,0.0,38.22,40.7711658549244,-2.5511658549244,Summer,PRODUCE_PRIORITY
59.0,21.104708428576075,38.22,0.0,38.22,21.104708428576075,17.115291571423924,Summer,PRODUCE_PRIORITY
60.0,9.986055552347799e-15,38.22,0.0,38.22,9.986055552347799e-15,38.21999999999999,Summer,PRODUCE_PRIORITY
61.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
62.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
63.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
64.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
65.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
66.0,0.0,118.07030675554695,0.0,118.07030675554695,0.0,118.07030675554695,Summer,PRODUCE_PRIORITY
67.0,0.0,113.52403274743571,0.0,113.52403274743571,0.0,113.52403274743571,Summer,PRODUCE_PRIORITY
68.0,0.0,104.83741119996522,0.0,104.83741119996522,0.0,104.83741119996522,Summer,PRODUCE_PRIORITY
69.0,0.0,118.59114004925107,0.0,118.59114004925107,0.0,118.59114004925107,Summer,PRODUCE_PRIORITY
70.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
71.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
72.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
73.0,19.889725586652936,38.22,0.0,38.22,19.889725586652936,18.330274413347063,Summer,PRODUCE_PRIORITY
74.0,38.423999243901115,38.22,0.0,38.22,38.423999243901115,-0.203999243901118,Summer,PRODUCE_PRIORITY
75.0,51.405494258712125,38.22,0.0,38.22,51.405494258712125,-13.185494258712128,Summer,PRODUCE_PRIORITY
76.0,61.64723928119184,38.22,0.0,38.22,61.64723928119184,-23.427239281191838,Summer,PRODUCE_PRIORITY
77.0,68.42057220579603,38.22,0.0,38.22,68.42057220579603,-30.20057220579604,Summer,PRODUCE_PRIORITY
78.0,70.26976976812749,38.22,0.0,38.22,70.26976976812749,-32.04976976812749,Summer,PRODUCE_PRIORITY
79.0,68.42057220579605,38.22,0.0,38.22,68.42057220579605,-30.200572205796043,Summer,PRODUCE_PRIORITY
80.0,62.45440225820281,38.22,0.0,38.22,62.45440225820281,-24.234402258202813,Summer,PRODUCE_PRIORITY
81.0,52.064540069693024,38.22,0.0,38.22,52.064540069693024,-13.844540069693027,Summer,PRODUCE_PRIORITY
82.0,36.81518934263868,38.22,0.0,38.22,36.81518934263868,1.4048106573613168,Summer,PRODUCE_PRIORITY
83.0,19.056944301860494,38.22,0.0,38.22,19.056944301860494,19.163055698139505,Summer,PRODUCE_PRIORITY
84.0,9.017120757693237e-15,38.22,0.0,38.22,9.017120757693237e-15,38.21999999999999,Summer,PRODUCE_PRIORITY
85.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
86.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
87.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
88.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
89.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
90.0,0.0,117.75358724862214,0.0,117.75358724862214,0.0,117.75358724862214,Summer,PRODUCE_PRIORITY
91.0,0.0,110.39146786187708,0.0,110.39146786187708,0.0,110.39146786187708,Summer,PRODUCE_PRIORITY
92.0,0.0,116.2691432509323,0.0,116.2691432509323,0.0,116.2691432509323,Summer,PRODUCE_PRIORITY
93.0,0.0,125.60891477335812,0.0,125.60891477335812,0.0,125.60891477335812,Summer,PRODUCE_PRIORITY
94.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
95.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
96.0,0.0,38.22,0.0,38.22,0.0,38.22,Summer,PRODUCE_PRIORITY
97.0,19.131285081237934,38.22,0.0,38.22,19.131285081237934,19.088714918762065,Summer,PRODUCE_PRIORITY
98.0,36.95880470013295,38.22,0.0,38.22,36.95880470013295,1.2611952998670484,Summer,PRODUCE_PRIORITY
99.0,52.26764285602652,38.22,0.0,38.22,52.26764285602652,-14.047642856026522,Summer,PRODUCE_PRIORITY
100.0,64.2975648054782,38.22,0.0,38.22,64.2975648054782,-26.077564805478207,Summer,PRODUCE_PRIORITY
101.0,70.727873784992,38.22,0.0,38.22,70.727873784992,-32.507873784992,Summer,PRODUCE_PRIORITY
102.0,72.79956885573196,38.22,0.0,38.22,72.79956885573196,-34.579568855731964,Summer,PRODUCE_PRIORITY
103.0,70.727873784992,38.22,0.0,38.22,70.727873784992,-32.507873784992,Summer,PRODUCE_PRIORITY
