time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Winter,LOAD_PRIORITY
1.0,37.865599053368264,38.22,38.22,0.0,0.0,0.3544009466317378,Winter,LOAD_PRIORITY
2.0,73.1507201071106,38.22,38.22,0.0,0.0,-34.930720107110595,Winter,LOAD_PRIORITY
3.0,100.4462845109636,38.22,38.22,0.0,0.0,-62.226284510963595,Winter,LOAD_PRIORITY
4.0,115.92960007407484,38.22,38.22,0.0,8.32188018460748,-77.70960007407484,Winter,LOAD_PRIORITY
5.0,123.69626939139371,38.22,38.22,0.0,37.16142152913041,-85.47626939139371,Winter,LOAD_PRIORITY
6.0,126.05312180393669,38.22,38.22,0.0,53.10375308359742,-87.83312180393669,Winter,LOAD_PRIORITY
7.0,123.69626939139373,38.22,38.22,0.0,71.89598967977125,-85.47626939139373,Winter,LOAD_PRIORITY
8.0,115.92960007407486,38.22,38.22,0.0,71.60884040679878,-77.70960007407486,Winter,LOAD_PRIORITY
9.0,100.4462845109636,38.22,37.669035187727815,0.5509648122721817,60.28198105635959,-62.226284510963595,Winter,LOAD_PRIORITY
10.0,73.15072010711066,38.22,37.15227597211396,1.0677240278860394,37.445019243543,-34.93072010711065,Winter,LOAD_PRIORITY
11.0,37.8655990533683,38.22,36.9437625086466,1.2762374913534016,7.825245967906036,0.35440094663169636,Winter,LOAD_PRIORITY
12.0,1.7916759046899388e-14,38.22,36.72,1.5,0.0,38.219999999999985,Winter,LOAD_PRIORITY
13.0,0.0,38.22,35.90244251346161,2.317557486538391,0.0,38.22,Winter,LOAD_PRIORITY
14.0,0.0,38.22,35.21447624340705,3.0055237565929525,0.0,38.22,Winter,LOAD_PRIORITY
15.0,0.0,38.22,34.38,3.84,0.0,38.22,Winter,LOAD_PRIORITY
16.0,0.0,38.22,34.13852282969643,4.081477170303573,0.0,38.22,Winter,LOAD_PRIORITY
17.0,0.0,38.22,33.33774352827804,4.882256471721959,0.0,38.22,Winter,LOAD_PRIORITY
18.0,0.0,123.35490688013937,104.48212632635936,18.872780553780004,0.0,123.35490688013937,Winter,LOAD_PRIORITY
19.0,0.0,103.56413033794334,83.31291824763505,20.251212090308286,0.0,103.56413033794334,Winter,LOAD_PRIORITY
20.0,0.0,115.74726301832384,67.84028478308669,47.90697823523715,0.0,115.74726301832384,Winter,LOAD_PRIORITY
21.0,0.0,117.31914539925128,17.78150577285615,99.53763962639513,0.0,117.31914539925128,Winter,LOAD_PRIORITY
22.0,0.0,38.22,0.7417043578228426,37.47829564217716,0.0,38.22,Winter,LOAD_PRIORITY
23.0,0.0,38.22,0.5599999999999999,37.66,0.0,38.22,Winter,LOAD_PRIORITY
24.0,0.0,38.22,0.4208036376917657,37.79919636230824,0.0,38.22,Winter,LOAD_PRIORITY
25.0,36.24423090040694,38.22,27.698342205358657,10.521657794641342,0.0,1.975769099593058,Winter,LOAD_PRIORITY
26.0,70.0184773613747,38.22,33.863476406273925,4.356523593726074,0.0,-31.798477361374708,Winter,LOAD_PRIORITY
27.0,97.92544190611986,38.22,36.48644452949106,1.7335554705089367,0.0,-59.70544190611986,Winter,LOAD_PRIORITY
28.0,115.25318756545315,38.22,37.73851204105363,0.4814879589463708,0.0,-77.03318756545315,Winter,LOAD_PRIORITY
29.0,124.23600858546969,38.22,37.94,0.27999999999999997,1.8066177687852023,-86.01600858546969,Winter,LOAD_PRIORITY
30.0,126.87503734107749,38.22,37.94,0.27999999999999997,23.77232887148438,-88.65503734107749,Winter,LOAD_PRIORITY
31.0,124.23600858546969,38.22,37.94,0.27999999999999997,46.917671833656705,-86.01600858546969,Winter,LOAD_PRIORITY
32.0,115.25318756545315,38.22,37.94,0.27999999999999997,51.27848068605617,-77.03318756545315,Winter,LOAD_PRIORITY
33.0,97.92544190611986,38.22,37.843391165914475,0.3766088340855271,43.5939703641402,-59.70544190611986,Winter,LOAD_PRIORITY
34.0,70.01847736137476,38.22,35.16687058984814,3.0531294101518642,33.14759702543182,-31.79847736137476,Winter,LOAD_PRIORITY
35.0,36.24423090040698,38.22,33.06729286377604,5.152707136223961,8.433177026101179,1.9757690995930175,Winter,LOAD_PRIORITY
36.0,1.7149580836355792e-14,38.22,30.381095737717892,7.838904262282105,0.0,38.219999999999985,Winter,LOAD_PRIORITY
37.0,0.0,38.22,28.86249875833166,9.35750124166834,0.0,38.22,Winter,LOAD_PRIORITY
38.0,0.0,38.22,26.963172717222346,11.256827282777655,0.0,38.22,Winter,LOAD_PRIORITY
39.0,0.0,38.22,25.85893607460947,12.361063925390528,0.0,38.22,Winter,LOAD_PRIORITY
40.0,0.0,38.22,23.923040108051392,14.296959891948607,0.0,38.22,Winter,LOAD_PRIORITY
41.0,0.0,38.22,21.887130542733964,16.332869457266035,0.0,38.22,Winter,LOAD_PRIORITY
42.0,0.0,115.46089119937244,67.80194278318588,47.65894841618657,0.0,115.46089119937244,Winter,LOAD_PRIORITY
43.0,0.0,110.40597984157306,64.28542861161371,46.12055122995935,0.0,110.40597984157306,Winter,LOAD_PRIORITY
44.0,0.0,102.82270628258188,50.50300985252186,52.31969643006002,0.0,102.82270628258188,Winter,LOAD_PRIORITY
45.0,0.0,109.10371285813072,24.608926803163882,84.49478605496685,0.0,109.10371285813072,Winter,LOAD_PRIORITY
46.0,0.0,38.22,2.697292960745255,35.52270703925475,0.0,38.22,Winter,LOAD_PRIORITY
47.0,0.0,38.22,1.2267632339971009,36.9932367660029,0.0,38.22,Winter,LOAD_PRIORITY
48.0,0.0,38.22,0.78,37.44,0.0,38.22,Winter,LOAD_PRIORITY
49.0,38.079080198611145,38.22,30.1499257281006,8.070074271899395,0.0,0.14091980138885307,Winter,LOAD_PRIORITY
