time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Winter,PRODUCE_PRIORITY
1.0,39.18031439422313,38.22,38.22,0.0,39.18031439422313,-0.9603143942231318,Winter,PRODUCE_PRIORITY
2.0,75.69055511101091,38.22,38.22,0.0,75.69055511101091,-37.4705551110109,Winter,PRODUCE_PRIORITY
3.0,105.83834408625161,38.22,38.22,0.0,105.83834408625161,-67.61834408625161,Winter,PRODUCE_PRIORITY
4.0,124.86027674589297,38.22,38.22,0.0,124.86027674589297,-86.64027674589298,Winter,PRODUCE_PRIORITY
5.0,134.40346235889325,38.22,32.67779618945547,5.542203810544526,134.40346235889325,-96.18346235889327,Winter,PRODUCE_PRIORITY
6.0,137.19867661291102,38.22,20.22,18.0,137.19867661291102,-98.97867661291102,Winter,PRODUCE_PRIORITY
7.0,134.40346235889328,38.22,16.423347142091618,21.796652857908384,134.40346235889328,-96.18346235889328,Winter,PRODUCE_PRIORITY
8.0,124.86027674589297,38.22,10.14,28.08,124.86027674589297,-86.64027674589298,Winter,PRODUCE_PRIORITY
9.0,105.83834408625161,38.22,6.804414373283407,31.41558562671659,105.83834408625161,-67.61834408625161,Winter,PRODUCE_PRIORITY
10.0,75.69055511101097,38.22,3.6399999999999997,34.58,75.69055511101097,-37.47055511101097,Winter,PRODUCE_PRIORITY
11.0,39.180314394223174,38.22,3.6399999999999997,34.58,39.180314394223174,-0.9603143942231759,Winter,PRODUCE_PRIORITY
12.0,1.8538839208477172e-14,38.22,3.6399999999999997,34.58,1.8538839208477172e-14,38.21999999999998,Winter,PRODUCE_PRIORITY
13.0,0.0,38.22,2.0115314986267174,36.20846850137328,0.0,38.22,Winter,PRODUCE_PRIORITY
14.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
15.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
16.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
17.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
18.0,0.0,109.40060545843741,0.0,109.40060545843741,0.0,109.40060545843741,Winter,PRODUCE_PRIORITY
19.0,0.0,96.7844013656552,0.0,96.7844013656552,0.0,96.7844013656552,Winter,PRODUCE_PRIORITY
20.0,0.0,112.31464105824583,0.0,112.31464105824583,0.0,112.31464105824583,Winter,PRODUCE_PRIORITY
21.0,0.0,110.83189651587541,0.0,110.83189651587541,0.0,110.83189651587541,Winter,PRODUCE_PRIORITY
22.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
23.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
24.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
25.0,36.597143578629776,38.22,0.0,38.22,36.597143578629776,1.6228564213702228,Winter,PRODUCE_PRIORITY
26.0,70.70025230201527,38.22,0.0,38.22,70.70025230201527,-32.480252302015266,Winter,PRODUCE_PRIORITY
27.0,99.33245705656105,38.22,0.0,38.22,99.33245705656105,-61.11245705656106,Winter,PRODUCE_PRIORITY
28.0,116.16331741055066,38.22,0.0,38.22,116.16331741055066,-77.94331741055066,Winter,PRODUCE_PRIORITY
29.0,125.51076661071693,38.22,0.0,38.22,125.51076661071693,-87.29076661071693,Winter,PRODUCE_PRIORITY
30.0,128.33023593568706,38.22,0.0,38.22,128.33023593568706,-90.11023593568707,Winter,PRODUCE_PRIORITY
31.0,125.51076661071693,38.22,0.0,38.22,125.51076661071693,-87.29076661071693,Winter,PRODUCE_PRIORITY
32.0,116.16331741055066,38.22,0.0,38.22,116.16331741055066,-77.94331741055066,Winter,PRODUCE_PRIORITY
33.0,99.33245705656105,38.22,0.0,38.22,99.33245705656105,-61.11245705656106,Winter,PRODUCE_PRIORITY
34.0,70.70025230201531,38.22,0.0,38.22,70.70025230201531,-32.48025230201532,Winter,PRODUCE_PRIORITY
35.0,36.59714357862982,38.22,0.0,38.22,36.59714357862982,1.6228564213701815,Winter,PRODUCE_PRIORITY
36.0,1.731656753611466e-14,38.22,0.0,38.22,1.731656753611466e-14,38.219999999999985,Winter,PRODUCE_PRIORITY
37.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
38.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
39.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
40.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
41.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
42.0,0.0,112.49711816884628,0.0,112.49711816884628,0.0,112.49711816884628,Winter,PRODUCE_PRIORITY
43.0,0.0,107.21870685719173,0.0,107.21870685719173,0.0,107.21870685719173,Winter,PRODUCE_PRIORITY
44.0,0.0,104.92446574649243,0.0,104.92446574649243,0.0,104.92446574649243,Winter,PRODUCE_PRIORITY
45.0,0.0,118.3774195750186,0.0,118.3774195750186,0.0,118.3774195750186,Winter,PRODUCE_PRIORITY
46.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
47.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
48.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
49.0,34.82035459112473,38.22,0.0,38.22,34.82035459112473,3.3996454088752657,Winter,PRODUCE_PRIORITY
50.0,67.26775956022102,38.22,0.0,38.22,67.26775956022102,-29.047759560221017,Winter,PRODUCE_PRIORITY
51.0,93.81379909078238,38.22,0.0,38.22,93.81379909078238,-55.59379909078238,Winter,PRODUCE_PRIORITY
52.0,111.06643973106499,38.22,0.0,38.22,111.06643973106499,-72.846439731065,Winter,PRODUCE_PRIORITY
53.0,120.61352017439533,38.22,0.0,38.22,120.61352017439533,-82.39352017439533,Winter,PRODUCE_PRIORITY
54.0,123.37024437567719,38.22,0.0,38.22,123.37024437567719,-85.15024437567719,Winter,PRODUCE_PRIORITY
55.0,120.61352017439535,38.22,0.0,38.22,120.61352017439535,-82.39352017439535,Winter,PRODUCE_PRIORITY
56.0,111.066439731065,38.22,0.0,38.22,111.066439731065,-72.846439731065,Winter,PRODUCE_PRIORITY
57.0,93.81379909078238,38.22,0.0,38.22,93.81379909078238,-55.59379909078238,Winter,PRODUCE_PRIORITY
58.0,67.26775956022107,38.22,0.0,38.22,67.26775956022107,-29.04775956022107,Winter,PRODUCE_PRIORITY
59.0,34.82035459112477,38.22,0.0,38.22,34.82035459112477,3.399645408875227,Winter,PRODUCE_PRIORITY
60.0,1.647584928624769e-14,38.22,0.0,38.22,1.647584928624769e-14,38.219999999999985,Winter,PRODUCE_PRIORITY
61.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
62.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
63.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
64.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
65.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
66.0,0.0,109.6208998860594,0.0,109.6208998860594,0.0,109.6208998860594,Winter,PRODUCE_PRIORITY
67.0,0.0,116.26643476556994,0.0,116.26643476556994,0.0,116.26643476556994,Winter,PRODUCE_PRIORITY
68.0,0.0,113.61849478894688,0.0,113.61849478894688,0.0,113.61849478894688,Winter,PRODUCE_PRIORITY
69.0,0.0,111.86780699823102,0.0,111.86780699823102,0.0,111.86780699823102,Winter,PRODUCE_PRIORITY
70.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
71.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
72.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
73.0,35.396648631575026,38.22,0.0,38.22,35.396648631575026,2.8233513684249703,Winter,PRODUCE_PRIORITY
74.0,68.38107415463585,38.22,0.0,38.22,68.38107415463585,-30.161074154635852,Winter,PRODUCE_PRIORITY
75.0,95.17739260265202,38.22,0.0,38.22,95.17739260265202,-56.957392602652014,Winter,PRODUCE_PRIORITY
76.0,112.05616868546956,38.22,0.0,38.22,112.05616868546956,-73.83616868546956,Winter,PRODUCE_PRIORITY
77.0,121.04348378924716,38.22,0.0,38.22,121.04348378924716,-82.82348378924716,Winter,PRODUCE_PRIORITY
78.0,123.51706488143543,38.22,0.0,38.22,123.51706488143543,-85.29706488143543,Winter,PRODUCE_PRIORITY
79.0,121.04348378924718,38.22,0.0,38.22,121.04348378924718,-82.82348378924718,Winter,PRODUCE_PRIORITY
80.0,112.05616868546957,38.22,0.0,38.22,112.05616868546957,-73.83616868546957,Winter,PRODUCE_PRIORITY
81.0,95.17739260265202,38.22,0.0,38.22,95.17739260265202,-56.957392602652014,Winter,PRODUCE_PRIORITY
82.0,68.38107415463591,38.22,0.0,38.22,68.38107415463591,-30.161074154635905,Winter,PRODUCE_PRIORITY
83.0,35.39664863157507,38.22,0.0,38.22,35.39664863157507,2.8233513684249307,Winter,PRODUCE_PRIORITY
84.0,1.6748532717146523e-14,38.22,0.0,38.22,1.6748532717146523e-14,38.219999999999985,Winter,PRODUCE_PRIORITY
85.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
86.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
87.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
88.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
89.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
90.0,0.0,126.27406443036581,0.0,126.27406443036581,0.0,126.27406443036581,Winter,PRODUCE_PRIORITY
91.0,0.0,100.24302503128688,0.0,100.24302503128688,0.0,100.24302503128688,Winter,PRODUCE_PRIORITY
92.0,0.0,119.41807881676661,0.0,119.41807881676661,0.0,119.41807881676661,Winter,PRODUCE_PRIORITY
93.0,0.0,107.49738761704599,0.0,107.49738761704599,0.0,107.49738761704599,Winter,PRODUCE_PRIORITY
94.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
95.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
96.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
97.0,35.64160684979096,38.22,0.0,38.22,35.64160684979096,2.578393150209042,Winter,PRODUCE_PRIORITY
98.0,68.85429709330889,38.22,0.0,38.22,68.85429709330889,-30.634297093308888,Winter,PRODUCE_PRIORITY
99.0,96.75558422354806,38.22,0.0,38.22,96.75558422354806,-58.535584223548064,Winter,PRODUCE_PRIORITY
100.0,116.36027254388274,38.22,0.0,38.22,116.36027254388274,-78.14027254388274,Winter,PRODUCE_PRIORITY
101.0,127.08554611243189,38.22,0.0,38.22,127.08554611243189,-88.86554611243189,Winter,PRODUCE_PRIORITY
102.0,130.327859031766,38.22,0.0,38.22,130.327859031766,-92.10785903176598,Winter,PRODUCE_PRIORITY
103.0,127.0855461124319,38.22,0.0,38.22,127.0855461124319,-88.8655461124319,Winter,PRODUCE_PRIORITY
104.0,116.36027254388276,38.22,0.0,38.22,116.36027254388276,-78.14027254388276,Winter,PRODUCE_PRIORITY
105.0,96.75558422354806,38.22,0.0,38.22,96.75558422354806,-58.535584223548064,Winter,PRODUCE_PRIORITY
106.0,68.85429709330894,38.22,0.0,38.22,68.85429709330894,-30.63429709330894,Winter,PRODUCE_PRIORITY
107.0,35.641606849790996,38.22,0.0,38.22,35.641606849790996,2.5783931502090027,Winter,PRODUCE_PRIORITY
108.0,1.686443890857233e-14,38.22,0.0,38.22,1.686443890857233e-14,38.219999999999985,Winter,PRODUCE_PRIORITY
109.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
110.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
111.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
112.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
113.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
114.0,0.0,110.16014075781064,0.0,110.16014075781064,0.0,110.16014075781064,Winter,PRODUCE_PRIORITY
115.0,0.0,115.11450020612034,0.0,115.11450020612034,0.0,115.11450020612034,Winter,PRODUCE_PRIORITY
116.0,0.0,112.16580235091631,0.0,112.16580235091631,0.0,112.16580235091631,Winter,PRODUCE_PRIORITY
117.0,0.0,103.55634361242814,0.0,103.55634361242814,0.0,103.55634361242814,Winter,PRODUCE_PRIORITY
118.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
119.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
120.0,0.0,38.22,0.0,38.22,0.0,38.22,Winter,PRODUCE_PRIORITY
121.0,38.432413077952326,38.22,0.0,38.22,38.432413077952326,-0.2124130779523244,Winter,PRODUCE_PRIORITY
122.0,74.24572071720777,38.22,0.0,38.22,74.24572071720777,-36.02572071720778,Winter,PRODUCE_PRIORITY
123.0,100.87806445022949,38.22,0.0,38.22,100.87806445022949,-62.65806445022949,Winter,PRODUCE_PRIORITY
124.0,116.94908545183182,38.22,0.0,38.22,116.94908545183182,-78.72908545183182,Winter,PRODUCE_PRIORITY
125.0,124.85673087336507,38.22,0.0,38.22,124.85673087336507,-86.63673087336507,Winter,PRODUCE_PRIORITY
126.0,127.3260129123263,38.22,0.0,38.22,127.3260129123263,-89.1060129123263,Winter,PRODUCE_PRIORITY
127.0,124.85673087336508,38.22,0.0,38.22,124.85673087336508,-86.63673087336508,Winter,PRODUCE_PRIORITY
128.0,116.94908545183183,38.22,0.0,38.22,116.94908545183183,-78.72908545183184,Winter,PRODUCE_PRIORITY
129.0,100.87806445022949,38.22,0.0,38.22,100.87806445022949,-62.65806445022949,Winter,PRODUCE_PRIORITY
130.0,74.24572071720783,38.22,0.0,38.22,74.24572071720783,-36.02572071720784,Winter,PRODUCE_PRIORITY
131.0,38.43241307795237,38.22,0.0,38.22,38.43241307795237,-0.21241307795236664,Winter,PRODUCE_PRIORITY
132.0,1.818495684534337e-14,38.22,0.0,38.22,1.818495684534337e-14,38.21999999999998,Winter,PRODUCE_PRIORITY
