time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Fall,CHARGE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Fall,CHARGE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Fall,CHARGE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Fall,CHARGE_PRIORITY
1.0,apartment,5.008391670731971,3.6399999999999997,3.6399999999999997,0.0,0.0,-1.3683916707319717,Fall,CHARGE_PRIORITY
1.0,family_house,9.653723906632656,10.08,10.08,0.0,0.0,0.42627609336734285,Fall,CHARGE_PRIORITY
1.0,luxury_house,14.256714163956717,18.0,18.0,0.0,0.0,3.743285836043283,Fall,CHARGE_PRIORITY
1.0,small_family,7.800348169849869,6.5,6.5,0.0,0.0,-1.300348169849869,Fall,CHARGE_PRIORITY
2.0,apartment,9.675469725862133,3.6399999999999997,3.6399999999999997,0.0,0.0,-6.035469725862132,Fall,CHARGE_PRIORITY
2.0,family_house,18.64956248256136,10.08,10.08,0.0,0.0,-8.569562482561363,Fall,CHARGE_PRIORITY
2.0,luxury_house,27.54185681797391,18.0,18.0,0.0,0.0,-9.541856817973908,Fall,CHARGE_PRIORITY
2.0,small_family,15.06911550260931,6.5,6.5,0.0,0.0,-8.56911550260931,Fall,CHARGE_PRIORITY
3.0,apartment,13.683180508644524,3.6399999999999997,3.6399999999999997,0.0,0.0,-10.043180508644523,Fall,CHARGE_PRIORITY
3.0,family_house,26.37446419516273,10.08,10.08,0.0,0.0,-16.294464195162732,Fall,CHARGE_PRIORITY
3.0,luxury_house,38.61738115050917,18.0,18.0,0.0,0.0,-20.617381150509168,Fall,CHARGE_PRIORITY
3.0,small_family,21.31094751675675,6.5,6.5,0.0,0.0,-14.810947516756753,Fall,CHARGE_PRIORITY
4.0,apartment,16.758405152287732,3.6399999999999997,3.6399999999999997,0.0,1.2537327113389296,-13.118405152287732,Fall,CHARGE_PRIORITY
4.0,family_house,31.365932976385672,10.08,10.08,0.0,0.27122043905620863,-21.285932976385673,Fall,CHARGE_PRIORITY
4.0,luxury_house,42.0577966389935,18.0,18.0,0.0,0.0,-24.057796638993505,Fall,CHARGE_PRIORITY
4.0,small_family,26.100473675643148,6.5,6.5,0.0,6.666330827030931,-19.600473675643148,Fall,CHARGE_PRIORITY
5.0,apartment,18.691572179376493,3.6399999999999997,3.6399999999999997,0.0,8.110318379446205,-15.051572179376492,Fall,CHARGE_PRIORITY
5.0,family_house,33.481937045604234,10.08,10.08,0.0,9.208831830902394,-23.401937045604235,Fall,CHARGE_PRIORITY
5.0,luxury_house,43.21801449092986,18.0,18.0,0.0,0.0,-25.218014490929857,Fall,CHARGE_PRIORITY
5.0,small_family,28.417975479914944,6.5,6.5,0.0,12.759167541257662,-21.917975479914944,Fall,CHARGE_PRIORITY
6.0,apartment,19.35093945172427,3.6399999999999997,3.6399999999999997,0.0,9.977151733207107,-15.710939451724268,Fall,CHARGE_PRIORITY
6.0,family_house,34.09863301074269,10.08,10.08,0.0,14.121466435145386,-24.018633010742686,Fall,CHARGE_PRIORITY
6.0,luxury_house,43.613743193954825,18.0,18.0,0.0,0.0,-25.613743193954825,Fall,CHARGE_PRIORITY
6.0,small_family,28.99713894491275,6.5,6.5,0.0,14.941856209872546,-22.49713894491275,Fall,CHARGE_PRIORITY
7.0,apartment,18.691572179376493,3.6399999999999997,3.6399999999999997,0.0,11.204367428035278,-15.051572179376496,Fall,CHARGE_PRIORITY
7.0,family_house,33.481937045604234,10.08,10.08,0.0,19.301816126655854,-23.401937045604235,Fall,CHARGE_PRIORITY
7.0,luxury_house,43.21801449092986,18.0,18.0,0.0,10.615827624529363,-25.218014490929857,Fall,CHARGE_PRIORITY
7.0,small_family,28.41797547991495,6.5,6.5,0.0,17.52020212120141,-21.91797547991495,Fall,CHARGE_PRIORITY
8.0,apartment,16.758405152287732,3.6399999999999997,3.6399999999999997,0.0,9.871807810377417,-13.118405152287732,Fall,CHARGE_PRIORITY
8.0,family_house,31.365932976385675,10.08,10.08,0.0,19.80528122591459,-21.285932976385673,Fall,CHARGE_PRIORITY
8.0,luxury_house,42.05779663899351,18.0,18.0,0.0,20.0,-24.057796638993505,Fall,CHARGE_PRIORITY
8.0,small_family,26.10047367564315,6.5,6.5,0.0,17.434793917371145,-19.60047367564315,Fall,CHARGE_PRIORITY
9.0,apartment,13.683180508644524,3.6399999999999997,3.6399999999999997,0.0,7.7520115807073635,-10.043180508644523,Fall,CHARGE_PRIORITY
9.0,family_house,26.37446419516273,10.08,10.08,0.0,15.702088591441282,-16.294464195162732,Fall,CHARGE_PRIORITY
9.0,luxury_house,38.61738115050917,18.0,18.0,0.0,18.405224583104594,-20.617381150509168,Fall,CHARGE_PRIORITY
9.0,small_family,21.31094751675675,6.5,6.5,0.0,14.256000698243279,-14.810947516756753,Fall,CHARGE_PRIORITY
10.0,apartment,9.67546972586214,3.6399999999999997,3.6399999999999997,0.0,4.989439348948228,-6.035469725862139,Fall,CHARGE_PRIORITY
10.0,family_house,18.649562482561375,10.08,10.08,0.0,9.134810891373661,-8.569562482561377,Fall,CHARGE_PRIORITY
10.0,luxury_house,27.54185681797393,18.0,18.0,0.0,9.734985220996514,-9.54185681797393,Fall,CHARGE_PRIORITY
10.0,small_family,15.069115502609323,6.5,6.5,0.0,8.76249528166745,-8.569115502609323,Fall,CHARGE_PRIORITY
11.0,apartment,5.008391670731977,3.6399999999999997,3.6399999999999997,0.0,1.7723558473279177,-1.3683916707319772,Fall,CHARGE_PRIORITY
11.0,family_house,9.653723906632667,10.08,10.08,0.0,1.6512520375346853,0.4262760933673323,Fall,CHARGE_PRIORITY
11.0,luxury_house,14.256714163956731,18.0,18.0,0.0,0.08587325038178695,3.7432858360432677,Fall,CHARGE_PRIORITY
11.0,small_family,7.800348169849878,6.5,6.5,0.0,2.462757968111588,-1.3003481698498778,Fall,CHARGE_PRIORITY
12.0,apartment,2.369806606004836e-15,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999975,Fall,CHARGE_PRIORITY
12.0,family_house,4.567825399953468e-15,10.08,10.08,0.0,0.0,10.079999999999995,Fall,CHARGE_PRIORITY
12.0,luxury_house,6.745809358941292e-15,18.0,18.0,0.0,0.0,17.999999999999993,Fall,CHARGE_PRIORITY
12.0,small_family,3.690868813250451e-15,6.5,6.5,0.0,0.0,6.4999999999999964,Fall,CHARGE_PRIORITY
13.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Fall,CHARGE_PRIORITY
13.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Fall,CHARGE_PRIORITY
13.0,luxury_house,0.0,18.0,17.47748439221449,0.5225156077855122,0.0,18.0,Fall,CHARGE_PRIORITY
13.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Fall,CHARGE_PRIORITY
14.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Fall,CHARGE_PRIORITY
14.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Fall,CHARGE_PRIORITY
14.0,luxury_house,0.0,18.0,16.5,1.5,0.0,18.0,Fall,CHARGE_PRIORITY
14.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Fall,CHARGE_PRIORITY
15.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Fall,CHARGE_PRIORITY
15.0,family_house,0.0,10.08,9.837651683834128,0.24234831616587127,0.0,10.08,Fall,CHARGE_PRIORITY
15.0,luxury_house,0.0,18.0,16.5,1.5,0.0,18.0,Fall,CHARGE_PRIORITY
15.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Fall,CHARGE_PRIORITY
16.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Fall,CHARGE_PRIORITY
16.0,family_house,0.0,10.08,9.24,0.84,0.0,10.08,Fall,CHARGE_PRIORITY
