time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Fall,LOAD_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Fall,LOAD_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Fall,LOAD_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Fall,LOAD_PRIORITY
1.0,apartment,6.276875581871609,3.6399999999999997,3.6399999999999997,0.0,0.0,-2.6368755818716094,Fall,LOAD_PRIORITY
1.0,family_house,10.68071644738399,10.08,10.08,0.0,0.0,-0.6007164473839904,Fall,LOAD_PRIORITY
1.0,luxury_house,11.18584303940564,18.0,18.0,0.0,0.0,6.81415696059436,Fall,LOAD_PRIORITY
1.0,small_family,8.112818064982843,6.5,6.5,0.0,0.0,-1.6128180649828439,Fall,LOAD_PRIORITY
2.0,apartment,12.12599246586602,3.6399999999999997,3.6399999999999997,0.0,0.0,-8.485992465866019,Fall,LOAD_PRIORITY
2.0,family_house,20.633559719597244,10.08,10.08,0.0,0.0,-10.553559719597246,Fall,LOAD_PRIORITY
2.0,luxury_house,21.609389361155433,18.0,18.0,0.0,0.0,-3.609389361155432,Fall,LOAD_PRIORITY
2.0,small_family,15.672760985902865,6.5,6.5,0.0,0.0,-9.172760985902865,Fall,LOAD_PRIORITY
3.0,apartment,17.1487430024617,3.6399999999999997,3.6399999999999997,0.0,0.0,-13.5087430024617,Fall,LOAD_PRIORITY
3.0,family_house,29.180259995489628,10.08,10.08,0.0,0.0,-19.10025999548963,Fall,LOAD_PRIORITY
3.0,luxury_house,29.758247050332404,18.0,18.0,0.0,0.0,-11.758247050332404,Fall,LOAD_PRIORITY
3.0,small_family,22.164631146095758,6.5,6.5,0.0,0.0,-15.66463114609576,Fall,LOAD_PRIORITY
4.0,apartment,21.002835043077365,3.6399999999999997,3.6399999999999997,0.0,2.4107186804636265,-17.362835043077364,Fall,LOAD_PRIORITY
4.0,family_house,35.657055003444036,10.08,10.08,0.0,0.0,-25.577055003444034,Fall,LOAD_PRIORITY
4.0,luxury_house,34.318353913336345,18.0,18.0,0.0,0.0,-16.318353913336345,Fall,LOAD_PRIORITY
4.0,small_family,27.146018322467054,6.5,6.5,0.0,0.10564523558326133,-20.646018322467054,Fall,LOAD_PRIORITY
5.0,apartment,23.425618584333304,3.6399999999999997,3.6399999999999997,0.0,11.627288965415591,-19.785618584333307,Fall,LOAD_PRIORITY
5.0,family_house,38.91666797082987,10.08,10.08,0.0,8.70427330378773,-28.836667970829872,Fall,LOAD_PRIORITY
5.0,luxury_house,36.14654535171379,18.0,18.0,0.0,0.0,-18.146545351713794,Fall,LOAD_PRIORITY
5.0,small_family,30.277449211078597,6.5,6.5,0.0,15.664644875840542,-23.777449211078597,Fall,LOAD_PRIORITY
6.0,apartment,24.251984931732043,3.6399999999999997,3.6399999999999997,0.0,17.912944714507663,-20.611984931732042,Fall,LOAD_PRIORITY
6.0,family_house,39.7465503948236,10.08,10.08,0.0,18.31802979184183,-29.666550394823602,Fall,LOAD_PRIORITY
6.0,luxury_house,36.71613379854044,18.0,18.0,0.0,1.1387579079557422,-18.716133798540437,Fall,LOAD_PRIORITY
6.0,small_family,31.345521971805738,6.5,6.5,0.0,18.723151306057254,-24.845521971805738,Fall,LOAD_PRIORITY
7.0,apartment,23.425618584333307,3.6399999999999997,3.6399999999999997,0.0,17.25074070009423,-19.785618584333307,Fall,LOAD_PRIORITY
7.0,family_house,38.91666797082987,10.08,10.08,0.0,23.742234120832222,-28.836667970829872,Fall,LOAD_PRIORITY
7.0,luxury_house,36.14654535171379,18.0,18.0,0.0,8.388548155134849,-18.146545351713794,Fall,LOAD_PRIORITY
7.0,small_family,30.277449211078604,6.5,6.5,0.0,18.294788888702204,-23.777449211078604,Fall,LOAD_PRIORITY
8.0,apartment,21.002835043077365,3.6399999999999997,3.6399999999999997,0.0,15.968398938833058,-17.362835043077364,Fall,LOAD_PRIORITY
