time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Fall,PRODUCE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Fall,PRODUCE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Fall,PRODUCE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Fall,PRODUCE_PRIORITY
1.0,apartment,5.4248508200385315,3.6399999999999997,3.6399999999999997,0.0,5.4248508200385315,-1.7848508200385318,Fall,PRODUCE_PRIORITY
1.0,family_house,8.096715468392611,10.08,10.08,0.0,8.096715468392611,1.983284531607389,Fall,PRODUCE_PRIORITY
1.0,luxury_house,9.488581545389582,18.0,18.0,0.0,9.488581545389582,8.511418454610418,Fall,PRODUCE_PRIORITY
1.0,small_family,9.08078828381607,6.5,6.5,0.0,9.08078828381607,-2.580788283816069,Fall,PRODUCE_PRIORITY
2.0,apartment,10.480007021681295,3.6399999999999997,3.6399999999999997,0.0,10.480007021681295,-6.840007021681295,Fall,PRODUCE_PRIORITY
2.0,family_house,15.641653158069225,10.08,10.08,0.0,15.641653158069225,-5.561653158069226,Fall,PRODUCE_PRIORITY
2.0,luxury_house,18.330531939083276,18.0,18.0,0.0,18.330531939083276,-0.33053193908327383,Fall,PRODUCE_PRIORITY
2.0,small_family,17.542735852802252,6.5,6.5,0.0,17.542735852802252,-11.042735852802252,Fall,PRODUCE_PRIORITY
3.0,apartment,14.820968063826959,3.6399999999999997,3.6399999999999997,0.0,14.820968063826959,-11.180968063826958,Fall,PRODUCE_PRIORITY
3.0,family_house,22.120638034077455,10.08,10.08,0.0,22.120638034077455,-12.040638034077457,Fall,PRODUCE_PRIORITY
3.0,luxury_house,25.92328687376476,18.0,18.0,0.0,25.92328687376476,-7.923286873764758,Fall,PRODUCE_PRIORITY
3.0,small_family,24.809174964161695,6.5,6.5,0.0,24.809174964161695,-18.309174964161695,Fall,PRODUCE_PRIORITY
4.0,apartment,18.151904625230596,3.6399999999999997,3.6399999999999997,0.0,18.151904625230596,-14.511904625230597,Fall,PRODUCE_PRIORITY
4.0,family_house,26.87699894923535,10.08,10.08,0.0,26.87699894923535,-16.796998949235352,Fall,PRODUCE_PRIORITY
4.0,luxury_house,30.534034822907223,18.0,18.0,0.0,30.534034822907223,-12.534034822907223,Fall,PRODUCE_PRIORITY
4.0,small_family,30.38490980081364,6.5,6.5,0.0,30.38490980081364,-23.88490980081364,Fall,PRODUCE_PRIORITY
5.0,apartment,20.245818883865486,3.6399999999999997,3.6399999999999997,0.0,20.245818883865486,-16.60581888386549,Fall,PRODUCE_PRIORITY
5.0,family_house,29.054556515569118,10.08,10.08,0.0,29.054556515569118,-18.97455651556912,Fall,PRODUCE_PRIORITY
5.0,luxury_house,33.13345002447653,18.0,12.457796189455474,5.542203810544526,33.13345002447653,-15.133450024476533,Fall,PRODUCE_PRIORITY
5.0,small_family,33.61328932220797,6.5,6.5,0.0,33.61328932220797,-27.113289322207972,Fall,PRODUCE_PRIORITY
6.0,apartment,20.960014043362595,3.6399999999999997,3.6399999999999997,0.0,20.960014043362595,-17.320014043362598,Fall,PRODUCE_PRIORITY
6.0,family_house,29.673247098418024,10.08,10.08,0.0,29.673247098418024,-19.593247098418026,Fall,PRODUCE_PRIORITY
6.0,luxury_house,34.020062141867776,18.0,0.0,18.0,34.020062141867776,-16.020062141867772,Fall,PRODUCE_PRIORITY
6.0,small_family,34.26819500700177,6.5,6.5,0.0,34.26819500700177,-27.768195007001772,Fall,PRODUCE_PRIORITY
7.0,apartment,20.245818883865493,3.6399999999999997,3.6399999999999997,0.0,20.245818883865493,-16.605818883865492,Fall,PRODUCE_PRIORITY
7.0,family_house,29.054556515569118,10.08,6.283347142091618,3.7966528579083825,29.054556515569118,-18.97455651556912,Fall,PRODUCE_PRIORITY
7.0,luxury_house,33.13345002447653,18.0,0.0,18.0,33.13345002447653,-15.133450024476533,Fall,PRODUCE_PRIORITY
7.0,small_family,33.613289322207976,6.5,6.5,0.0,33.613289322207976,-27.113289322207976,Fall,PRODUCE_PRIORITY
8.0,apartment,18.151904625230596,3.6399999999999997,3.6399999999999997,0.0,18.151904625230596,-14.511904625230597,Fall,PRODUCE_PRIORITY
8.0,family_house,26.876998949235354,10.08,0.0,10.08,26.876998949235354,-16.796998949235356,Fall,PRODUCE_PRIORITY
8.0,luxury_house,30.534034822907227,18.0,0.0,18.0,30.534034822907227,-12.534034822907227,Fall,PRODUCE_PRIORITY
8.0,small_family,30.384909800813645,6.5,6.5,0.0,30.384909800813645,-23.884909800813645,Fall,PRODUCE_PRIORITY
9.0,apartment,14.820968063826959,3.6399999999999997,3.6399999999999997,0.0,14.820968063826959,-11.180968063826958,Fall,PRODUCE_PRIORITY
9.0,family_house,22.120638034077455,10.08,0.0,10.08,22.120638034077455,-12.040638034077457,Fall,PRODUCE_PRIORITY
9.0,luxury_house,25.92328687376476,18.0,0.0,18.0,25.92328687376476,-7.923286873764758,Fall,PRODUCE_PRIORITY
9.0,small_family,24.809174964161695,6.5,3.164414373283407,3.335585626716593,24.809174964161695,-18.309174964161695,Fall,PRODUCE_PRIORITY
10.0,apartment,10.480007021681304,3.6399999999999997,3.6399999999999997,0.0,10.480007021681304,-6.840007021681304,Fall,PRODUCE_PRIORITY
10.0,family_house,15.641653158069238,10.08,0.0,10.08,15.641653158069238,-5.561653158069238,Fall,PRODUCE_PRIORITY
10.0,luxury_house,18.330531939083286,18.0,0.0,18.0,18.330531939083286,-0.33053193908328793,Fall,PRODUCE_PRIORITY
10.0,small_family,17.542735852802267,6.5,0.0,6.5,17.542735852802267,-11.042735852802267,Fall,PRODUCE_PRIORITY
11.0,apartment,5.424850820038538,3.6399999999999997,3.6399999999999997,0.0,5.424850820038538,-1.784850820038538,Fall,PRODUCE_PRIORITY
11.0,family_house,8.09671546839262,10.08,0.0,10.08,8.09671546839262,1.9832845316073802,Fall,PRODUCE_PRIORITY
11.0,luxury_house,9.488581545389593,18.0,0.0,18.0,9.488581545389593,8.511418454610407,Fall,PRODUCE_PRIORITY
11.0,small_family,9.08078828381608,6.5,0.0,6.5,9.08078828381608,-2.5807882838160796,Fall,PRODUCE_PRIORITY
12.0,apartment,2.5668614108287574e-15,3.6399999999999997,3.6399999999999997,0.0,2.5668614108287574e-15,3.639999999999997,Fall,PRODUCE_PRIORITY
12.0,family_house,3.831100094680514e-15,10.08,0.0,10.08,3.831100094680514e-15,10.079999999999997,Fall,PRODUCE_PRIORITY
12.0,luxury_house,4.489685453173332e-15,18.0,0.0,18.0,4.489685453173332e-15,17.999999999999996,Fall,PRODUCE_PRIORITY
12.0,small_family,4.2967310620843596e-15,6.5,0.0,6.5,4.2967310620843596e-15,6.499999999999996,Fall,PRODUCE_PRIORITY
13.0,apartment,0.0,3.6399999999999997,2.0115314986267174,1.628468501373282,0.0,3.6399999999999997,Fall,PRODUCE_PRIORITY
13.0,family_house,0.0,10.08,0.0,10.08,0.0,10.08,Fall,PRODUCE_PRIORITY
13.0,luxury_house,0.0,18.0,0.0,18.0,0.0,18.0,Fall,PRODUCE_PRIORITY
13.0,small_family,0.0,6.5,0.0,6.5,0.0,6.5,Fall,PRODUCE_PRIORITY
14.0,apartment,0.0,3.6399999999999997,0.0,3.6399999999999997,0.0,3.6399999999999997,Fall,PRODUCE_PRIORITY
