time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,CHARGE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Spring,CHARGE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Spring,CHARGE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Spring,CHARGE_PRIORITY
1.0,apartment,4.392141508039774,3.6399999999999997,3.6399999999999997,0.0,0.0,-0.7521415080397751,Spring,CHARGE_PRIORITY
1.0,family_house,7.638741092693086,10.08,10.08,0.0,0.0,2.441258907306914,Spring,CHARGE_PRIORITY
1.0,luxury_house,11.211102964152225,18.0,18.0,0.0,0.0,6.788897035847775,Spring,CHARGE_PRIORITY
1.0,small_family,8.642025633666238,6.5,6.5,0.0,0.0,-2.142025633666239,Spring,CHARGE_PRIORITY
2.0,apartment,8.484965830663668,3.6399999999999997,3.6399999999999997,0.0,0.0,-4.844965830663668,Spring,CHARGE_PRIORITY
2.0,family_house,14.756914603535657,10.08,10.08,0.0,0.0,-4.676914603535658,Spring,CHARGE_PRIORITY
2.0,luxury_house,21.65818778852112,18.0,18.0,0.0,0.0,-3.6581877885211194,Spring,CHARGE_PRIORITY
2.0,small_family,16.69511150202074,6.5,6.5,0.0,0.0,-10.195111502020739,Spring,CHARGE_PRIORITY
3.0,apartment,11.999553753996855,3.6399999999999997,3.6399999999999997,0.0,0.0,-8.359553753996856,Spring,CHARGE_PRIORITY
3.0,family_house,20.869428771101717,10.08,10.08,0.0,0.0,-10.789428771101717,Spring,CHARGE_PRIORITY
3.0,luxury_house,29.628805370358055,18.0,18.0,0.0,0.0,-11.628805370358055,Spring,CHARGE_PRIORITY
3.0,small_family,23.61045311148879,6.5,6.5,0.0,0.0,-17.11045311148879,Spring,CHARGE_PRIORITY
4.0,apartment,14.696391919195337,3.6399999999999997,3.6399999999999997,0.0,1.2282286907798592,-11.056391919195336,Spring,CHARGE_PRIORITY
4.0,family_house,24.560133959150992,10.08,10.08,0.0,0.0,-14.480133959150994,Spring,CHARGE_PRIORITY
4.0,luxury_house,33.464260098805674,18.0,18.0,0.0,0.0,-15.46426009880567,Spring,CHARGE_PRIORITY
4.0,small_family,28.916781359527477,6.5,6.5,0.0,4.925224476695633,-22.416781359527477,Spring,CHARGE_PRIORITY
5.0,apartment,16.391695262036627,3.6399999999999997,3.6399999999999997,0.0,5.451024413124907,-12.751695262036629,Spring,CHARGE_PRIORITY
5.0,family_house,26.328554881038226,10.08,10.08,0.0,7.538401712026841,-16.248554881038224,Spring,CHARGE_PRIORITY
5.0,luxury_house,35.01743078722316,18.0,18.0,0.0,0.0,-17.017430787223162,Spring,CHARGE_PRIORITY
5.0,small_family,31.989246335088325,6.5,6.5,0.0,16.581788707494216,-25.489246335088325,Spring,CHARGE_PRIORITY
6.0,apartment,16.969931661327337,3.6399999999999997,3.6399999999999997,0.0,9.671129663256052,-13.329931661327338,Spring,CHARGE_PRIORITY
6.0,family_house,26.834011568037507,10.08,10.08,0.0,10.002921222940259,-16.754011568037505,Spring,CHARGE_PRIORITY
6.0,luxury_house,35.54718838496918,18.0,18.0,0.0,0.0,-17.547188384969182,Spring,CHARGE_PRIORITY
6.0,small_family,32.976600038347165,6.5,6.5,0.0,21.152193886723893,-26.47660003834716,Spring,CHARGE_PRIORITY
7.0,apartment,16.39169526203663,3.6399999999999997,3.6399999999999997,0.0,9.377976217857364,-12.75169526203663,Spring,CHARGE_PRIORITY
7.0,family_house,26.328554881038226,10.08,10.08,0.0,11.80396862834731,-16.248554881038224,Spring,CHARGE_PRIORITY
7.0,luxury_house,35.01743078722316,18.0,18.0,0.0,6.758973123588124,-17.017430787223162,Spring,CHARGE_PRIORITY
7.0,small_family,31.989246335088332,6.5,6.5,0.0,22.47240260913944,-25.489246335088332,Spring,CHARGE_PRIORITY
8.0,apartment,14.696391919195337,3.6399999999999997,3.6399999999999997,0.0,8.263269116541517,-11.056391919195336,Spring,CHARGE_PRIORITY
8.0,family_house,24.560133959150996,10.08,10.08,0.0,11.190239768083677,-14.480133959150995,Spring,CHARGE_PRIORITY
8.0,luxury_house,33.464260098805674,18.0,18.0,0.0,12.5,-15.464260098805672,Spring,CHARGE_PRIORITY
8.0,small_family,28.91678135952748,6.5,6.5,0.0,20.50247628495001,-22.41678135952748,Spring,CHARGE_PRIORITY
9.0,apartment,11.999553753996855,3.6399999999999997,3.6399999999999997,0.0,6.760775407719956,-8.359553753996856,Spring,CHARGE_PRIORITY
9.0,family_house,20.869428771101717,10.08,10.08,0.0,9.336384388646946,-10.789428771101717,Spring,CHARGE_PRIORITY
9.0,luxury_house,29.628805370358055,18.0,17.265628060849377,0.7343719391506245,11.135283034961619,-11.628805370358055,Spring,CHARGE_PRIORITY
9.0,small_family,23.61045311148879,6.5,6.5,0.0,15.914436401388238,-17.11045311148879,Spring,CHARGE_PRIORITY
10.0,apartment,8.484965830663674,3.6399999999999997,3.6399999999999997,0.0,4.45190548792856,-4.844965830663673,Spring,CHARGE_PRIORITY
10.0,family_house,14.75691460353567,10.08,10.08,0.0,5.6176994977632795,-4.67691460353567,Spring,CHARGE_PRIORITY
10.0,luxury_house,21.658187788521136,18.0,16.91886300818609,1.0811369918139107,6.38459359603654,-3.658187788521136,Spring,CHARGE_PRIORITY
10.0,small_family,16.69511150202075,6.5,6.5,0.0,10.18553347518418,-10.195111502020753,Spring,CHARGE_PRIORITY
11.0,apartment,4.39214150803978,3.6399999999999997,3.6399999999999997,0.0,1.4941078460891548,-0.75214150803978,Spring,CHARGE_PRIORITY
11.0,family_house,7.6387410926930945,10.08,10.08,0.0,1.287199222456946,2.4412589073069055,Spring,CHARGE_PRIORITY
11.0,luxury_house,11.211102964152238,18.0,16.41109672304666,1.5889032769533369,0.29441074509188647,6.7888970358477625,Spring,CHARGE_PRIORITY
