time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Spring,LOAD_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Spring,LOAD_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Spring,LOAD_PRIORITY
1.0,apartment,4.0685071488159235,3.6399999999999997,3.6399999999999997,0.0,0.0,-0.4285071488159238,Spring,LOAD_PRIORITY
1.0,family_house,7.506939397916411,10.08,10.08,0.0,0.0,2.573060602083588,Spring,LOAD_PRIORITY
1.0,luxury_house,9.31422882112829,18.0,18.0,0.0,0.0,8.68577117887171,Spring,LOAD_PRIORITY
1.0,small_family,5.180156293036323,6.5,6.5,0.0,0.0,1.3198437069636766,Spring,LOAD_PRIORITY
2.0,apartment,7.859752258966004,3.6399999999999997,3.6399999999999997,0.0,0.0,-4.219752258966004,Spring,LOAD_PRIORITY
2.0,family_house,14.502293281668738,10.08,10.08,0.0,0.0,-4.42229328166874,Spring,LOAD_PRIORITY
2.0,luxury_house,17.993708340587595,18.0,18.0,0.0,0.0,0.006291659412404393,Spring,LOAD_PRIORITY
2.0,small_family,10.007293495315254,6.5,6.5,0.0,0.0,-3.5072934953152544,Spring,LOAD_PRIORITY
3.0,apartment,11.115368241522297,3.6399999999999997,3.6399999999999997,0.0,0.0,-7.475368241522297,Spring,LOAD_PRIORITY
3.0,family_house,20.509339844448156,10.08,10.08,0.0,0.0,-10.429339844448158,Spring,LOAD_PRIORITY
3.0,luxury_house,24.654955759404587,18.0,18.0,0.0,0.0,-6.654955759404586,Spring,LOAD_PRIORITY
3.0,small_family,14.152450183722893,6.5,6.5,0.0,0.0,-7.652450183722892,Spring,LOAD_PRIORITY
4.0,apartment,13.613490247433376,3.6399999999999997,3.6399999999999997,0.0,0.042427002665423874,-9.973490247433377,Spring,LOAD_PRIORITY
4.0,family_house,24.597707462212583,10.08,10.08,0.0,0.24426502497321323,-14.517707462212583,Spring,LOAD_PRIORITY
4.0,luxury_house,28.63617498136758,18.0,18.0,0.0,0.0,-10.636174981367583,Spring,LOAD_PRIORITY
4.0,small_family,17.333140780139562,6.5,6.5,0.0,0.22577737247865226,-10.83314078013956,Spring,LOAD_PRIORITY
5.0,apartment,15.183875390338217,3.6399999999999997,3.6399999999999997,0.0,4.940239020788716,-11.543875390338217,Spring,LOAD_PRIORITY
5.0,family_house,26.95439933603577,10.08,10.08,0.0,4.615130880155152,-16.874399336035772,Spring,LOAD_PRIORITY
5.0,luxury_house,31.01666242493365,18.0,18.0,0.0,0.0,-13.01666242493365,Spring,LOAD_PRIORITY
5.0,small_family,19.33260647675921,6.5,6.5,0.0,5.227488472204726,-12.832606476759212,Spring,LOAD_PRIORITY
6.0,apartment,15.719504517932009,3.6399999999999997,3.6399999999999997,0.0,6.713578509128103,-12.07950451793201,Spring,LOAD_PRIORITY
6.0,family_house,27.62303814657853,10.08,10.08,0.0,7.996060024754728,-17.54303814657853,Spring,LOAD_PRIORITY
6.0,luxury_house,31.82860236107359,18.0,18.0,0.0,0.9889397099751875,-13.828602361073589,Spring,LOAD_PRIORITY
6.0,small_family,20.014586990630512,6.5,6.5,0.0,7.741707957786268,-13.514586990630512,Spring,LOAD_PRIORITY
7.0,apartment,14.759233607708952,3.6399999999999997,3.6399999999999997,0.0,7.933714321800524,-11.119233607708951,Spring,LOAD_PRIORITY
7.0,family_house,26.95439933603577,10.08,10.08,0.0,13.00275045358513,-16.874399336035772,Spring,LOAD_PRIORITY
7.0,luxury_house,31.01666242493365,18.0,18.0,0.0,4.724095023860685,-13.01666242493365,Spring,LOAD_PRIORITY
7.0,small_family,19.332606476759217,6.5,6.5,0.0,8.89991210141428,-12.832606476759215,Spring,LOAD_PRIORITY
8.0,apartment,13.232766840670255,3.6399999999999997,3.6399999999999997,0.0,7.662691479942777,-9.592766840670256,Spring,LOAD_PRIORITY
8.0,family_house,24.597707462212586,10.08,10.08,0.0,11.654618261012327,-14.517707462212586,Spring,LOAD_PRIORITY
8.0,luxury_house,28.636174981367585,18.0,18.0,0.0,5.0,-10.636174981367585,Spring,LOAD_PRIORITY
8.0,small_family,17.333140780139562,6.5,6.5,0.0,7.772593838915788,-10.833140780139562,Spring,LOAD_PRIORITY
9.0,apartment,10.804508881621052,3.6399999999999997,3.6399999999999997,0.0,6.202336308340412,-7.164508881621052,Spring,LOAD_PRIORITY
9.0,family_house,20.509339844448156,10.08,10.08,0.0,9.170637404922022,-10.429339844448158,Spring,LOAD_PRIORITY
9.0,luxury_house,24.654955759404587,18.0,18.0,0.0,4.805589443691673,-6.654955759404586,Spring,LOAD_PRIORITY
9.0,small_family,14.152450183722893,6.5,6.5,0.0,5.979289456270102,-7.652450183722892,Spring,LOAD_PRIORITY
10.0,apartment,7.63994149758453,3.6399999999999997,3.6399999999999997,0.0,4.097437090374961,-3.9999414975845307,Spring,LOAD_PRIORITY
10.0,family_house,14.502293281668752,10.08,10.08,0.0,5.254468377806869,-4.422293281668752,Spring,LOAD_PRIORITY
10.0,luxury_house,17.99370834058761,18.0,17.088693668648137,0.9113063313518639,3.079407160050808,0.0062916594123899605,Spring,LOAD_PRIORITY
10.0,small_family,10.007293495315261,6.5,6.5,0.0,3.642209683578911,-3.507293495315262,Spring,LOAD_PRIORITY
11.0,apartment,3.9547247260879033,3.6399999999999997,3.6399999999999997,0.0,1.1868300647070913,-0.3147247260879035,Spring,LOAD_PRIORITY
11.0,family_house,7.506939397916419,10.08,10.08,0.0,0.7489786145527406,2.5730606020835802,Spring,LOAD_PRIORITY
11.0,luxury_house,9.3142288211283,18.0,16.748716261646187,1.2512837383538113,0.25399029914251314,8.685771178871699,Spring,LOAD_PRIORITY
11.0,small_family,5.18015629303633,6.5,6.5,0.0,0.9206226451441806,1.3198437069636708,Spring,LOAD_PRIORITY
12.0,apartment,1.871245980137985e-15,3.6399999999999997,3.6399999999999997,0.0,0.0,3.639999999999998,Spring,LOAD_PRIORITY
12.0,family_house,3.5520374095383583e-15,10.08,10.08,0.0,0.0,10.079999999999997,Spring,LOAD_PRIORITY
12.0,luxury_house,4.407187464818327e-15,18.0,16.5,1.4999999999999998,0.0,17.999999999999996,Spring,LOAD_PRIORITY
12.0,small_family,2.451079989433191e-15,6.5,6.5,0.0,0.0,6.499999999999997,Spring,LOAD_PRIORITY
13.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
13.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Spring,LOAD_PRIORITY
13.0,luxury_house,0.0,18.0,14.695173164453989,3.3048268355460118,0.0,18.0,Spring,LOAD_PRIORITY
13.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Spring,LOAD_PRIORITY
14.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
14.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Spring,LOAD_PRIORITY
14.0,luxury_house,0.0,18.0,13.5,4.5,0.0,18.0,Spring,LOAD_PRIORITY
14.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Spring,LOAD_PRIORITY
15.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
15.0,family_house,0.0,10.08,10.038495995421364,0.04150400457863501,0.0,10.08,Spring,LOAD_PRIORITY
15.0,luxury_house,0.0,18.0,12.037754017003712,5.962245982996287,0.0,18.0,Spring,LOAD_PRIORITY
15.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Spring,LOAD_PRIORITY
16.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
16.0,family_house,0.0,10.08,9.24,0.84,0.0,10.08,Spring,LOAD_PRIORITY
16.0,luxury_house,0.0,18.0,12.0,6.0,0.0,18.0,Spring,LOAD_PRIORITY
16.0,small_family,0.0,6.5,6.2456792721053835,0.2543207278946162,0.0,6.5,Spring,LOAD_PRIORITY
17.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
