time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Spring,PRODUCE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Spring,PRODUCE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Spring,PRODUCE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Spring,PRODUCE_PRIORITY
1.0,apartment,3.008700299626798,3.6399999999999997,3.6399999999999997,0.0,3.008700299626798,0.6312997003732016,Spring,PRODUCE_PRIORITY
1.0,family_house,6.610219793768083,10.08,10.08,0.0,6.610219793768083,3.469780206231917,Spring,PRODUCE_PRIORITY
1.0,luxury_house,7.044957405460204,18.0,18.0,0.0,7.044957405460204,10.955042594539796,Spring,PRODUCE_PRIORITY
1.0,small_family,8.845718998036533,6.5,6.5,0.0,8.845718998036533,-2.345718998036533,Spring,PRODUCE_PRIORITY
2.0,apartment,5.812362645946364,3.6399999999999997,3.6399999999999997,0.0,5.812362645946364,-2.172362645946364,Spring,PRODUCE_PRIORITY
2.0,family_house,12.76996403249558,10.08,10.08,0.0,12.76996403249558,-2.6899640324955794,Spring,PRODUCE_PRIORITY
2.0,luxury_house,13.609812606080878,18.0,18.0,0.0,13.609812606080878,4.390187393919123,Spring,PRODUCE_PRIORITY
2.0,small_family,17.088616864598695,6.5,6.5,0.0,17.088616864598695,-10.588616864598693,Spring,PRODUCE_PRIORITY
3.0,apartment,8.219922083328118,3.6399999999999997,3.6399999999999997,0.0,8.219922083328118,-4.579922083328118,Spring,PRODUCE_PRIORITY
3.0,family_house,18.059456325771873,10.08,10.08,0.0,18.059456325771873,-7.9794563257718725,Spring,PRODUCE_PRIORITY
3.0,luxury_house,19.206495619959398,18.0,18.0,0.0,19.206495619959398,-1.2064956199593992,Spring,PRODUCE_PRIORITY
3.0,small_family,24.16695373211308,6.5,6.5,0.0,24.16695373211308,-17.66695373211308,Spring,PRODUCE_PRIORITY
4.0,apartment,10.067307414794577,3.6399999999999997,3.6399999999999997,0.0,10.067307414794577,-6.427307414794578,Spring,PRODUCE_PRIORITY
4.0,family_house,22.118226515109487,10.08,10.08,0.0,22.118226515109487,-12.03822651510949,Spring,PRODUCE_PRIORITY
4.0,luxury_house,22.62407752238394,18.0,18.0,0.0,22.62407752238394,-4.624077522383937,Spring,PRODUCE_PRIORITY
4.0,small_family,29.598352640563306,6.5,6.5,0.0,29.598352640563306,-23.098352640563306,Spring,PRODUCE_PRIORITY
5.0,apartment,11.228622382954914,3.6399999999999997,3.6399999999999997,0.0,11.228622382954914,-7.588622382954914,Spring,PRODUCE_PRIORITY
5.0,family_house,24.66967611953995,10.08,10.08,0.0,24.66967611953995,-14.589676119539952,Spring,PRODUCE_PRIORITY
5.0,luxury_house,24.505128516437832,18.0,12.457796189455474,5.542203810544526,24.505128516437832,-6.505128516437832,Spring,PRODUCE_PRIORITY
5.0,small_family,32.934894663302615,6.5,6.5,0.0,32.934894663302615,-26.434894663302615,Spring,PRODUCE_PRIORITY
