time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Summer,CHARGE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Summer,CHARGE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Summer,CHARGE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Summer,CHARGE_PRIORITY
1.0,apartment,3.5533644294698163,3.6399999999999997,3.6399999999999997,0.0,0.0,0.0866355705301832,Summer,CHARGE_PRIORITY
1.0,family_house,5.71036895135236,10.08,10.08,0.0,0.0,4.369631048647639,Summer,CHARGE_PRIORITY
1.0,luxury_house,6.359995301003258,18.0,18.0,0.0,0.0,11.64000469899674,Summer,CHARGE_PRIORITY
1.0,small_family,4.071606870328068,6.5,6.5,0.0,0.0,2.4283931296719317,Summer,CHARGE_PRIORITY
2.0,apartment,6.864572945283632,3.6399999999999997,3.6399999999999997,0.0,0.0,-3.224572945283632,Summer,CHARGE_PRIORITY
2.0,family_house,11.031585695500937,10.08,10.08,0.0,0.0,-0.9515856955009387,Summer,CHARGE_PRIORITY
2.0,luxury_house,12.286567432632328,18.0,18.0,0.0,0.0,5.713432567367672,Summer,CHARGE_PRIORITY
2.0,small_family,7.8657404610917725,6.5,6.5,0.0,0.0,-1.3657404610917725,Summer,CHARGE_PRIORITY
3.0,apartment,9.707972159119537,3.6399999999999997,3.6399999999999997,0.0,0.0,-6.067972159119537,Summer,CHARGE_PRIORITY
3.0,family_house,15.601018105058463,10.08,10.08,0.0,0.0,-5.521018105058463,Summer,CHARGE_PRIORITY
3.0,luxury_house,16.494572966707324,18.0,18.0,0.0,0.0,1.505427033292675,Summer,CHARGE_PRIORITY
3.0,small_family,11.12383683818279,6.5,6.5,0.0,0.0,-4.623836838182791,Summer,CHARGE_PRIORITY
4.0,apartment,11.889789113493983,3.6399999999999997,3.6399999999999997,0.0,1.2507790209156349,-8.249789113493984,Summer,CHARGE_PRIORITY
4.0,family_house,19.107266912657675,10.08,10.08,0.0,0.0,-9.027266912657677,Summer,CHARGE_PRIORITY
4.0,luxury_house,19.302664161202788,18.0,18.0,0.0,0.0,-1.3026641612027872,Summer,CHARGE_PRIORITY
4.0,small_family,13.623862117761199,6.5,6.5,0.0,0.0,-7.123862117761199,Summer,CHARGE_PRIORITY
5.0,apartment,13.261336588589351,3.6399999999999997,3.6399999999999997,0.0,3.2622461571743955,-9.621336588589351,Summer,CHARGE_PRIORITY
5.0,family_house,20.69863184454131,10.08,10.08,0.0,3.549447637803897,-10.618631844541309,Summer,CHARGE_PRIORITY
5.0,luxury_house,20.992399740067167,18.0,18.0,0.0,0.0,-2.9923997400671682,Summer,CHARGE_PRIORITY
5.0,small_family,15.195443708510854,6.5,6.5,0.0,0.0,-8.695443708510856,Summer,CHARGE_PRIORITY
6.0,apartment,13.729145890567267,3.6399999999999997,3.6399999999999997,0.0,5.447411998910246,-10.089145890567266,Summer,CHARGE_PRIORITY
6.0,family_house,21.146591072450576,10.08,10.08,0.0,6.32,-11.066591072450574,Summer,CHARGE_PRIORITY
6.0,luxury_house,21.450721977257693,18.0,18.0,0.0,0.25140136508840394,-3.450721977257694,Summer,CHARGE_PRIORITY
6.0,small_family,15.731480922183549,6.5,6.5,0.0,2.1001564384980513,-9.231480922183549,Summer,CHARGE_PRIORITY
7.0,apartment,13.261336588589351,3.6399999999999997,3.6399999999999997,0.0,5.84153183803815,-9.621336588589353,Summer,CHARGE_PRIORITY
7.0,family_house,20.69863184454131,10.08,10.08,0.0,6.32,-10.618631844541309,Summer,CHARGE_PRIORITY
7.0,luxury_house,20.992399740067167,18.0,17.86941115135122,0.13058884864878162,2.5,-2.9923997400671682,Summer,CHARGE_PRIORITY
7.0,small_family,15.195443708510858,6.5,6.5,0.0,3.5634679674398915,-8.695443708510858,Summer,CHARGE_PRIORITY
8.0,apartment,11.889789113493983,3.6399999999999997,3.6399999999999997,0.0,5.841350220519625,-8.249789113493984,Summer,CHARGE_PRIORITY
8.0,family_house,19.10726691265768,10.08,10.08,0.0,6.041985070749774,-9.02726691265768,Summer,CHARGE_PRIORITY
8.0,luxury_house,19.30266416120279,18.0,16.626256222569697,1.373743777430301,3.749150794697664,-1.3026641612027898,Summer,CHARGE_PRIORITY
