time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Summer,LOAD_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Summer,LOAD_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Summer,LOAD_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Summer,LOAD_PRIORITY
1.0,apartment,2.867825525973422,3.6399999999999997,3.6399999999999997,0.0,0.0,0.7721744740265776,Summer,LOAD_PRIORITY
1.0,family_house,6.021048214099675,10.08,10.08,0.0,0.0,4.058951785900325,Summer,LOAD_PRIORITY
1.0,luxury_house,7.196734249428546,18.0,18.0,0.0,0.0,10.803265750571455,Summer,LOAD_PRIORITY
1.0,small_family,6.050759848911321,6.5,6.5,0.0,0.0,0.449240151088679,Summer,LOAD_PRIORITY
2.0,apartment,5.540213481657519,3.6399999999999997,3.6399999999999997,0.0,0.0,-1.9002134816575191,Summer,LOAD_PRIORITY
2.0,family_house,11.631771942661095,10.08,10.08,0.0,0.0,-1.5517719426610952,Summer,LOAD_PRIORITY
2.0,luxury_house,13.90302295292421,18.0,18.0,0.0,0.0,4.096977047075789,Summer,LOAD_PRIORITY
2.0,small_family,11.68917041347277,6.5,6.5,0.0,0.0,-5.1891704134727705,Summer,LOAD_PRIORITY
3.0,apartment,7.83504504420233,3.6399999999999997,3.6399999999999997,0.0,0.0,-4.19504504420233,Summer,LOAD_PRIORITY
3.0,family_house,16.449809635742167,10.08,10.08,0.0,0.0,-6.369809635742168,Summer,LOAD_PRIORITY
3.0,luxury_house,19.661843618009858,18.0,18.0,0.0,0.0,-1.6618436180098584,Summer,LOAD_PRIORITY
3.0,small_family,16.530983331623517,6.5,6.5,0.0,0.0,-10.030983331623517,Summer,LOAD_PRIORITY
4.0,apartment,9.595931235008889,3.6399999999999997,3.6399999999999997,0.0,0.0,-5.955931235008888,Summer,LOAD_PRIORITY
4.0,family_house,19.597797241141997,10.08,10.08,0.0,0.2916970283697107,-9.517797241141997,Summer,LOAD_PRIORITY
4.0,luxury_house,23.40599149025273,18.0,18.0,0.0,0.0,-5.405991490252732,Summer,LOAD_PRIORITY
4.0,small_family,20.24623705446574,6.5,6.5,0.0,3.045380296962455,-13.746237054465741,Summer,LOAD_PRIORITY
5.0,apartment,10.702870570175751,3.6399999999999997,3.6399999999999997,0.0,1.9939329267403163,-7.06287057017575,Summer,LOAD_PRIORITY
5.0,family_house,21.397082259482506,10.08,10.08,0.0,3.5962134906178673,-11.317082259482508,Summer,LOAD_PRIORITY
5.0,luxury_house,24.721730455854807,18.0,18.0,0.0,0.0,-6.721730455854809,Summer,LOAD_PRIORITY
5.0,small_family,22.443294318559946,6.5,6.5,0.0,7.4158459276946935,-15.943294318559948,Summer,LOAD_PRIORITY
