time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Summer,PRODUCE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Summer,PRODUCE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Summer,PRODUCE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Summer,PRODUCE_PRIORITY
1.0,apartment,3.974771358679138,3.6399999999999997,3.6399999999999997,0.0,3.974771358679138,-0.33477135867913843,Summer,PRODUCE_PRIORITY
1.0,family_house,6.234249913018916,10.08,10.08,0.0,6.234249913018916,3.8457500869810843,Summer,PRODUCE_PRIORITY
1.0,luxury_house,7.940893473763417,18.0,18.0,0.0,7.940893473763417,10.059106526236583,Summer,PRODUCE_PRIORITY
1.0,small_family,3.1688431138597606,6.5,6.5,0.0,3.1688431138597606,3.3311568861402394,Summer,PRODUCE_PRIORITY
2.0,apartment,7.678668617884537,3.6399999999999997,3.6399999999999997,0.0,7.678668617884537,-4.038668617884538,Summer,PRODUCE_PRIORITY
2.0,family_house,12.043645997050694,10.08,10.08,0.0,12.043645997050694,-1.9636459970506954,Summer,PRODUCE_PRIORITY
2.0,luxury_house,15.340628180236795,18.0,18.0,0.0,15.340628180236795,2.659371819763205,Summer,PRODUCE_PRIORITY
2.0,small_family,6.121734806270826,6.5,6.5,0.0,6.121734806270826,0.3782651937291744,Summer,PRODUCE_PRIORITY
3.0,apartment,10.859277300380985,3.6399999999999997,3.6399999999999997,0.0,10.859277300380985,-7.219277300380986,Summer,PRODUCE_PRIORITY
3.0,family_house,17.032287509449535,10.08,10.08,0.0,17.032287509449535,-6.952287509449535,Summer,PRODUCE_PRIORITY
3.0,luxury_house,21.677703354676463,18.0,18.0,0.0,21.677703354676463,-3.677703354676462,Summer,PRODUCE_PRIORITY
3.0,small_family,8.657440388279635,6.5,6.5,0.0,8.657440388279635,-2.157440388279636,Summer,PRODUCE_PRIORITY
4.0,apartment,13.299844180660712,3.6399999999999997,3.6399999999999997,0.0,13.299844180660712,-9.659844180660711,Summer,PRODUCE_PRIORITY
4.0,family_house,20.739890917236472,10.08,10.08,0.0,20.739890917236472,-10.659890917236474,Summer,PRODUCE_PRIORITY
4.0,luxury_house,24.614876500132556,18.0,18.0,0.0,24.614876500132556,-6.614876500132557,Summer,PRODUCE_PRIORITY
4.0,small_family,10.603155714923888,6.5,6.5,0.0,10.603155714923888,-4.103155714923889,Summer,PRODUCE_PRIORITY
5.0,apartment,14.834048659060121,3.6399999999999997,3.6399999999999997,0.0,14.834048659060121,-11.19404865906012,Summer,PRODUCE_PRIORITY
