time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Winter,CHARGE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Winter,CHARGE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Winter,CHARGE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Winter,CHARGE_PRIORITY
1.0,apartment,5.4446832927851245,3.6399999999999997,3.6399999999999997,0.0,0.0,-1.8046832927851253,Winter,CHARGE_PRIORITY
1.0,family_house,9.349882023480465,10.08,10.08,0.0,0.0,0.7301179765195343,Winter,CHARGE_PRIORITY
1.0,luxury_house,12.699600981325483,18.0,18.0,0.0,0.0,5.300399018674518,Winter,CHARGE_PRIORITY
1.0,small_family,8.842914415303195,6.5,6.5,0.0,0.0,-2.3429144153031953,Winter,CHARGE_PRIORITY
2.0,apartment,10.518320416931513,3.6399999999999997,3.6399999999999997,0.0,0.0,-6.878320416931514,Winter,CHARGE_PRIORITY
2.0,family_house,18.062585038471347,10.08,10.08,0.0,0.0,-7.982585038471348,Winter,CHARGE_PRIORITY
2.0,luxury_house,24.533745142856556,18.0,18.0,0.0,0.0,-6.533745142856558,Winter,CHARGE_PRIORITY
2.0,small_family,17.083198826810502,6.5,6.5,0.0,0.0,-10.583198826810502,Winter,CHARGE_PRIORITY
3.0,apartment,14.875151387010378,3.6399999999999997,3.6399999999999997,0.0,0.0,-11.235151387010378,Winter,CHARGE_PRIORITY
3.0,family_house,25.54435273292354,10.08,10.08,0.0,0.0,-15.464352732923539,Winter,CHARGE_PRIORITY
3.0,luxury_house,33.69032718600346,18.0,18.0,0.0,0.0,-15.690327186003454,Winter,CHARGE_PRIORITY
3.0,small_family,24.159291469591565,6.5,6.5,0.0,0.0,-17.659291469591565,Winter,CHARGE_PRIORITY
4.0,apartment,18.21826537241444,3.6399999999999997,3.6399999999999997,0.0,2.7100202217675537,-14.57826537241444,Winter,CHARGE_PRIORITY
4.0,family_house,31.046181005248418,10.08,10.08,0.0,0.0,-20.96618100524842,Winter,CHARGE_PRIORITY
4.0,luxury_house,38.56948084090571,18.0,18.0,0.0,0.0,-20.56948084090571,Winter,CHARGE_PRIORITY
4.0,small_family,29.58896832383683,6.5,6.5,0.0,3.370992703841031,-23.08896832383683,Winter,CHARGE_PRIORITY
5.0,apartment,20.3198346797955,3.6399999999999997,3.6399999999999997,0.0,9.455033181153965,-16.6798346797955,Winter,CHARGE_PRIORITY
5.0,family_house,33.45286606103634,10.08,10.08,0.0,7.914077545488404,-23.372866061036344,Winter,CHARGE_PRIORITY
5.0,luxury_house,40.40756504850383,18.0,18.0,0.0,0.0,-22.407565048503823,Winter,CHARGE_PRIORITY
5.0,small_family,33.00220588489476,6.5,6.5,0.0,17.252839854819847,-26.502205884894753,Winter,CHARGE_PRIORITY
6.0,apartment,21.036640833863032,3.6399999999999997,3.6399999999999997,0.0,11.213032815350761,-17.39664083386303,Winter,CHARGE_PRIORITY
6.0,family_house,34.209641234518806,10.08,10.08,0.0,18.906253619678466,-24.12964123451881,Winter,CHARGE_PRIORITY
6.0,luxury_house,40.986361273245016,18.0,18.0,0.0,0.0,-22.98636127324502,Winter,CHARGE_PRIORITY
6.0,small_family,34.16639765362101,6.5,6.5,0.0,23.745621320912203,-27.66639765362101,Winter,CHARGE_PRIORITY
7.0,apartment,20.319834679795502,3.6399999999999997,3.6399999999999997,0.0,13.040480222994278,-16.679834679795505,Winter,CHARGE_PRIORITY
7.0,family_house,33.45286606103634,10.08,10.08,0.0,20.26350040612545,-23.372866061036344,Winter,CHARGE_PRIORITY
7.0,luxury_house,40.40756504850383,18.0,18.0,0.0,6.546042273292265,-22.407565048503823,Winter,CHARGE_PRIORITY
7.0,small_family,33.002205884894764,6.5,6.5,0.0,24.324004087678738,-26.50220588489476,Winter,CHARGE_PRIORITY
8.0,apartment,18.21826537241444,3.6399999999999997,3.6399999999999997,0.0,13.0396894775753,-14.57826537241444,Winter,CHARGE_PRIORITY
8.0,family_house,31.04618100524842,10.08,10.08,0.0,18.942501896443293,-20.966181005248423,Winter,CHARGE_PRIORITY
8.0,luxury_house,38.56948084090572,18.0,18.0,0.0,14.566943265020948,-20.569480840905715,Winter,CHARGE_PRIORITY
8.0,small_family,29.588968323836834,6.5,6.5,0.0,21.9990274815546,-23.088968323836834,Winter,CHARGE_PRIORITY
9.0,apartment,14.875151387010378,3.6399999999999997,3.6399999999999997,0.0,10.884287403306363,-11.235151387010378,Winter,CHARGE_PRIORITY
9.0,family_house,25.54435273292354,10.08,10.08,0.0,14.582740019792833,-15.464352732923539,Winter,CHARGE_PRIORITY
9.0,luxury_house,33.69032718600346,18.0,18.0,0.0,12.679155942007343,-15.690327186003454,Winter,CHARGE_PRIORITY
9.0,small_family,24.159291469591565,6.5,6.5,0.0,17.044613627063047,-17.659291469591565,Winter,CHARGE_PRIORITY
10.0,apartment,10.518320416931521,3.6399999999999997,3.6399999999999997,0.0,6.876252418583586,-6.878320416931521,Winter,CHARGE_PRIORITY
10.0,family_house,18.06258503847136,10.08,10.08,0.0,8.58934222965287,-7.982585038471362,Winter,CHARGE_PRIORITY
10.0,luxury_house,24.533745142856578,18.0,18.0,0.0,7.0405645062340625,-6.533745142856577,Winter,CHARGE_PRIORITY
10.0,small_family,17.083198826810516,6.5,6.5,0.0,10.58789578433366,-10.583198826810515,Winter,CHARGE_PRIORITY
11.0,apartment,5.444683292785131,3.6399999999999997,3.6399999999999997,0.0,2.208796822297524,-1.8046832927851315,Winter,CHARGE_PRIORITY
11.0,family_house,9.349882023480475,10.08,10.08,0.0,1.6535218414904573,0.730117976519524,Winter,CHARGE_PRIORITY
11.0,luxury_house,12.699600981325496,18.0,18.0,0.0,0.2962885997142317,5.300399018674503,Winter,CHARGE_PRIORITY
11.0,small_family,8.842914415303206,6.5,6.5,0.0,3.068888604117698,-2.342914415303205,Winter,CHARGE_PRIORITY
12.0,apartment,2.5762454862002866e-15,3.6399999999999997,3.6399999999999997,0.0,0.0,3.639999999999997,Winter,CHARGE_PRIORITY
12.0,family_house,4.4240573903381626e-15,10.08,10.08,0.0,0.0,10.079999999999995,Winter,CHARGE_PRIORITY
12.0,luxury_house,6.009034492059242e-15,18.0,18.0,0.0,0.0,17.999999999999993,Winter,CHARGE_PRIORITY
12.0,small_family,4.184176952490261e-15,6.5,6.5,0.0,0.0,6.499999999999996,Winter,CHARGE_PRIORITY
13.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Winter,CHARGE_PRIORITY
