time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Winter,LOAD_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Winter,LOAD_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Winter,LOAD_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Winter,LOAD_PRIORITY
1.0,apartment,4.97596909272792,3.6399999999999997,3.6399999999999997,0.0,0.0,-1.3359690927279204,Winter,LOAD_PRIORITY
1.0,family_house,10.112573035841734,10.08,10.08,0.0,0.0,-0.03257303584173543,Winter,LOAD_PRIORITY
1.0,luxury_house,14.172295222965342,18.0,18.0,0.0,0.0,3.8277047770346577,Winter,LOAD_PRIORITY
1.0,small_family,8.604761701833263,6.5,6.5,0.0,0.0,-2.104761701833264,Winter,LOAD_PRIORITY
2.0,apartment,9.612834114964162,3.6399999999999997,3.6399999999999997,0.0,0.0,-5.972834114964162,Winter,LOAD_PRIORITY
2.0,family_house,19.535990931107957,10.08,10.08,0.0,0.0,-9.455990931107959,Winter,LOAD_PRIORITY
2.0,luxury_house,27.378771947310828,18.0,18.0,0.0,0.0,-9.378771947310828,Winter,LOAD_PRIORITY
2.0,small_family,16.623123113727647,6.5,6.5,0.0,0.0,-10.123123113727647,Winter,LOAD_PRIORITY
3.0,apartment,13.59460037822509,3.6399999999999997,3.6399999999999997,0.0,0.0,-9.95460037822509,Winter,LOAD_PRIORITY
3.0,family_house,27.62806332917067,10.08,10.08,0.0,0.0,-17.54806332917067,Winter,LOAD_PRIORITY
3.0,luxury_house,35.714974647136515,18.0,18.0,0.0,0.0,-17.714974647136515,Winter,LOAD_PRIORITY
3.0,small_family,23.50864615643132,6.5,6.5,0.0,0.0,-17.00864615643132,Winter,LOAD_PRIORITY
4.0,apartment,16.649917091849332,3.6399999999999997,3.6399999999999997,0.0,1.488374715933001,-13.009917091849335,Winter,LOAD_PRIORITY
4.0,family_house,32.30478249017222,10.08,10.08,0.0,0.8697645119852737,-22.224782490172228,Winter,LOAD_PRIORITY
4.0,luxury_house,38.182806678604436,18.0,18.0,0.0,0.0,-20.18280667860444,Winter,LOAD_PRIORITY
4.0,small_family,28.792093813448844,6.5,6.5,0.0,5.963740956689206,-22.292093813448844,Winter,LOAD_PRIORITY
5.0,apartment,18.570569470953007,3.6399999999999997,3.6399999999999997,0.0,7.343971952269067,-14.930569470953008,Winter,LOAD_PRIORITY
5.0,family_house,34.1856218425704,10.08,10.08,0.0,12.818748330401132,-24.105621842570404,Winter,LOAD_PRIORITY
5.0,luxury_house,39.14612665213514,18.0,18.0,0.0,0.0,-21.146126652135138,Winter,LOAD_PRIORITY
5.0,small_family,31.793951425735166,6.5,6.5,0.0,16.998701246460207,-25.293951425735166,Winter,LOAD_PRIORITY
