time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,apartment,0.0,3.6399999999999997,3.6399999999999997,0.0,0.0,3.6399999999999997,Winter,PRODUCE_PRIORITY
0.0,family_house,0.0,10.08,10.08,0.0,0.0,10.08,Winter,PRODUCE_PRIORITY
0.0,luxury_house,0.0,18.0,18.0,0.0,0.0,18.0,Winter,PRODUCE_PRIORITY
0.0,small_family,0.0,6.5,6.5,0.0,0.0,6.5,Winter,PRODUCE_PRIORITY
1.0,apartment,6.407080168626253,3.6399999999999997,3.6399999999999997,0.0,6.407080168626253,-2.7670801686262534,Winter,PRODUCE_PRIORITY
1.0,family_house,11.327976062864591,10.08,10.08,0.0,11.327976062864591,-1.247976062864591,Winter,PRODUCE_PRIORITY
1.0,luxury_house,10.88280818027284,18.0,18.0,0.0,10.88280818027284,7.117191819727161,Winter,PRODUCE_PRIORITY
1.0,small_family,10.562449982459448,6.5,6.5,0.0,10.562449982459448,-4.062449982459449,Winter,PRODUCE_PRIORITY
2.0,apartment,12.377528411961231,3.6399999999999997,3.6399999999999997,0.0,12.377528411961231,-8.737528411961232,Winter,PRODUCE_PRIORITY
2.0,family_house,21.883969277410532,10.08,10.08,0.0,21.883969277410532,-11.803969277410532,Winter,PRODUCE_PRIORITY
2.0,luxury_house,21.023970967750948,18.0,18.0,0.0,21.023970967750948,-3.023970967750947,Winter,PRODUCE_PRIORITY
2.0,small_family,20.40508645388819,6.5,6.5,0.0,20.40508645388819,-13.905086453888194,Winter,PRODUCE_PRIORITY
3.0,apartment,17.504468548853897,3.6399999999999997,3.6399999999999997,0.0,17.504468548853897,-13.864468548853896,Winter,PRODUCE_PRIORITY
3.0,family_house,30.948606150670123,10.08,10.08,0.0,30.948606150670123,-20.868606150670125,Winter,PRODUCE_PRIORITY
3.0,luxury_house,28.52811938224338,18.0,18.0,0.0,28.52811938224338,-10.528119382243379,Winter,PRODUCE_PRIORITY
3.0,small_family,28.857150004484215,6.5,6.5,0.0,28.857150004484215,-22.357150004484218,Winter,PRODUCE_PRIORITY
4.0,apartment,21.43850808164418,3.6399999999999997,3.6399999999999997,0.0,21.43850808164418,-17.79850808164418,Winter,PRODUCE_PRIORITY
4.0,family_house,36.60162515893884,10.08,10.08,0.0,36.60162515893884,-26.521625158938836,Winter,PRODUCE_PRIORITY
4.0,luxury_house,31.477497034340146,18.0,18.0,0.0,31.477497034340146,-13.477497034340146,Winter,PRODUCE_PRIORITY
4.0,small_family,35.34264647096981,6.5,6.5,0.0,35.34264647096981,-28.842646470969807,Winter,PRODUCE_PRIORITY
5.0,apartment,23.911548717480144,3.6399999999999997,3.6399999999999997,0.0,23.911548717480144,-20.271548717480144,Winter,PRODUCE_PRIORITY
5.0,family_house,38.297584615789845,10.08,10.08,0.0,38.297584615789845,-28.21758461578985,Winter,PRODUCE_PRIORITY
5.0,luxury_house,33.26290481370547,18.0,12.457796189455474,5.542203810544526,33.26290481370547,-15.26290481370547,Winter,PRODUCE_PRIORITY
5.0,small_family,38.9314242119178,6.5,6.5,0.0,38.9314242119178,-32.4314242119178,Winter,PRODUCE_PRIORITY
6.0,apartment,24.755056823922466,3.6399999999999997,3.6399999999999997,0.0,24.755056823922466,-21.115056823922465,Winter,PRODUCE_PRIORITY
6.0,family_house,38.801948790124875,10.08,10.08,0.0,38.801948790124875,-28.72194879012488,Winter,PRODUCE_PRIORITY
6.0,luxury_house,33.84700199525136,18.0,0.0,18.0,33.84700199525136,-15.84700199525136,Winter,PRODUCE_PRIORITY
6.0,small_family,39.794669003612306,6.5,6.5,0.0,39.794669003612306,-33.294669003612306,Winter,PRODUCE_PRIORITY
7.0,apartment,23.911548717480148,3.6399999999999997,3.6399999999999997,0.0,23.911548717480148,-20.27154871748015,Winter,PRODUCE_PRIORITY
