season,strategy,generation_kwh,consumption_kwh,avg_generation_kwh_per_day,avg_consumption_kwh_per_day,avg_generation_kwh_per_step,avg_consumption_kwh_per_step,grid_import_kwh,grid_export_kwh,curtailed_kwh,unmet_load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,self_consumption_ratio,self_sufficiency_ratio,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,unmet_events,unmet_pct_time,unmet_hours,avg_soc_kwh,min_soc_kwh,max_soc_kwh,soc_full_events,soc_empty_events,avg_cloud,peak_load_kw,peak_gen_kw,inverter_failed_hours_step,inverter_failures,inverter_downtime_hours,avg_failure_duration_hours,batt_in_kwh,batt_out_kwh,batt_eff_real,net_cost,household_id,household_type,wealth_level,wealth_multiplier
Winter,PRODUCE_PRIORITY,398.759019554408,383.10371822895104,13.291967318480266,12.770123940965034,0.5538319716033444,0.5320884975402098,379.30898503674905,398.759019554408,0.0,0.0,0.0,0.0,3.794733192202055,3.794733192202055,0.009516357012920905,0.009905237176357136,-0.021743474063134555,3.2427049990499985,-2.6949173491854372,0,0.0,0.0,0.03491905797171745,0.0,3.7048540850509513,0,707,0.41669310155734407,3.2427049990499985,2.974917349185437,0.0,0,0.0,0.0,0.0,3.794733192202054,0.0,-74.40137882140544,1,apartment,low,0.8
Winter,PRODUCE_PRIORITY,557.2875140499852,546.360079179311,18.57625046833284,18.212002639310366,0.7740104361805351,0.7588334433045987,541.6166626890584,557.2875140499852,0.0,0.0,0.0,0.0,4.74341649025257,4.74341649025257,0.008511614508964425,0.008681850433468107,-0.015176992875936454,3.4924944952576493,-3.5,0,0.0,0.0,0.029559607706579394,0.0,4.47295372330527,0,711,0.39744499918647447,3.4924944952576493,4.0,31.0,1,31.078981028247508,31.078981028247508,0.0,4.74341649025257,0.0,-95.34626562819295,2,small_family,middle,1.0
Winter,PRODUCE_PRIORITY,732.6876738594153,762.1236967800619,24.422922461980512,25.404123226002064,1.017621769249188,1.0585051344167526,755.720084518221,732.6876738594153,0.0,0.0,0.0,0.0,6.403612261840967,6.403612261840967,0.008739893532137765,0.008402326668093303,0.040883365167564745,3.8205001945401724,-3.16,0,0.0,0.0,0.031191309922610974,0.0,5.864562255152854,0,713,0.38705541589739517,3.8205001945401724,4.0,0.0,0,0.0,0.0,0.0,6.403612261840968,0.0,-92.62884308480807,3,family_house,high,1.2
Winter,PRODUCE_PRIORITY,801.1603630293907,1252.7216648532926,26.705345434313024,41.75738882844309,1.1127227264297093,1.7398912011851286,1244.1835151708383,801.1603630293907,0.0,0.0,0.0,0.0,8.538149682454623,8.538149682454623,0.010657229284496441,0.0068156797491440635,0.6271684747554196,4.469930739839124,-2.5,0,0.0,0.0,0.029559607706579373,0.0,7.41886116991581,0,715,0.4560378597748569,4.469930739839124,4.0,0.0,0,0.0,0.0,0.0,8.538149682454623,0.0,212.09330965167703,4,luxury_house,luxury,1.5
Winter,PRODUCE_PRIORITY,430.61745703686836,376.8195872244479,14.353915234562278,12.560652907481597,0.598079801440095,0.5233605378117332,373.02485403224586,430.61745703686836,0.0,0.0,0.0,0.0,3.794733192202055,3.794733192202055,0.008812306909975458,0.010070424470641355,-0.07471926362836175,3.2257360667161463,-2.708246101067582,0,0.0,0.0,0.03491905797171745,0.0,3.7048540850509513,0,707,0.37009040307070173,3.2257360667161463,2.9882461010675816,0.0,0,0.0,0.0,0.0,3.794733192202054,0.0,-107.78707080899716,5,apartment,low,0.8
Winter,PRODUCE_PRIORITY,599.4918895314429,529.3247327702857,19.98306298438143,17.644157759009524,0.8326276243492262,0.7351732399587301,524.5813162800331,599.4918895314429,0.0,0.0,0.0,0.0,4.74341649025257,4.74341649025257,0.007912394768109338,0.008961259878085274,-0.0974543843904962,3.4488723984621568,-3.5,0,0.0,0.0,0.029559607706579394,0.0,4.47295372330527,0,711,0.4125491200705754,3.4488723984621568,4.0,0.0,0,0.0,0.0,0.0,4.74341649025257,0.0,-146.10671336827386,6,small_family,middle,1.0
Winter,PRODUCE_PRIORITY,673.9629667455926,796.1599585706097,22.465432224853085,26.53866528568699,0.9360596760355452,1.1057777202369579,789.7563463087688,673.9629667455926,0.0,0.0,0.0,0.0,6.403612261840967,6.403612261840967,0.009501430461027397,0.008043122732946441,0.16971804420141273,3.8171739788139734,-3.16,0,0.0,0.0,0.031191309922610974,0.0,5.864562255152854,0,713,0.4333546794155457,3.8171739788139734,4.0,0.0,0,0.0,0.0,0.0,6.403612261840968,0.0,-14.249410339456745,7,family_house,high,1.2
Winter,PRODUCE_PRIORITY,823.209091803216,1252.2017079181596,27.4403030601072,41.74005693060532,1.1433459608378,1.7391690387752217,1243.663558235705,823.209091803216,0.0,0.0,0.0,0.0,8.538149682454623,8.538149682454623,0.010371787395778211,0.006818509852258285,0.5958230779374218,4.483094392830958,-2.5,0,0.0,0.0,0.029559607706579373,0.0,7.41886116991581,0,715,0.43018493094594307,4.483094392830958,4.0,0.0,0,0.0,0.0,0.0,8.538149682454623,0.0,191.85948605388444,8,luxury_house,luxury,1.5
Winter,PRODUCE_PRIORITY,346.3969126685062,390.82902378179415,11.546563755616875,13.027634126059805,0.4811068231507031,0.5428180885858253,387.03429058959216,346.3969126685062,0.0,0.0,0.0,0.0,3.794733192202055,3.794733192202055,0.01095487013140191,0.009709445719979878,0.06171126543512217,3.243411917866076,-2.7173278915428742,0,0.0,0.0,0.03491905797171745,0.0,3.7048540850509513,0,707,0.49328868100697904,3.243411917866076,2.997327891542874,0.0,0,0.0,0.0,0.0,3.794733192202054,0.0,-21.48150345946152,9,apartment,low,0.8
Winter,PRODUCE_PRIORITY,583.7518979380461,515.7870544206869,19.458396597934872,17.192901814022896,0.810766524913953,0.7163709089176207,511.0436379304343,583.7518979380461,0.0,0.0,0.0,0.0,4.74341649025257,4.74341649025257,0.008125740587752216,0.009196462861170878,-0.09439561599633238,3.4820349935557022,-3.5,0,0.0,0.0,0.029559607706579394,0.0,4.47295372330527,0,711,0.42803359868739077,3.4820349935557022,4.0,0.0,0,0.0,0.0,0.0,4.74341649025257,0.0,-142.09397969641583,10,small_family,middle,1.0
