time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,36.719177911171215,38.22,36.719177911171215,38.22,0.0,36.719177911171215,38.22,38.22,1.5008220888287853,0.0,0.0,0.0,0.0,260.2600360213832
2.0,70.93600452900671,38.22,70.93600452900671,38.22,0.0,70.93600452900671,38.22,38.22,-32.71600452900672,0.0,0.0,0.0,0.0,287.2684213579423
3.0,99.98597337107317,38.22,99.98597337107317,38.22,0.0,99.98597337107317,38.22,38.22,-61.76597337107317,0.0,0.0,0.0,0.0,341.8360269438577
4.0,116.28260844331005,38.22,116.28260844331005,38.22,3.391475426912471,104.69984903897151,34.82852457308753,38.22,-78.06260844331005,0.0,8.19128397742607,0.0,0.0,404.45053663750673
5.0,123.80949919582554,38.22,123.80949919582554,38.22,6.681200096443076,87.0499813477762,31.538799903556924,38.22,-85.58949919582554,0.0,30.078317751606264,0.0,0.0,453.7885859165712
6.0,126.06045460133453,38.22,126.06045460133453,38.22,14.392705469880148,72.62727475322934,23.82729453011985,38.22,-87.84045460133453,0.0,39.040474378225035,0.0,0.0,497.5726947262689
7.0,123.80949919582554,38.22,123.80949919582554,38.22,24.26167835951858,40.90560753588505,13.958321640481419,38.22,-85.58949919582554,0.0,58.64221330042191,0.0,0.0,521.6657984931259
8.0,116.28260844331007,38.22,116.28260844331007,38.22,24.9,24.27072548964691,13.32,38.22,-78.06260844331007,0.0,67.11188295366316,0.0,0.0,530.6505175855751
9.0,99.98597337107317,38.22,99.98597337107317,38.22,25.829677600188596,18.04097031738806,12.390322399811403,38.22,-61.76597337107317,0.0,56.11532545349652,0.0,0.0,534.7051382305705
10.0,70.93600452900677,38.22,70.93600452900677,38.22,26.2491823299756,12.065091456045316,11.970817670024399,38.22,-32.71600452900677,0.0,32.621730742985854,0.0,0.0,533.5327392204169
11.0,36.71917791117126,38.22,36.71917791117126,38.22,23.94695150051096,6.799987307304317,14.27304849948904,38.22,1.500822088828745,0.0,5.972239103355978,0.0,0.0,524.9386594683341
12.0,1.7374310178150048e-14,38.22,1.7374310178150048e-14,38.22,8.371387035715283e-15,9.002923142434764e-15,38.21999999999999,38.22,38.219999999999985,0.0,0.0,0.0,0.0,484.6512420777889
13.0,0.0,38.22,0.0,38.22,0.0,0.0,37.697484392214484,37.697484392214484,38.22,0.5225156077855122,0.0,0.0,0.0,444.9146044984402
14.0,0.0,38.22,0.0,38.22,0.0,0.0,36.72,36.72,38.22,1.5,0.0,0.0,0.0,406.2083259379793
15.0,0.0,38.22,0.0,38.22,0.0,0.0,36.477651683834125,36.477651683834125,38.22,1.7423483161658713,0.0,0.0,0.0,367.75750493291525
16.0,0.0,38.22,0.0,38.22,0.0,0.0,35.88,35.88,38.22,2.34,0.0,0.0,0.0,329.93666411730146
17.0,0.0,38.22,0.0,38.22,0.0,0.0,34.97461605616946,34.97461605616946,38.22,3.2453839438305394,0.0,0.0,0.0,293.0701817748378
18.0,0.0,122.4159721414432,0.0,122.4159721414432,0.0,0.0,105.98373387738773,105.98373387738773,122.4159721414432,16.432238264055478,0.0,0.0,0.0,181.3535171142732
19.0,0.0,115.10152319294069,0.0,115.10152319294069,0.0,0.0,95.68200060294583,95.68200060294583,115.10152319294069,19.419522589994862,0.0,0.0,0.0,80.49583278530217
20.0,0.0,108.87420229269915,0.0,108.87420229269915,0.0,0.0,56.73979240110058,56.73979240110058,108.87420229269915,52.13440989159857,0.0,0.0,0.0,20.686840134438192
21.0,0.0,110.01581598854212,0.0,110.01581598854212,0.0,0.0,14.23555297238978,14.23555297238978,110.01581598854212,95.78026301615235,0.0,0.0,0.0,5.681249752860934
22.0,0.0,38.22,0.0,38.22,0.0,0.0,2.531401737017813,2.531401737017813,38.22,35.68859826298219,0.0,0.0,0.0,3.012918032233314
23.0,0.0,38.22,0.0,38.22,0.0,0.0,0.7500142445819153,0.7500142445819153,38.22,37.46998575541809,0.0,0.0,0.0,2.222333602083496
24.0,0.0,38.22,0.0,38.22,0.0,0.0,0.5599999999999999,0.5599999999999999,38.22,37.66,0.0,0.0,0.0,1.6320417721853981
25.0,32.755122920426636,38.22,32.755122920426636,38.22,0.0,32.755122920426636,26.8051255363535,26.8051255363535,5.4648770795733626,11.414874463646498,0.0,0.0,0.0,4.451196591845842
