time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,36.25625313364408,38.22,36.25625313364408,38.22,29.542626632862724,6.713626500781358,8.677373367137275,38.22,1.9637468663559159,0.0,0.0,0.0,0.0,262.934933290816
2.0,70.04170253252155,38.22,70.04170253252155,38.22,35.516380291082896,34.52532224143866,2.7036197089171,38.22,-31.821702532521563,0.0,0.0,0.0,0.0,292.8386644587143
3.0,98.2518811943795,38.22,98.2518811943795,38.22,36.957573676376086,61.29430751800341,1.2624263236239155,38.22,-60.03188119437949,0.0,0.0,0.0,0.0,349.6568360796814
4.0,118.1242622823248,38.22,118.1242622823248,38.22,37.71393790095584,77.89396046532208,0.50606209904416,38.22,-79.90426228232481,0.0,2.516363916046888,0.0,0.0,423.0200991019844
5.0,128.76628111795557,38.22,128.76628111795557,38.22,38.00162628621228,54.768447686699425,0.21837371378772463,38.22,-90.54628111795557,0.0,35.99620714504386,0.0,0.0,474.74782457694977
6.0,132.0601910969018,38.22,132.0601910969018,38.22,38.099751436918126,37.8675559396212,0.12024856308187104,38.22,-93.84019109690182,0.0,56.092883720362494,0.0,0.0,510.54538931996154
7.0,128.76628111795557,38.22,128.76628111795557,38.22,38.00162628621228,23.0883429669798,0.21837371378772463,38.22,-90.54628111795557,0.0,67.6763118647635,0.0,0.0,532.2187285668377
8.0,118.1242622823248,38.22,118.1242622823248,38.22,37.71393790095584,10.576428212745535,0.5060620990441596,38.22,-79.90426228232482,0.0,69.83389616862344,0.0,0.0,541.7189730751445
9.0,98.2518811943795,38.22,98.2518811943795,38.22,36.957573676376086,4.914012062265486,1.2624263236239155,38.22,-60.03188119437949,0.0,56.38029545573792,0.0,0.0,545.0501000580998
