time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,32.090936117636794,38.22,32.090936117636794,38.22,0.0,0.0,38.22,38.22,6.129063882363205,0.0,32.090936117636794,0.0,0.0,225.42516521890968
2.0,61.994927971636045,38.22,61.994927971636045,38.22,0.0,0.0,38.22,38.22,-23.774927971636046,0.0,61.994927971636045,0.0,0.0,185.13774782836452
3.0,87.67406793583088,38.22,87.67406793583088,38.22,0.0,0.0,38.22,38.22,-49.45406793583087,0.0,87.67406793583088,0.0,0.0,144.8503304378194
4.0,105.9478481981868,38.22,105.9478481981868,38.22,0.0,0.0,38.22,38.22,-67.72784819818682,0.0,105.9478481981868,0.0,0.0,104.56291304727424
5.0,116.0471147461191,38.22,116.0471147461191,38.22,0.0,0.0,32.67779618945547,32.67779618945547,-77.82711474611911,5.542203810544526,116.0471147461191,0.0,0.0,70.11749142279075
6.0,118.92151829065016,38.22,118.92151829065016,38.22,0.0,0.0,20.22,20.22,-80.70151829065017,18.0,118.92151829065016,0.0,0.0,48.803739993255874
7.0,116.04711474611912,38.22,116.04711474611912,38.22,0.0,0.0,16.423347142091618,16.423347142091618,-77.82711474611912,21.796652857908384,116.04711474611912,0.0,0.0,31.492012069047036
8.0,105.94784819818682,38.22,105.94784819818682,38.22,0.0,0.0,10.14,10.14,-67.72784819818682,28.08,105.94784819818682,0.0,0.0,20.80351357767791
9.0,87.67406793583088,38.22,87.67406793583088,38.22,0.0,0.0,6.804414373283407,6.804414373283407,-49.45406793583087,31.41558562671659,87.67406793583088,0.0,0.0,13.631031056623664
10.0,61.994927971636095,38.22,61.994927971636095,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-23.774927971636096,34.58,61.994927971636095,0.0,0.0,9.794134162286031
11.0,32.09093611763683,38.22,32.09093611763683,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,6.12906388236317,34.58,32.09093611763683,0.0,0.0,5.957237267948397
12.0,1.518437802076696e-14,38.22,1.518437802076696e-14,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,38.219999999999985,34.58,1.518437802076696e-14,0.0,0.0,2.1203403736107633
13.0,0.0,38.22,0.0,38.22,0.0,0.0,2.0115314986267174,2.0115314986267174,38.22,36.20846850137328,0.0,0.0,0.0,0.0
14.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
15.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
16.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
17.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
18.0,0.0,114.15859568054954,0.0,114.15859568054954,0.0,0.0,0.0,0.0,114.15859568054954,114.15859568054954,0.0,0.0,0.0,0.0
19.0,0.0,111.39438892672209,0.0,111.39438892672209,0.0,0.0,0.0,0.0,111.39438892672209,111.39438892672209,0.0,0.0,0.0,0.0
20.0,0.0,114.53395209872167,0.0,114.53395209872167,0.0,0.0,0.0,0.0,114.53395209872167,114.53395209872167,0.0,0.0,0.0,0.0
21.0,0.0,102.17184188788305,0.0,102.17184188788305,0.0,0.0,0.0,0.0,102.17184188788305,102.17184188788305,0.0,0.0,0.0,0.0
22.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
23.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
