time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,31.884011198551324,38.22,31.884011198551324,38.22,0.0,31.884011198551324,38.22,38.22,6.335988801448676,0.0,0.0,0.0,0.0,255.67299411783088
2.0,61.595179724741186,38.22,61.595179724741186,38.22,0.0,61.595179724741186,38.22,38.22,-23.375179724741184,0.0,0.0,0.0,0.0,273.81989497256734
3.0,86.10824100694542,38.22,86.10824100694542,38.22,0.0,86.10824100694542,38.22,38.22,-47.88824100694542,0.0,0.0,0.0,0.0,315.22192764981963
4.0,101.63756733667948,38.22,101.63756733667948,38.22,4.1329934079686055,91.35112076123538,34.08700659203139,38.22,-63.417567336679475,0.0,6.153453167475492,0.0,0.0,365.9543503582015
5.0,109.72692726538634,38.22,109.72692726538634,38.22,7.146596498505977,73.0091159342344,31.073403501494024,38.22,-71.50692726538634,0.0,29.571214832645964,0.0,0.0,402.4626360110525
6.0,112.3277316526812,38.22,112.3277316526812,38.22,11.634601945111356,59.866884934649626,26.585398054888643,38.22,-74.1077316526812,0.0,40.826244772920205,0.0,0.0,431.2338797363138
7.0,109.72692726538635,38.22,109.72692726538635,38.22,16.759999999999998,42.55360668645411,21.46,38.22,-71.50692726538635,0.0,50.413320578932236,0.0,0.0,448.98294947582565
8.0,101.63756733667948,38.22,101.63756733667948,38.22,16.83205635315124,32.349525813953036,21.387943646848758,38.22,-63.41756733667948,0.0,52.4559851695752,0.0,0.0,457.1275321849202
9.0,86.10824100694542,38.22,86.10824100694542,38.22,17.50848585610919,25.45287591811947,19.977142204740186,37.48562806084937,-47.88824100694542,0.7343719391506245,43.146879232716756,0.0,0.0,460.2164936197733
10.0,61.59517972474123,38.22,61.59517972474123,38.22,17.54,17.415447667828673,19.59886300818609,37.13886300818609,-23.375179724741233,1.0811369918139107,26.639732056912557,0.0,0.0,456.0792223984861
11.0,31.88401119855136,38.22,31.88401119855136,38.22,16.83931745528735,8.996773602776141,19.79177926775931,36.63109672304666,6.335988801448639,1.5889032769533369,6.047920140487866,0.0,0.0,443.75194410730853
12.0,1.508646793856205e-14,38.22,1.508646793856205e-14,38.22,8.795193913893841e-15,6.291274024668209e-15,35.21999999999999,35.22,38.219999999999985,3.0,0.0,0.0,0.0,406.6268043769318
13.0,0.0,38.22,0.0,38.22,0.0,0.0,35.22,35.22,38.22,3.0,0.0,0.0,0.0,369.501664646555
14.0,0.0,38.22,0.0,38.22,0.0,0.0,35.22,35.22,38.22,3.0,0.0,0.0,0.0,332.37652491617825
15.0,0.0,38.22,0.0,38.22,0.0,0.0,34.117448364679625,34.117448364679625,38.22,4.102551635320374,0.0,0.0,0.0,296.4135766543201
16.0,0.0,38.22,0.0,38.22,0.0,0.0,30.927439263033055,30.927439263033055,38.22,7.292560736966946,0.0,0.0,0.0,263.8131932317521
17.0,0.0,38.22,0.0,38.22,0.0,0.0,29.32816467921864,29.32816467921864,38.22,8.89183532078136,0.0,0.0,0.0,232.898593238808
18.0,0.0,108.19310380848817,0.0,108.19310380848817,0.0,0.0,75.56091116511976,75.56091116511976,108.19310380848817,32.63219264336841,0.0,0.0,0.0,153.25039945233277
19.0,0.0,108.67486094514307,0.0,108.67486094514307,0.0,0.0,67.59705837741191,67.59705837741191,108.67486094514307,41.077802567731155,0.0,0.0,0.0,81.99684358567026
20.0,0.0,109.07859754609281,0.0,109.07859754609281,0.0,0.0,43.19484919156189,43.19484919156189,109.07859754609281,65.88374835453092,0.0,0.0,0.0,36.46547470806415
21.0,0.0,102.72818166527898,0.0,102.72818166527898,0.0,0.0,26.897931148926435,26.897931148926435,102.72818166527898,75.83025051635254,0.0,0.0,0.0,8.1125657823984
22.0,0.0,38.22,0.0,38.22,0.0,0.0,3.676554982129398,3.676554982129398,38.22,34.5434450178706,0.0,0.0,0.0,4.237136553608883
23.0,0.0,38.22,0.0,38.22,0.0,0.0,1.78,1.78,38.22,36.44,0.0,0.0,0.0,2.360851808575645
