time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,25.509596496891618,38.22,25.509596496891618,38.22,0.0,0.0,38.22,38.22,12.710403503108381,0.0,25.509596496891618,0.0,0.0,225.42516521890968
2.0,49.280756149121515,38.22,49.280756149121515,38.22,0.0,0.0,38.22,38.22,-11.060756149121515,0.0,49.280756149121515,0.0,0.0,185.13774782836452
3.0,69.65282776117246,38.22,69.65282776117246,38.22,0.0,0.0,38.22,38.22,-31.432827761172465,0.0,69.65282776117246,0.0,0.0,144.8503304378194
4.0,84.4079640928513,38.22,84.4079640928513,38.22,0.0,0.0,38.22,38.22,-46.18796409285131,0.0,84.4079640928513,0.0,0.0,104.56291304727424
5.0,93.33832168223532,38.22,93.33832168223532,38.22,0.0,0.0,32.67779618945547,32.67779618945547,-55.11832168223531,5.542203810544526,93.33832168223532,0.0,0.0,70.11749142279075
6.0,96.14988229911013,38.22,96.14988229911013,38.22,0.0,0.0,20.22,20.22,-57.92988229911013,18.0,96.14988229911013,0.0,0.0,48.803739993255874
7.0,93.33832168223532,38.22,93.33832168223532,38.22,0.0,0.0,16.423347142091618,16.423347142091618,-55.11832168223532,21.796652857908384,93.33832168223532,0.0,0.0,31.492012069047036
8.0,84.40796409285132,38.22,84.40796409285132,38.22,0.0,0.0,10.14,10.14,-46.18796409285132,28.08,84.40796409285132,0.0,0.0,20.80351357767791
9.0,69.65282776117246,38.22,69.65282776117246,38.22,0.0,0.0,6.804414373283407,6.804414373283407,-31.432827761172465,31.41558562671659,69.65282776117246,0.0,0.0,13.631031056623664
10.0,49.28075614912155,38.22,49.28075614912155,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-11.060756149121552,34.58,49.28075614912155,0.0,0.0,9.794134162286031
11.0,25.509596496891646,38.22,25.509596496891646,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,12.710403503108353,34.58,25.509596496891646,0.0,0.0,5.957237267948397
12.0,1.2070304055516583e-14,38.22,1.2070304055516583e-14,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,38.219999999999985,34.58,1.2070304055516583e-14,0.0,0.0,2.1203403736107633
13.0,0.0,38.22,0.0,38.22,0.0,0.0,2.0115314986267174,2.0115314986267174,38.22,36.20846850137328,0.0,0.0,0.0,0.0
14.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
15.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
16.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
17.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
18.0,0.0,118.94662254769706,0.0,118.94662254769706,0.0,0.0,0.0,0.0,118.94662254769706,118.94662254769706,0.0,0.0,0.0,0.0
19.0,0.0,120.54587256819282,0.0,120.54587256819282,0.0,0.0,0.0,0.0,120.54587256819282,120.54587256819282,0.0,0.0,0.0,0.0
20.0,0.0,110.16875410774234,0.0,110.16875410774234,0.0,0.0,0.0,0.0,110.16875410774234,110.16875410774234,0.0,0.0,0.0,0.0
21.0,0.0,102.78483019123489,0.0,102.78483019123489,0.0,0.0,0.0,0.0,102.78483019123489,102.78483019123489,0.0,0.0,0.0,0.0
22.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
23.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
24.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
25.0,28.016810008635364,38.22,28.016810008635364,38.22,0.0,0.0,0.0,0.0,10.203189991364637,38.22,28.016810008635364,0.0,0.0,0.0
26.0,54.1243207151499,38.22,54.1243207151499,38.22,0.0,0.0,0.0,0.0,-15.904320715149899,38.22,54.1243207151499,0.0,0.0,0.0
27.0,74.84218243974067,38.22,74.84218243974067,38.22,0.0,0.0,0.0,0.0,-36.62218243974067,38.22,74.84218243974067,0.0,0.0,0.0
28.0,88.38554939921559,38.22,88.38554939921559,38.22,0.0,0.0,0.0,0.0,-50.16554939921559,38.22,88.38554939921559,0.0,0.0,0.0
29.0,96.27416935001479,38.22,96.27416935001479,38.22,0.0,0.0,0.0,0.0,-58.054169350014796,38.22,96.27416935001479,0.0,0.0,0.0
30.0,98.91079186590049,38.22,98.91079186590049,38.22,0.0,0.0,0.0,0.0,-60.69079186590049,38.22,98.91079186590049,0.0,0.0,0.0
31.0,96.2741693500148,38.22,96.2741693500148,38.22,0.0,0.0,0.0,0.0,-58.0541693500148,38.22,96.2741693500148,0.0,0.0,0.0
32.0,88.3855493992156,38.22,88.3855493992156,38.22,0.0,0.0,0.0,0.0,-50.1655493992156,38.22,88.3855493992156,0.0,0.0,0.0
33.0,73.33650177596724,38.22,73.33650177596724,38.22,0.0,0.0,0.0,0.0,-35.11650177596724,38.22,73.33650177596724,0.0,0.0,0.0
34.0,53.05964370749428,38.22,53.05964370749428,38.22,0.0,0.0,0.0,0.0,-14.839643707494282,38.22,53.05964370749428,0.0,0.0,0.0
35.0,27.4656926357073,38.22,27.4656926357073,38.22,0.0,0.0,0.0,0.0,10.7543073642927,38.22,27.4656926357073,0.0,0.0,0.0
36.0,1.2995864566056367e-14,38.22,1.2995864566056367e-14,38.22,0.0,0.0,0.0,0.0,38.219999999999985,38.22,1.2995864566056367e-14,0.0,0.0,0.0
37.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
38.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
39.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
40.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
41.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
42.0,0.0,116.92768873238842,0.0,116.92768873238842,0.0,0.0,0.0,0.0,116.92768873238842,116.92768873238842,0.0,0.0,0.0,0.0
43.0,0.0,105.04397474812542,0.0,105.04397474812542,0.0,0.0,0.0,0.0,105.04397474812542,105.04397474812542,0.0,0.0,0.0,0.0
44.0,0.0,115.02467978117458,0.0,115.02467978117458,0.0,0.0,0.0,0.0,115.02467978117458,115.02467978117458,0.0,0.0,0.0,0.0
45.0,0.0,118.69169969876384,0.0,118.69169969876384,0.0,0.0,0.0,0.0,118.69169969876384,118.69169969876384,0.0,0.0,0.0,0.0
46.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
47.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
48.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
49.0,26.043185106316457,38.22,26.043185106316457,38.22,0.0,0.0,0.0,0.0,12.17681489368354,38.22,26.043185106316457,0.0,0.0,0.0
50.0,50.31157018603576,38.22,50.31157018603576,38.22,0.0,0.0,0.0,0.0,-12.091570186035762,38.22,50.31157018603576,0.0,0.0,0.0
51.0,71.15130490137764,38.22,71.15130490137764,38.22,0.0,0.0,0.0,0.0,-32.93130490137765,38.22,71.15130490137764,0.0,0.0,0.0
52.0,85.41020465005957,38.22,85.41020465005957,38.22,0.0,0.0,0.0,0.0,-47.19020465005957,38.22,85.41020465005957,0.0,0.0,0.0
53.0,92.9556034941352,38.22,92.9556034941352,38.22,0.0,0.0,0.0,0.0,-54.735603494135205,38.22,92.9556034941352,0.0,0.0,0.0
54.0,95.5291985249208,38.22,95.5291985249208,38.22,0.0,0.0,0.0,0.0,-57.30919852492081,38.22,95.5291985249208,0.0,0.0,0.0
55.0,92.9556034941352,38.22,92.9556034941352,38.22,0.0,0.0,0.0,0.0,-54.73560349413521,38.22,92.9556034941352,0.0,0.0,0.0
56.0,85.41020465005957,38.22,85.41020465005957,38.22,0.0,0.0,0.0,0.0,-47.19020465005958,38.22,85.41020465005957,0.0,0.0,0.0
57.0,71.15130490137764,38.22,71.15130490137764,38.22,0.0,0.0,0.0,0.0,-32.93130490137765,38.22,71.15130490137764,0.0,0.0,0.0
58.0,50.3115701860358,38.22,50.3115701860358,38.22,0.0,0.0,0.0,0.0,-12.091570186035801,38.22,50.3115701860358,0.0,0.0,0.0
59.0,26.04318510631649,38.22,26.04318510631649,38.22,0.0,0.0,0.0,0.0,12.176814893683511,38.22,26.04318510631649,0.0,0.0,0.0
60.0,1.2322780677681222e-14,38.22,1.2322780677681222e-14,38.22,0.0,0.0,0.0,0.0,38.219999999999985,38.22,1.2322780677681222e-14,0.0,0.0,0.0
61.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
62.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
63.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
64.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
65.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
66.0,0.0,114.24857356081861,0.0,114.24857356081861,0.0,0.0,0.0,0.0,114.24857356081861,114.24857356081861,0.0,0.0,0.0,0.0
67.0,0.0,109.30072461532114,0.0,109.30072461532114,0.0,0.0,0.0,0.0,109.30072461532114,109.30072461532114,0.0,0.0,0.0,0.0
68.0,0.0,119.2926657748546,0.0,119.2926657748546,0.0,0.0,0.0,0.0,119.2926657748546,119.2926657748546,0.0,0.0,0.0,0.0
69.0,0.0,115.44743874633548,0.0,115.44743874633548,0.0,0.0,0.0,0.0,115.44743874633548,115.44743874633548,0.0,0.0,0.0,0.0
70.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
71.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
72.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
73.0,30.390368529879826,38.22,30.390368529879826,38.22,0.0,0.0,0.0,0.0,7.829631470120174,38.22,30.390368529879826,0.0,0.0,0.0
74.0,58.70968366690693,38.22,58.70968366690693,38.22,0.0,0.0,0.0,0.0,-20.48968366690693,38.22,58.70968366690693,0.0,0.0,0.0
75.0,82.08034187360359,38.22,82.08034187360359,38.22,0.0,0.0,0.0,0.0,-43.860341873603595,38.22,82.08034187360359,0.0,0.0,0.0
