time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,19.695335552153505,38.22,19.695335552153505,38.22,0.0,19.695335552153505,38.22,38.22,18.524664447846497,0.0,0.0,0.0,0.0,244.10980110673822
2.0,38.04846653450867,38.22,38.04846653450867,38.22,0.0,38.04846653450867,38.22,38.22,0.17153346549132892,0.0,0.0,0.0,0.0,239.91832843391535
3.0,52.92740006906811,38.22,52.92740006906811,38.22,0.0,52.92740006906811,38.22,38.22,-14.707400069068116,0.0,0.0,0.0,0.0,249.84225149813273
4.0,63.923582305115644,38.22,63.923582305115644,38.22,0.27999999999999997,62.39280328420001,37.94,38.22,-25.703582305115646,0.0,1.2507790209156349,0.0,0.0,269.0409904168084
5.0,70.14781188170868,38.22,70.14781188170868,38.22,2.26380253774329,61.0723155489871,35.95619746225671,38.22,-31.927811881708685,0.0,6.811693794978293,0.0,0.0,289.0781161582374
6.0,72.05793986245908,38.22,72.05793986245908,38.22,5.02,52.91897005996238,33.2,38.22,-33.83793986245908,0.0,14.1189698024967,0.0,0.0,304.2855864316288
7.0,70.14781188170869,38.22,70.14781188170869,38.22,6.460026130260069,45.46278594597058,31.62938502109115,38.08941115135122,-31.92781188170869,0.13058884864878162,18.224999805478042,0.0,0.0,314.07507292239643
8.0,63.92358230511565,38.22,63.92358230511565,38.22,7.8,35.89168915986965,29.0462562225697,36.8462562225697,-25.703582305115656,1.373743777430301,20.231893145246005,0.0,0.0,317.50747657913246
9.0,52.92740006906811,38.22,52.92740006906811,38.22,8.500650167367866,27.38914233408071,26.919252001739505,35.419902169107374,-14.707400069068116,2.8000978308926276,17.037607567619542,0.0,0.0,315.11571538155516
10.0,38.0484665345087,38.22,38.0484665345087,38.22,8.774076407533359,18.69734445009746,24.419839766843687,33.19391617437705,0.17153346549129955,5.026083825622951,10.57704567687788,0.0,0.0,307.1128025260664
11.0,19.695335552153526,38.22,19.695335552153526,38.22,7.929941192031859,9.667713193886863,23.151991431682074,31.081932623713936,18.524664447846472,7.138067376286065,2.0976811662348043,0.0,0.0,291.88005879917677
12.0,9.319186550790247e-15,38.22,9.319186550790247e-15,38.22,3.500339999227463e-15,5.818846551562784e-15,27.11783572563702,27.117835725637022,38.21999999999999,11.102164274362977,0.0,0.0,0.0,263.29535009674413
13.0,0.0,38.22,0.0,38.22,0.0,0.0,25.295075353474232,25.295075353474232,38.22,12.924924646525767,0.0,0.0,0.0,236.6319995292217
14.0,0.0,38.22,0.0,38.22,0.0,0.0,24.272198864349363,24.272198864349363,38.22,13.947801135650638,0.0,0.0,0.0,211.04685545192294
15.0,0.0,38.22,0.0,38.22,0.0,0.0,21.974134730892736,21.974134730892736,38.22,16.245865269107263,0.0,0.0,0.0,187.88408366491223
16.0,0.0,38.22,0.0,38.22,0.0,0.0,20.48146231360079,20.48146231360079,38.22,17.73853768639921,0.0,0.0,0.0,166.29472675761878
17.0,0.0,38.22,0.0,38.22,0.0,0.0,17.327235986457808,17.327235986457808,38.22,20.89276401354219,0.0,0.0,0.0,148.03021633347174
18.0,0.0,114.71462924908826,0.0,114.71462924908826,0.0,0.0,51.59363872334689,51.59363872334689,114.71462924908826,63.12099052574137,0.0,0.0,0.0,93.64574595292571
19.0,0.0,119.55108470658068,0.0,119.55108470658068,0.0,0.0,47.36608178847721,47.36608178847721,119.55108470658068,72.18500291810348,0.0,0.0,0.0,43.71751185645577
20.0,0.0,114.6951704107604,0.0,114.6951704107604,0.0,0.0,30.231080431368703,30.231080431368703,114.6951704107604,84.4640899793917,0.0,0.0,0.0,11.851155092832206
21.0,0.0,116.27302733171811,0.0,116.27302733171811,0.0,0.0,7.94780766441637,7.94780766441637,116.27302733171811,108.32521966730174,0.0,0.0,0.0,3.4734302179992365
22.0,0.0,38.22,0.0,38.22,0.0,0.0,0.9177347606199622,0.9177347606199622,38.22,37.302265239380034,0.0,0.0,0.0,2.5060528408430756
