time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,22.136367838412966,38.22,22.136367838412966,38.22,19.45293587599814,2.6834319624148257,18.767064124001863,38.22,16.083632161587037,0.0,0.0,0.0,0.0,248.47608715155985
2.0,42.7641787907156,38.22,42.7641787907156,38.22,27.31204569022878,15.452133100486817,10.907954309771222,38.22,-4.544178790715596,0.0,0.0,0.0,0.0,251.63727433260289
3.0,60.47768162957787,38.22,60.47768162957787,38.22,31.024497559613884,29.45318406996399,7.195502440386116,38.22,-22.257681629577874,0.0,0.0,0.0,0.0,271.99429259387847
4.0,72.84595702086935,38.22,72.84595702086935,38.22,33.30107159342024,36.20780810211696,4.918928406579764,38.22,-34.62595702086936,0.0,3.3370773253321655,0.0,0.0,301.1590295953433
5.0,79.26497760407301,38.22,79.26497760407301,38.22,34.42812344333611,31.83086181568402,3.791876556663884,38.22,-41.04497760407302,0.0,13.005992345052878,0.0,0.0,327.3594477206851
6.0,81.35561964603383,38.22,81.35561964603383,38.22,34.77508117875948,26.10056655983547,3.44491882124052,38.22,-43.13561964603383,0.0,20.47997190743888,0.0,0.0,348.489356009156
7.0,79.26497760407302,38.22,79.26497760407302,38.22,34.42812344333611,18.765638696294996,3.791876556663884,38.22,-41.04497760407302,0.0,26.071215464441906,0.0,0.0,362.29501517583
8.0,72.84595702086936,38.22,72.84595702086936,38.22,33.30107159342024,11.11833719387369,4.896446111733181,38.197517705153416,-34.625957020869365,0.022482294846581263,28.42654823357544,0.0,0.0,367.68148858930107
9.0,60.47768162957787,38.22,60.47768162957787,38.22,31.024497559613884,5.06895751818926,5.260561582909355,36.28505914252324,-22.257681629577874,1.9349408574767621,24.38422655177473,0.0,0.0,366.94520513414335
10.0,42.764178790715626,38.22,42.764178790715626,38.22,27.312045690228786,0.9446056903360577,6.971493320800923,34.28353901102971,-4.5441787907156295,3.93646098897029,14.507527410150786,0.0,0.0,360.49273758034803
11.0,22.13636783841299,38.22,22.13636783841299,38.22,19.452935875998154,0.0,13.62473502743684,33.07767090343499,16.083632161587012,5.142329096565005,2.6834319624148346,0.0,0.0,346.13100584602233
12.0,1.0474202934842998e-14,38.22,1.0474202934842998e-14,38.22,1.0474202934842998e-14,0.0,28.638563954224235,28.638563954224246,38.21999999999999,9.581436045775751,0.0,0.0,0.0,315.9433088421068
13.0,0.0,38.22,0.0,38.22,0.0,0.0,27.44501951258742,27.44501951258742,38.22,10.774980487412577,0.0,0.0,0.0,287.01371814626
14.0,0.0,38.22,0.0,38.22,0.0,0.0,25.896211100167324,25.896211100167324,38.22,12.323788899832676,0.0,0.0,0.0,259.7167148645721
15.0,0.0,38.22,0.0,38.22,0.0,0.0,23.105564896329565,23.105564896329565,38.22,15.114435103670434,0.0,0.0,0.0,235.36131096549423
16.0,0.0,38.22,0.0,38.22,0.0,0.0,22.86,22.86,38.22,15.36,0.0,0.0,0.0,211.2647551950112
17.0,0.0,38.22,0.0,38.22,0.0,0.0,21.804124000787397,21.804124000787397,38.22,16.415875999212602,0.0,0.0,0.0,188.2811904526008
18.0,0.0,106.67077730022454,0.0,106.67077730022454,0.0,0.0,64.35031067534449,64.35031067534449,106.67077730022454,42.320466624880055,0.0,0.0,0.0,120.45000716142192
19.0,0.0,108.86583327053198,0.0,108.86583327053198,0.0,0.0,49.745007477110136,49.745007477110136,108.86583327053198,59.12082579342185,0.0,0.0,0.0,68.01416521149713
20.0,0.0,105.08368260745394,0.0,105.08368260745394,0.0,0.0,43.42553724005957,43.42553724005957,105.08368260745394,61.65814536739438,0.0,0.0,0.0,22.239629779813665
