time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,21.31875785932123,38.22,21.31875785932123,38.22,0.0,0.0,38.22,38.22,16.901242140678768,0.0,21.31875785932123,0.0,0.0,225.42516521890968
2.0,41.18467760144285,38.22,41.18467760144285,38.22,0.0,0.0,38.22,38.22,-2.9646776014428537,0.0,41.18467760144285,0.0,0.0,185.13774782836452
3.0,58.22670855278662,38.22,58.22670855278662,38.22,0.0,0.0,38.22,38.22,-20.00670855278662,0.0,58.22670855278662,0.0,0.0,144.8503304378194
4.0,69.25776731295363,38.22,69.25776731295363,38.22,0.0,0.0,38.22,38.22,-31.037767312953633,0.0,69.25776731295363,0.0,0.0,104.56291304727424
5.0,75.40132087728028,38.22,75.40132087728028,38.22,0.0,0.0,32.67779618945547,32.67779618945547,-37.181320877280285,5.542203810544526,75.40132087728028,0.0,0.0,70.11749142279075
6.0,77.36011596435748,38.22,77.36011596435748,38.22,0.0,0.0,20.22,20.22,-39.140115964357484,18.0,77.36011596435748,0.0,0.0,48.803739993255874
7.0,75.4013208772803,38.22,75.4013208772803,38.22,0.0,0.0,16.423347142091618,16.423347142091618,-37.18132087728029,21.796652857908384,75.4013208772803,0.0,0.0,31.492012069047036
8.0,69.25776731295363,38.22,69.25776731295363,38.22,0.0,0.0,10.14,10.14,-31.037767312953637,28.08,69.25776731295363,0.0,0.0,20.80351357767791
9.0,58.22670855278662,38.22,58.22670855278662,38.22,0.0,0.0,6.804414373283407,6.804414373283407,-20.00670855278662,31.41558562671659,58.22670855278662,0.0,0.0,13.631031056623664
10.0,41.184677601442885,38.22,41.184677601442885,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-2.964677601442886,34.58,41.184677601442885,0.0,0.0,9.794134162286031
11.0,21.318757859321256,38.22,21.318757859321256,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,16.901242140678743,34.58,21.318757859321256,0.0,0.0,5.957237267948397
12.0,1.0087336719704538e-14,38.22,1.0087336719704538e-14,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,38.21999999999999,34.58,1.0087336719704538e-14,0.0,0.0,2.1203403736107633
13.0,0.0,38.22,0.0,38.22,0.0,0.0,2.0115314986267174,2.0115314986267174,38.22,36.20846850137328,0.0,0.0,0.0,0.0
14.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
15.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
16.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
17.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
18.0,0.0,105.14404658777379,0.0,105.14404658777379,0.0,0.0,0.0,0.0,105.14404658777379,105.14404658777379,0.0,0.0,0.0,0.0
19.0,0.0,108.00980789119606,0.0,108.00980789119606,0.0,0.0,0.0,0.0,108.00980789119606,108.00980789119606,0.0,0.0,0.0,0.0
20.0,0.0,109.96209056153516,0.0,109.96209056153516,0.0,0.0,0.0,0.0,109.96209056153516,109.96209056153516,0.0,0.0,0.0,0.0
21.0,0.0,102.21658998041735,0.0,102.21658998041735,0.0,0.0,0.0,0.0,102.21658998041735,102.21658998041735,0.0,0.0,0.0,0.0
22.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
23.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
24.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
25.0,19.124803717893077,38.22,19.124803717893077,38.22,0.0,0.0,0.0,0.0,19.095196282106922,38.22,19.124803717893077,0.0,0.0,0.0
26.0,36.94628366764423,38.22,36.94628366764423,38.22,0.0,0.0,0.0,0.0,1.2737163323557683,38.22,36.94628366764423,0.0,0.0,0.0
