time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,36.33708071289427,38.22,36.33708071289427,38.22,0.0,36.33708071289427,38.22,38.22,1.882919287105731,0.0,0.0,0.0,0.0,259.89754679114594
2.0,70.19784942506992,38.22,70.19784942506992,38.22,0.0,70.19784942506992,38.22,38.22,-31.97784942506992,0.0,0.0,0.0,0.0,286.20565670922946
3.0,98.26912277552893,38.22,98.26912277552893,38.22,0.0,98.26912277552893,38.22,38.22,-60.049122775528936,0.0,0.0,0.0,0.0,339.14451480990397
4.0,117.4228955424054,38.22,117.4228955424054,38.22,3.5621207079618826,107.77976190883494,34.65787929203812,38.22,-79.2028955424054,0.0,6.081012925608585,0.0,0.0,404.8607623226685
5.0,127.18247167423041,38.22,127.18247167423041,38.22,10.288140874215769,82.27238021855244,27.931859125784232,38.22,-88.96247167423043,0.0,34.621950581462215,0.0,0.0,453.4684306200581
6.0,130.39904099524787,38.22,130.39904099524787,38.22,14.532261614195706,62.00187162511073,23.687738385804295,38.22,-92.17904099524787,0.0,53.86490775594143,0.0,0.0,487.31950203955876
7.0,127.18247167423043,38.22,127.18247167423043,38.22,21.85727452414504,41.15117015999466,16.36272547585496,38.22,-88.96247167423043,0.0,64.17402699009072,0.0,0.0,509.1111027883257
8.0,117.42289554240541,38.22,117.42289554240541,38.22,22.8157924723862,26.058940949425075,15.404207527613801,38.22,-79.20289554240541,0.0,68.54816212059414,0.0,0.0,517.5953243862062
9.0,98.26912277552893,38.22,98.26912277552893,38.22,23.812300128795705,19.26602565456364,14.407699871204294,38.22,-60.049122775528936,0.0,55.19079699216959,0.0,0.0,520.6856319987968
10.0,70.19784942506998,38.22,70.19784942506998,38.22,24.143924346651133,12.959870139614663,14.076075653348866,38.22,-31.977849425069977,0.0,33.09405493880418,0.0,0.0,518.142957818011
11.0,36.337080712894306,38.22,36.337080712894306,38.22,22.57246220106554,6.537122644208855,15.647537798934458,38.22,1.882919287105691,0.0,7.22749586761991,0.0,0.0,507.8506638151429
12.0,1.7193514321087952e-14,38.22,1.7193514321087952e-14,38.22,1.0914782166604305e-14,6.278732154483646e-15,38.219999999999985,38.22,38.219999999999985,0.0,0.0,0.0,0.0,467.5632464245978
13.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,427.27582903405266
14.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,386.9884116435075
15.0,0.0,38.22,0.0,38.22,0.0,0.0,37.947827288343035,37.947827288343035,38.22,0.27217271165696566,0.0,0.0,0.0,346.9878894815558
16.0,0.0,38.22,0.0,38.22,0.0,0.0,35.31479409258034,35.31479409258034,38.22,2.905205907419658,0.0,0.0,0.0,309.7628280040848
17.0,0.0,38.22,0.0,38.22,0.0,0.0,31.676772367173122,31.676772367173122,38.22,6.543227632826876,0.0,0.0,0.0,276.3725781364346
18.0,0.0,109.86543488317082,0.0,109.86543488317082,0.0,0.0,87.71951363178653,87.71951363178653,109.86543488317082,22.1459212513843,0.0,0.0,0.0,183.90809203022323
19.0,0.0,128.9644251800031,0.0,128.9644251800031,0.0,0.0,96.54893142016168,96.54893142016168,128.9644251800031,32.415493759841446,0.0,0.0,0.0,82.13658238252115
20.0,0.0,114.00270766520308,0.0,114.00270766520308,0.0,0.0,55.242926304943246,55.242926304943246,114.00270766520308,58.759781360259836,0.0,0.0,0.0,23.905425137037774
21.0,0.0,116.09362572435897,0.0,116.09362572435897,0.0,0.0,18.384471321329737,18.384471321329737,116.09362572435897,97.70915440302925,0.0,0.0,0.0,4.526490819222016
22.0,0.0,38.22,0.0,38.22,0.0,0.0,1.7287190990984553,1.7287190990984553,38.22,36.49128090090154,0.0,0.0,0.0,2.704260889960199
23.0,0.0,38.22,0.0,38.22,0.0,0.0,1.3399999999999999,1.3399999999999999,38.22,36.88,0.0,0.0,0.0,1.2917768684183228
24.0,0.0,38.22,0.0,38.22,0.0,0.0,0.9371666186601467,0.9371666186601467,38.22,37.282833381339856,0.0,0.0,0.0,0.30391651440348255
25.0,40.46003087849908,38.22,40.46003087849908,38.22,0.0,40.46003087849908,29.644007100500467,29.644007100500467,-2.2400308784990832,8.57599289949953,0.0,0.0,0.0,7.440144910181801
26.0,78.16277751599088,38.22,78.16277751599088,38.22,0.0,78.16277751599088,36.296200923730474,36.296200923730474,-39.94277751599088,1.9237990762695223,0.0,0.0,0.0,43.332311358808646
27.0,110.53886003586514,38.22,110.53886003586514,38.22,0.0,110.53886003586514,37.25714317589937,37.25714317589937,-72.31886003586514,0.9628568241006293,0.0,0.0,0.0,108.92620447809686
28.0,131.11709548430483,38.22,131.11709548430483,38.22,0.0,131.11709548430483,37.59886710447502,37.59886710447502,-92.89709548430483,0.6211328955249797,0.0,0.0,0.0,193.68211722224424
29.0,140.83950919306434,38.22,140.83950919306434,38.22,0.8700334161031931,139.42299340971377,36.86251488624185,37.73254830234504,-102.61950919306433,0.48745169765496005,0.546482367247358,0.0,0.0,287.0938799934509
30.0,143.9327146051281,38.22,143.9327146051281,38.22,6.486124753010734,116.39217040304237,31.292019716436574,37.77814446944731,-105.7127146051281,0.44185553055268983,21.054419449074988,0.0,0.0,364.5285031150546
31.0,140.83950919306434,38.22,140.83950919306434,38.22,10.955932278375462,82.27691369708141,26.776616023969577,37.73254830234504,-102.61950919306435,0.48745169765496005,47.60666321760747,0.0,0.0,414.3582053987841
32.0,131.11709548430483,38.22,131.11709548430483,38.22,13.24,61.8704002923635,24.35886710447502,37.59886710447502,-92.89709548430484,0.6211328955249797,56.00669519194134,0.0,0.0,447.3771203760184
33.0,110.53886003586514,38.22,110.53886003586514,38.22,13.645530597838974,49.11656890222571,23.740680430714495,37.38621102855347,-72.31886003586514,0.8337889714465321,47.77676053580046,0.0,0.0,468.94831449669215
34.0,78.16277751599094,38.22,78.16277751599094,38.22,16.31480277668026,31.047139698140505,20.687483710846326,37.00228648752659,-39.94277751599094,1.2177135124734126,30.800835041170178,0.0,0.0,476.59569485259027
35.0,40.460030878499126,38.22,40.460030878499126,38.22,15.821993897856112,15.262102301348527,20.613930684801495,36.435924582657606,-2.2400308784991276,1.784075417342391,9.375934679294488,0.0,0.0,469.3456055680822
36.0,1.9144359059484992e-14,38.22,1.9144359059484992e-14,38.22,1.0966091854254229e-14,8.178267205230762e-15,35.33463153789768,35.334631537897685,38.21999999999998,2.885368462102313,0.0,0.0,0.0,432.0996335872239
37.0,0.0,38.22,0.0,38.22,0.0,0.0,35.1,35.1,38.22,3.12,0.0,0.0,0.0,395.1009849632539
38.0,0.0,38.22,0.0,38.22,0.0,0.0,34.84539072652712,34.84539072652712,38.22,3.374609273472876,0.0,0.0,0.0,358.37071807847553
39.0,0.0,38.22,0.0,38.22,0.0,0.0,32.61967301894428,32.61967301894428,38.22,5.600326981055713,0.0,0.0,0.0,323.98656365520725
40.0,0.0,38.22,0.0,38.22,0.0,0.0,32.48,32.48,38.22,5.74,0.0,0.0,0.0,289.7496375211176
41.0,0.0,38.22,0.0,38.22,0.0,0.0,31.974640294920874,31.974640294920874,38.22,6.245359705079126,0.0,0.0,0.0,256.045407288935
42.0,0.0,114.85095082161192,0.0,114.85095082161192,0.0,0.0,85.14547308624367,85.14547308624367,114.85095082161192,29.70547773536825,0.0,0.0,0.0,166.29419815390287
43.0,0.0,114.34035882713707,0.0,114.34035882713707,0.0,0.0,76.28396324176965,76.28396324176965,114.34035882713707,38.05639558536741,0.0,0.0,0.0,85.88384055771819
44.0,0.0,109.47527873331849,0.0,109.47527873331849,0.0,0.0,53.119265232677236,53.119265232677236,109.47527873331849,56.35601350064125,0.0,0.0,0.0,29.891218634433486
45.0,0.0,113.3575639247307,0.0,113.3575639247307,0.0,0.0,20.40524445446667,20.40524445446667,113.3575639247307,92.95231947026403,0.0,0.0,0.0,8.382202404888602
46.0,0.0,38.22,0.0,38.22,0.0,0.0,2.277381499852607,2.277381499852607,38.22,35.94261850014739,0.0,0.0,0.0,5.9816315246670495
47.0,0.0,38.22,0.0,38.22,0.0,0.0,2.12,2.12,38.22,36.1,0.0,0.0,0.0,3.746955311481395
48.0,0.0,38.22,0.0,38.22,0.0,0.0,1.5166600465799518,1.5166600465799518,38.22,36.70333995342005,0.0,0.0,0.0,2.1482552503581562
49.0,39.671610078037645,38.22,39.671610078037645,38.22,0.0,39.671610078037645,29.0796911046254,29.0796911046254,-1.4516100780376493,9.140308895374599,0.0,0.0,0.0,9.131363289913562
50.0,76.63966548969248,38.22,76.63966548969248,38.22,0.0,76.63966548969248,33.95161032344844,33.95161032344844,-38.419665489692484,4.26838967655156,0.0,0.0,0.0,46.04999429063546
51.0,105.70098436198111,38.22,105.70098436198111,38.22,0.0,105.70098436198111,35.77980375225793,35.77980375225793,-67.48098436198111,2.4401962477420636,0.0,0.0,0.0,108.61152804535413
52.0,122.11477321539665,38.22,122.11477321539665,38.22,0.0,122.11477321539665,36.458489158186985,36.458489158186985,-83.89477321539665,1.7615108418130159,0.0,0.0,0.0,186.02915191055192
53.0,130.0773008195937,38.22,130.0773008195937,38.22,1.1251441867080407,128.6296406142325,35.74089207333874,36.86603626004678,-91.85730081959369,1.3539637399532194,0.32251601865314283,0.0,0.0,270.3837354095116
54.0,132.5590271279923,38.22,132.5590271279923,38.22,5.785364104088805,107.67369799977132,31.207879341632687,36.99324344572149,-94.3390271279923,1.2267565542785082,19.099965024132175,0.0,0.0,339.6359811201379
55.0,130.0773008195937,38.22,130.0773008195937,38.22,12.035668619359269,73.99819399260127,24.830367640687513,36.86603626004678,-91.85730081959369,1.3539637399532196,44.04343820763316,0.0,0.0,383.66332621884925
56.0,122.11477321539665,38.22,122.11477321539665,38.22,12.18,54.85396584421485,24.313083662506564,36.493083662506564,-83.89477321539665,1.7269163374934358,55.08080737118181,0.0,0.0,410.07412700850614
57.0,105.70098436198111,38.22,105.70098436198111,38.22,15.626287305364785,45.482783495876326,20.194510678962676,35.82079798432746,-67.48098436198111,2.3992020156725395,44.591913560740004,0.0,0.0,431.93600073385306
58.0,76.63966548969255,38.22,76.63966548969255,38.22,21.88246936307083,22.845062542394192,13.01285434800334,34.89532371107417,-38.41966548969254,3.3246762889258306,31.912133584227522,0.0,0.0,439.8919771441699
59.0,40.27292886244388,38.22,40.27292886244388,38.22,21.71202358471495,9.079966375638381,12.433301303055027,34.14532488776997,-2.052928862443874,4.074675112230024,9.480938902090543,0.0,0.0,435.4001392740005
60.0,1.9055828524575816e-14,38.22,1.9055828524575816e-14,38.22,1.403458307009903e-14,5.021245454476784e-15,32.699278270776716,32.69927827077673,38.21999999999998,5.520721729223271,0.0,0.0,0.0,400.932073547565
61.0,0.0,38.22,0.0,38.22,0.0,0.0,30.533691979022663,30.533691979022663,38.22,7.686308020977335,0.0,0.0,0.0,368.74673620498976
62.0,0.0,38.22,0.0,38.22,0.0,0.0,29.300347306090075,29.300347306090075,38.22,8.919652693909924,0.0,0.0,0.0,337.8614582979153
63.0,0.0,38.22,0.0,38.22,0.0,0.0,28.64,28.64,38.22,9.58,0.0,0.0,0.0,307.67224756884116
64.0,0.0,38.22,0.0,38.22,0.0,0.0,28.64,28.64,38.22,9.58,0.0,0.0,0.0,277.48303683976707
65.0,0.0,38.22,0.0,38.22,0.0,0.0,27.08034922049864,27.08034922049864,38.22,11.13965077950136,0.0,0.0,0.0,248.9378423832534
66.0,0.0,102.6177163865837,0.0,102.6177163865837,0.0,0.0,73.56975512698216,73.56975512698216,102.6177163865837,29.047961259601543,0.0,0.0,0.0,171.38851134921546
67.0,0.0,119.40282377465516,0.0,119.40282377465516,0.0,0.0,86.50773542153536,86.50773542153536,119.40282377465516,32.89508835311981,0.0,0.0,0.0,80.20135163078945
68.0,0.0,110.79510715286256,0.0,110.79510715286256,0.0,0.0,54.60521273255411,54.60521273255411,110.79510715286256,56.18989442030845,0.0,0.0,0.0,22.642403513156854
69.0,0.0,119.56104770009851,0.0,119.56104770009851,0.0,0.0,16.52091751087522,16.52091751087522,119.56104770009851,103.0401301892233,0.0,0.0,0.0,5.227827389781755
70.0,0.0,38.22,0.0,38.22,0.0,0.0,2.58663641543367,2.58663641543367,38.22,35.63336358456633,0.0,0.0,0.0,2.501273205947118
71.0,0.0,38.22,0.0,38.22,0.0,0.0,0.8786063428761262,0.8786063428761262,38.22,37.341393657123874,0.0,0.0,0.0,1.5751408025606468
72.0,0.0,38.22,0.0,38.22,0.0,0.0,0.472887851240197,0.472887851240197,38.22,37.747112148759804,0.0,0.0,0.0,1.0766732399800125
73.0,39.513323390851944,38.22,39.513323390851944,38.22,0.0,39.513323390851944,29.790301982165456,29.790301982165456,-1.293323390851947,8.429698017834543,0.0,0.0,0.0,7.1605677087260755
74.0,76.33387909147167,38.22,76.33387909147167,38.22,0.0,76.33387909147167,34.93714088491973,34.93714088491973,-38.11387909147167,3.2828591150802726,0.0,0.0,0.0,42.75026383470025
75.0,106.40221585026673,38.22,106.40221585026673,38.22,0.0,106.40221585026673,36.45841242415784,36.45841242415784,-68.18221585026673,1.7615875758421593,0.0,0.0,0.0,105.26172784270739
76.0,122.86600589503871,38.22,122.86600589503871,38.22,0.0,122.86600589503871,37.18038443168843,37.18038443168843,-84.64600589503871,1.0396155683115715,0.0,0.0,0.0,182.6310891719064
77.0,131.33147373915273,38.22,131.33147373915273,38.22,0.08870215299938566,131.24277158615334,37.414720825455156,37.50342297845454,-93.11147373915273,0.7165770215454589,0.0,0.0,0.0,267.7003359562908
78.0,133.70667095405184,38.22,133.70667095405184,38.22,5.297745910175359,116.18813747179007,32.31585950076414,37.6136054109395,-95.48667095405186,0.6063945890604976,12.220787572086422,0.0,0.0,343.8621745512396
