time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,37.865599053368264,38.22,37.865599053368264,38.22,30.040353085462254,7.825245967906007,8.179646914537743,38.22,0.3544009466317378,0.0,0.0,0.0,0.0,264.5141578603751
2.0,73.1507201071106,38.22,73.1507201071106,38.22,34.76890326327157,38.381816843839026,3.4510967367284278,38.22,-34.930720107110595,0.0,0.0,0.0,0.0,297.28857107774695
3.0,100.4462845109636,38.22,100.4462845109636,38.22,36.422172697341864,64.02411181362173,1.7978273026581353,38.22,-62.226284510963595,0.0,0.0,0.0,0.0,356.1321002558363
4.0,115.92960007407484,38.22,115.92960007407484,38.22,37.06334281704873,70.54437707241864,1.1566571829512704,38.22,-77.70960007407484,0.0,8.32188018460748,0.0,0.0,421.8371488324441
5.0,123.69626939139371,38.22,123.69626939139371,38.22,37.43055755579721,49.104290306466105,0.7894424442027945,38.22,-85.47626939139371,0.0,37.16142152913041,0.0,0.0,467.5894235070485
6.0,126.05312180393669,38.22,126.05312180393669,38.22,37.522367178498016,35.42700154184125,0.6976328215019825,38.22,-87.83312180393669,0.0,53.10375308359742,0.0,0.0,500.4630586076578
7.0,123.69626939139373,38.22,123.69626939139373,38.22,37.43055755579721,14.369722155825265,0.7894424442027945,38.22,-85.47626939139373,0.0,71.89598967977125,0.0,0.0,513.2632286127518
8.0,115.92960007407486,38.22,115.92960007407486,38.22,37.06334281704873,7.257416850227347,1.1566571829512697,38.22,-77.70960007407486,0.0,71.60884040679878,0.0,0.0,518.9289950421796
9.0,100.4462845109636,38.22,100.4462845109636,38.22,36.422172697341864,3.742130757262137,1.2468624903859535,37.669035187727815,-62.226284510963595,0.5509648122721817,60.28198105635959,0.0,0.0,521.1647835244988
10.0,73.15072010711066,38.22,73.15072010711066,38.22,34.768903263271575,0.9367976002960752,2.383372708842384,37.15227597211396,-34.93072010711065,1.0677240278860394,37.445019243543,0.0,0.0,519.541212337211
11.0,37.8655990533683,38.22,37.8655990533683,38.22,30.040353085462268,0.0,6.90340942318433,36.9437625086466,0.35440094663169636,1.2762374913534016,7.825245967906036,0.0,0.0,512.2643798712338
12.0,1.7916759046899388e-14,38.22,1.7916759046899388e-14,38.22,1.7916759046899388e-14,0.0,36.719999999999985,36.72,38.219999999999985,1.5,0.0,0.0,0.0,473.5581013107729
13.0,0.0,38.22,0.0,38.22,0.0,0.0,35.90244251346161,35.90244251346161,38.22,2.317557486538391,0.0,0.0,0.0,435.71360400883987
14.0,0.0,38.22,0.0,38.22,0.0,0.0,35.21447624340705,35.21447624340705,38.22,3.0055237565929525,0.0,0.0,0.0,398.5942868291545
15.0,0.0,38.22,0.0,38.22,0.0,0.0,34.38,34.38,38.22,3.84,0.0,0.0,0.0,362.3545848436249
16.0,0.0,38.22,0.0,38.22,0.0,0.0,34.13852282969643,34.13852282969643,38.22,4.081477170303573,0.0,0.0,0.0,326.3694221451258
17.0,0.0,38.22,0.0,38.22,0.0,0.0,33.33774352827804,33.33774352827804,38.22,4.882256471721959,0.0,0.0,0.0,291.2283549451603
18.0,0.0,123.35490688013937,0.0,123.35490688013937,0.0,0.0,104.48212632635936,104.48212632635936,123.35490688013937,18.872780553780004,0.0,0.0,0.0,181.09452362224803
19.0,0.0,103.56413033794334,0.0,103.56413033794334,0.0,0.0,83.31291824763505,83.31291824763505,103.56413033794334,20.251212090308286,0.0,0.0,0.0,93.27499689627108
20.0,0.0,115.74726301832384,0.0,115.74726301832384,0.0,0.0,67.84028478308669,67.84028478308669,115.74726301832384,47.90697823523715,0.0,0.0,0.0,21.765057886599127
21.0,0.0,117.31914539925128,0.0,117.31914539925128,0.0,0.0,17.78150577285615,17.78150577285615,117.31914539925128,99.53763962639513,0.0,0.0,0.0,3.021705063379769
22.0,0.0,38.22,0.0,38.22,0.0,0.0,0.7417043578228426,0.7417043578228426,38.22,37.47829564217716,0.0,0.0,0.0,2.239880022982199
23.0,0.0,38.22,0.0,38.22,0.0,0.0,0.5599999999999999,0.5599999999999999,38.22,37.66,0.0,0.0,0.0,1.6495881930841017
24.0,0.0,38.22,0.0,38.22,0.0,0.0,0.4208036376917657,0.4208036376917657,38.22,37.79919636230824,0.0,0.0,0.0,1.2060222121540152
25.0,36.24423090040694,38.22,36.24423090040694,38.22,27.698342205358657,8.545888695048285,0.0,27.698342205358657,1.975769099593058,10.521657794641342,0.0,0.0,0.0,9.313364084145023
26.0,70.0184773613747,38.22,70.0184773613747,38.22,33.863476406273925,36.15500095510078,0.0,33.863476406273925,-31.798477361374708,4.356523593726074,0.0,0.0,0.0,43.61300963124951
27.0,97.92544190611986,38.22,97.92544190611986,38.22,36.48644452949106,61.43899737662879,0.0,36.48644452949106,-59.70544190611986,1.7335554705089367,0.0,0.0,0.0,101.89916029142657
28.0,115.25318756545315,38.22,115.25318756545315,38.22,37.73851204105363,77.51467552439952,0.0,37.73851204105363,-77.03318756545315,0.4814879589463708,0.0,0.0,0.0,175.43603831522935
29.0,124.23600858546969,38.22,124.23600858546969,38.22,37.94,84.48939081668448,0.0,37.94,-86.01600858546969,0.27999999999999997,1.8066177687852023,0.0,0.0,255.58971224548037
30.0,126.87503734107749,38.22,126.87503734107749,38.22,37.94,65.16270846959311,0.0,37.94,-88.65503734107749,0.27999999999999997,23.77232887148438,0.0,0.0,317.4084854263181
31.0,124.23600858546969,38.22,124.23600858546969,38.22,37.94,39.378336751812995,0.0,37.94,-86.01600858546969,0.27999999999999997,46.917671833656705,0.0,0.0,354.7660558077718
