time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,39.18031439422313,38.22,39.18031439422313,38.22,0.0,0.0,38.22,38.22,-0.9603143942231318,0.0,39.18031439422313,0.0,0.0,225.42516521890968
2.0,75.69055511101091,38.22,75.69055511101091,38.22,0.0,0.0,38.22,38.22,-37.4705551110109,0.0,75.69055511101091,0.0,0.0,185.13774782836452
3.0,105.83834408625161,38.22,105.83834408625161,38.22,0.0,0.0,38.22,38.22,-67.61834408625161,0.0,105.83834408625161,0.0,0.0,144.8503304378194
4.0,124.86027674589297,38.22,124.86027674589297,38.22,0.0,0.0,38.22,38.22,-86.64027674589298,0.0,124.86027674589297,0.0,0.0,104.56291304727424
5.0,134.40346235889325,38.22,134.40346235889325,38.22,0.0,0.0,32.67779618945547,32.67779618945547,-96.18346235889327,5.542203810544526,134.40346235889325,0.0,0.0,70.11749142279075
6.0,137.19867661291102,38.22,137.19867661291102,38.22,0.0,0.0,20.22,20.22,-98.97867661291102,18.0,137.19867661291102,0.0,0.0,48.803739993255874
7.0,134.40346235889328,38.22,134.40346235889328,38.22,0.0,0.0,16.423347142091618,16.423347142091618,-96.18346235889328,21.796652857908384,134.40346235889328,0.0,0.0,31.492012069047036
8.0,124.86027674589297,38.22,124.86027674589297,38.22,0.0,0.0,10.14,10.14,-86.64027674589298,28.08,124.86027674589297,0.0,0.0,20.80351357767791
9.0,105.83834408625161,38.22,105.83834408625161,38.22,0.0,0.0,6.804414373283407,6.804414373283407,-67.61834408625161,31.41558562671659,105.83834408625161,0.0,0.0,13.631031056623664
10.0,75.69055511101097,38.22,75.69055511101097,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-37.47055511101097,34.58,75.69055511101097,0.0,0.0,9.794134162286031
11.0,39.180314394223174,38.22,39.180314394223174,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-0.9603143942231759,34.58,39.180314394223174,0.0,0.0,5.957237267948397
12.0,1.8538839208477172e-14,38.22,1.8538839208477172e-14,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,38.21999999999998,34.58,1.8538839208477172e-14,0.0,0.0,2.1203403736107633
13.0,0.0,38.22,0.0,38.22,0.0,0.0,2.0115314986267174,2.0115314986267174,38.22,36.20846850137328,0.0,0.0,0.0,0.0
14.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
15.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
16.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
17.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
18.0,0.0,109.40060545843741,0.0,109.40060545843741,0.0,0.0,0.0,0.0,109.40060545843741,109.40060545843741,0.0,0.0,0.0,0.0
19.0,0.0,96.7844013656552,0.0,96.7844013656552,0.0,0.0,0.0,0.0,96.7844013656552,96.7844013656552,0.0,0.0,0.0,0.0
20.0,0.0,112.31464105824583,0.0,112.31464105824583,0.0,0.0,0.0,0.0,112.31464105824583,112.31464105824583,0.0,0.0,0.0,0.0
21.0,0.0,110.83189651587541,0.0,110.83189651587541,0.0,0.0,0.0,0.0,110.83189651587541,110.83189651587541,0.0,0.0,0.0,0.0
22.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
23.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
24.0,0.0,38.22,0.0,38.22,0.0,0.0,0.0,0.0,38.22,38.22,0.0,0.0,0.0,0.0
25.0,36.597143578629776,38.22,36.597143578629776,38.22,0.0,0.0,0.0,0.0,1.6228564213702228,38.22,36.597143578629776,0.0,0.0,0.0
26.0,70.70025230201527,38.22,70.70025230201527,38.22,0.0,0.0,0.0,0.0,-32.480252302015266,38.22,70.70025230201527,0.0,0.0,0.0
27.0,99.33245705656105,38.22,99.33245705656105,38.22,0.0,0.0,0.0,0.0,-61.11245705656106,38.22,99.33245705656105,0.0,0.0,0.0
28.0,116.16331741055066,38.22,116.16331741055066,38.22,0.0,0.0,0.0,0.0,-77.94331741055066,38.22,116.16331741055066,0.0,0.0,0.0
