household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,433.0544753198197,373.70491964558016,356.19784356011655,17.507076085463623,57.513191882124005,-38.63156562981389,0.822524333219411,0.9531526743023152,Winter,LOAD_PRIORITY
2,small_family,middle,649.5817129797294,547.0444308482813,528.3800444674591,18.664386380822258,93.68390453665799,-70.3172242973755,0.8134158242289489,0.9658814068322019,Winter,LOAD_PRIORITY
3,family_house,high,793.9332047530029,791.6286256306566,748.5159702475928,43.112655383063895,7.98372515695451,25.149138896038863,0.9427946403633041,0.945539292052864,Winter,LOAD_PRIORITY
4,luxury_house,luxury,1010.4604424129127,1261.0025422050637,983.7620348139585,277.24050739110515,0.0,207.93038054332885,0.9735779784360483,0.7801427847192869,Winter,LOAD_PRIORITY
5,apartment,low,413.31124464608615,380.9952242308036,347.6870003943121,33.30822383649155,44.5598930988119,-15.122735911562046,0.8412231820405289,0.9125757444762256,Winter,LOAD_PRIORITY
6,small_family,middle,649.5817129797294,557.3719579325737,534.9270874852244,22.44487044734922,87.5057763401199,-61.92154587059599,0.8234946840351048,0.95973089401447,Winter,LOAD_PRIORITY
7,family_house,high,793.9332047530029,797.1209071335768,751.3151970293459,45.805710104230904,7.527886763711236,27.579184490833065,0.946320411505001,0.9425360573354589,Winter,LOAD_PRIORITY
8,luxury_house,luxury,915.6505706560421,1260.4437549093368,894.0093711603037,366.43438374903315,0.0,274.82578781177483,0.9763652203260977,0.7092814476474671,Winter,LOAD_PRIORITY
9,apartment,low,433.0544753198197,396.71964606006657,371.38290672788935,25.33673933217728,41.863970610158724,-18.675019050009887,0.8575893516713236,0.936134397215254,Winter,LOAD_PRIORITY
10,small_family,middle,649.5817129797294,520.6267747755087,507.76277303117365,12.864001744335134,117.15168042205113,-95.78851107159467,0.7816765202671564,0.9752913173743668,Winter,LOAD_PRIORITY
11,family_house,high,793.9332047530029,792.3988850342303,746.7709803268042,45.627904707426055,11.219885560005308,24.12303152656476,0.9405967351612771,0.9424180099578825,Winter,LOAD_PRIORITY
12,luxury_house,luxury,932.8166131414816,1275.0747156268026,910.7979517725649,364.27676385423746,0.0,273.2075728906781,0.976395508979237,0.7143094758371347,Winter,LOAD_PRIORITY
13,apartment,low,433.0544753198197,381.22154368827466,366.4674039935928,14.754139694681925,47.49956676926983,-31.684005321331405,0.8462385793910779,0.9612977284758432,Winter,LOAD_PRIORITY
14,small_family,middle,649.5817129797294,534.3219872173372,514.8805808948479,19.441406322489247,108.70965824468955,-83.25763767835366,0.7926340452735544,0.9636148113167923,Winter,LOAD_PRIORITY
15,family_house,high,728.7963415166562,762.6438501032885,682.7553883514056,79.88846175188284,11.942156383280192,49.168405568959955,0.9368260369290035,0.8952480089611118,Winter,LOAD_PRIORITY
16,luxury_house,luxury,1010.4604424129127,1261.316745409818,985.3739004055731,275.9428450042449,0.0,206.95713375318365,0.9751731577463492,0.7812263683896565,Winter,LOAD_PRIORITY
17,apartment,low,433.0544753198197,378.2654124084339,363.0648026835504,15.200609724883519,51.2026195165888,-34.68190027126728,0.838381366259798,0.9598149626525446,Winter,LOAD_PRIORITY
18,small_family,middle,649.5817129797294,545.0469779497065,527.8315177840562,17.21546016565027,94.3065761983169,-71.9643234542475,0.812571393616999,0.9684147222861241,Winter,LOAD_PRIORITY
19,family_house,high,793.9332047530029,775.7233468341346,746.6528539081683,29.070492925966487,14.300341794039854,8.932562079838997,0.940447948817629,0.9625246641800737,Winter,LOAD_PRIORITY
20,luxury_house,luxury,1010.4604424129127,1254.4140311058652,982.9351833273195,271.4788477785457,0.0,203.60913583390925,0.9727596866435813,0.7835811454219659,Winter,LOAD_PRIORITY
21,apartment,low,433.0544753198197,382.5593555702909,364.288902909489,18.27045266080195,49.823369055029616,-31.13819265392519,0.8412080319466833,0.9522415217540148,Winter,LOAD_PRIORITY
22,small_family,middle,649.5817129797294,536.9502808280372,524.6259257614383,12.324355066598754,99.12383724574282,-79.96818722121947,0.8076365379112967,0.9770474930237613,Winter,LOAD_PRIORITY
23,family_house,high,793.9332047530029,784.8152451874832,745.3790213327165,39.43622385476674,11.08103178461816,19.60423928491871,0.9388434906997096,0.9497509457205487,Winter,LOAD_PRIORITY
24,luxury_house,luxury,1010.4604424129127,1258.6249634307626,985.6414326457567,272.98353078500594,0.0,204.73764808875444,0.9754379204515025,0.7831097120138895,Winter,LOAD_PRIORITY
25,apartment,low,433.0544753198197,371.21716529989845,363.6603140658719,7.556851234026533,47.4808897991185,-37.06516239368675,0.8397565082252094,0.9796430447177151,Winter,LOAD_PRIORITY
26,small_family,middle,649.5817129797294,544.1242892879926,530.9234005913514,13.200888696641222,93.99822843770579,-74.6977390714543,0.8173311994205095,0.9757392034200219,Winter,LOAD_PRIORITY
27,family_house,high,793.9332047530029,774.1064762686048,743.0931516713125,31.013324597292282,17.44944469232358,7.5554932248779885,0.9359643194448493,0.9599366165404215,Winter,LOAD_PRIORITY
28,luxury_house,luxury,1010.4604424129127,1268.1479114372733,985.2215623261948,282.9263491110785,0.0,212.19476183330886,0.9750223966942742,0.7768979891388065,Winter,LOAD_PRIORITY
29,apartment,low,417.23775094725465,368.50036231731286,343.01165516660836,25.48870715070452,55.33349296187446,-30.683613302658628,0.8221011986280464,0.9308312562017066,Winter,LOAD_PRIORITY
30,small_family,middle,647.4868141518975,545.0654392154328,524.6682648360417,20.397174379391146,96.87402652645456,-71.88874308926574,0.8103149799633709,0.9625784852388535,Winter,LOAD_PRIORITY
31,family_house,high,793.9332047530029,770.4321982969561,745.1178067568258,25.31439154013036,14.651793111523702,5.799179854726438,0.9385144774095148,0.9671426095689044,Winter,LOAD_PRIORITY
32,luxury_house,luxury,1010.4604424129127,1256.2452444446644,985.6419800524616,270.60326439220285,0.0,202.95244829415213,0.9754384621913686,0.7845936009796991,Winter,LOAD_PRIORITY
33,apartment,low,420.345922044493,391.2517228857449,361.378294010772,29.87342887497293,38.114523895144885,-11.897999849400701,0.8597164265400453,0.9236465244047073,Winter,LOAD_PRIORITY
