time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Fall,CHARGE_PRIORITY
1.0,1.1499770555132616,38.22,38.22,0.0,0.0,37.07002294448674,Fall,CHARGE_PRIORITY
2.0,8.137975744913527,38.22,38.22,0.0,0.0,30.08202425508647,Fall,CHARGE_PRIORITY
3.0,4.848465463638928,38.22,38.22,0.0,0.0,33.37153453636107,Fall,CHARGE_PRIORITY
4.0,6.272354042825788,38.22,38.22,0.0,0.0,31.94764595717421,Fall,CHARGE_PRIORITY
5.0,8.15276691780027,38.22,38.22,0.0,0.0,30.06723308219973,Fall,CHARGE_PRIORITY
6.0,62.40256676210644,38.22,38.22,0.0,0.0,-24.18256676210644,Fall,CHARGE_PRIORITY
7.0,72.81161460137864,38.22,38.22,0.0,0.0,-34.59161460137863,Fall,CHARGE_PRIORITY
8.0,77.21885560627923,38.22,38.22,0.0,0.0,-38.998855606279236,Fall,CHARGE_PRIORITY
9.0,83.92073707974066,38.22,38.22,0.0,0.0,-45.70073707974067,Fall,CHARGE_PRIORITY
10.0,90.7363364622646,38.22,38.22,0.0,0.0,-52.51633646226461,Fall,CHARGE_PRIORITY
11.0,96.02809696766947,38.22,38.22,0.0,0.0,-57.80809696766947,Fall,CHARGE_PRIORITY
12.0,98.40419841349059,38.22,38.22,0.0,0.0,-60.184198413490584,Fall,CHARGE_PRIORITY
13.0,101.4866474483476,38.22,38.22,0.0,1.0956846381835892,-63.266647448347605,Fall,CHARGE_PRIORITY
14.0,107.33379928629401,38.22,38.22,0.0,31.348020650184303,-69.11379928629401,Fall,CHARGE_PRIORITY
15.0,117.2106982571977,38.22,38.22,0.0,36.03391143465364,-78.9906982571977,Fall,CHARGE_PRIORITY
16.0,95.058646485591,38.22,38.22,0.0,27.625511852700395,-56.838646485591,Fall,CHARGE_PRIORITY
17.0,76.82471338564378,38.22,38.22,0.0,30.530871266879828,-38.60471338564377,Fall,CHARGE_PRIORITY
18.0,55.70921131660395,122.4159721414432,122.4159721414432,0.0,1.088043711999158,66.70676082483926,Fall,CHARGE_PRIORITY
19.0,0.0,115.10152319294069,115.10152319294069,0.0,0.0,115.10152319294069,Fall,CHARGE_PRIORITY
20.0,6.6372955258491135,108.87420229269915,108.87420229269915,0.0,0.0,102.23690676685004,Fall,CHARGE_PRIORITY
21.0,12.471153453920179,110.01581598854212,98.84445631080293,11.1713596777392,0.0,97.54466253462193,Fall,CHARGE_PRIORITY
22.0,15.353077942895656,38.22,27.622298210055153,10.597701789944846,0.0,22.866922057104343,Fall,CHARGE_PRIORITY
23.0,37.35210943779289,38.22,31.958596594846657,6.261403405153341,0.0,0.867890562207112,Fall,CHARGE_PRIORITY
24.0,0.0,38.22,19.125405175105534,19.094594824894465,0.0,38.22,Fall,CHARGE_PRIORITY
25.0,12.976514024803926,38.22,22.814538881812474,15.405461118187526,0.0,25.243485975196073,Fall,CHARGE_PRIORITY
26.0,7.368836242953087,38.22,19.78102447721243,18.43897552278757,0.0,30.851163757046912,Fall,CHARGE_PRIORITY
27.0,12.391136424759763,38.22,20.828710259129092,17.391289740870906,0.0,25.828863575240234,Fall,CHARGE_PRIORITY
28.0,12.786960332777713,38.22,20.099514335151277,18.120485664848722,0.0,25.433039667222285,Fall,CHARGE_PRIORITY
29.0,12.108443779316744,38.22,18.455844462279305,19.764155537720697,0.0,26.111556220683255,Fall,CHARGE_PRIORITY
30.0,68.03540744748103,38.22,38.22,0.0,0.0,-29.81540744748103,Fall,CHARGE_PRIORITY
31.0,69.26814385937249,38.22,38.22,0.0,0.0,-31.048143859372487,Fall,CHARGE_PRIORITY
32.0,71.65354913405359,38.22,38.22,0.0,0.0,-33.43354913405359,Fall,CHARGE_PRIORITY
33.0,76.01945153994619,38.22,38.22,0.0,0.0,-37.79945153994619,Fall,CHARGE_PRIORITY
34.0,75.73732229618679,38.22,38.22,0.0,0.0,-37.517322296186784,Fall,CHARGE_PRIORITY
35.0,76.85448612874909,38.22,38.22,0.0,0.0,-38.63448612874909,Fall,CHARGE_PRIORITY
36.0,88.36134400948986,38.22,38.22,0.0,0.0822510977378505,-50.14134400948985,Fall,CHARGE_PRIORITY
37.0,83.63529267447105,38.22,38.22,0.0,1.6612398451921515,-45.41529267447105,Fall,CHARGE_PRIORITY
38.0,93.58309207991107,38.22,38.22,0.0,2.071679920670588,-55.36309207991108,Fall,CHARGE_PRIORITY
39.0,97.756704035932,38.22,38.22,0.0,6.2401874707980225,-59.53670403593201,Fall,CHARGE_PRIORITY
40.0,95.71787338993546,38.22,38.22,0.0,10.452994111977988,-57.497873389935464,Fall,CHARGE_PRIORITY
41.0,88.80574634849756,38.22,38.22,0.0,16.2514275147068,-50.585746348497565,Fall,CHARGE_PRIORITY
42.0,71.60206352027295,121.48301437768313,121.48301437768313,0.0,1.5535705158125648,49.880950857410184,Fall,CHARGE_PRIORITY
43.0,24.191369106231694,115.22704481320015,115.22704481320015,0.0,0.0,91.03567570696845,Fall,CHARGE_PRIORITY
44.0,9.06563022144885,110.34954054710188,101.81565924246704,8.533881304634836,0.0,101.28391032565303,Fall,CHARGE_PRIORITY
45.0,41.50422936594525,109.5955179100777,90.1258858874254,19.46963202265231,0.0,68.09128854413245,Fall,CHARGE_PRIORITY
46.0,25.304538782362066,38.22,28.372737187790516,9.847262812209484,0.0,12.915461217637935,Fall,CHARGE_PRIORITY
47.0,18.337989631258136,38.22,25.741473083343482,12.478526916656518,0.0,19.882010368741863,Fall,CHARGE_PRIORITY
48.0,0.0,38.22,19.759210475394564,18.460789524605435,0.0,38.22,Fall,CHARGE_PRIORITY
49.0,0.0,38.22,17.977644353342217,20.24235564665778,0.0,38.22,Fall,CHARGE_PRIORITY
50.0,0.0,38.22,16.102899146593078,22.11710085340692,0.0,38.22,Fall,CHARGE_PRIORITY
51.0,10.963429034951563,38.22,19.642215432206733,18.577784567793266,0.0,27.25657096504844,Fall,CHARGE_PRIORITY
52.0,12.87961392644452,38.22,20.150996181576254,18.069003818423745,0.0,25.34038607355548,Fall,CHARGE_PRIORITY
53.0,14.48647882207349,38.22,19.822890680665587,18.39710931933441,0.0,23.73352117792651,Fall,CHARGE_PRIORITY
54.0,69.44566447151126,38.22,38.22,0.0,0.0,-31.225664471511266,Fall,CHARGE_PRIORITY
55.0,71.88110585717422,38.22,38.22,0.0,0.0,-33.66110585717421,Fall,CHARGE_PRIORITY
56.0,73.91611573771567,38.22,38.22,0.0,0.0,-35.69611573771567,Fall,CHARGE_PRIORITY
57.0,78.59500310321245,38.22,38.22,0.0,0.0,-40.37500310321244,Fall,CHARGE_PRIORITY
58.0,83.99639412397559,38.22,38.22,0.0,0.0,-45.7763941239756,Fall,CHARGE_PRIORITY
59.0,89.9038966977328,38.22,38.22,0.0,0.23834720533107184,-51.6838966977328,Fall,CHARGE_PRIORITY
60.0,96.82632206120917,38.22,38.22,0.0,0.893652388620717,-58.60632206120917,Fall,CHARGE_PRIORITY
61.0,104.40940520374954,38.22,38.22,0.0,1.7806017169515291,-66.18940520374954,Fall,CHARGE_PRIORITY
