time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Spring,LOAD_PRIORITY
1.0,1.1499770555132616,38.22,38.22,0.0,0.0,37.07002294448674,Spring,LOAD_PRIORITY
2.0,8.137975744913527,38.22,38.22,0.0,0.0,30.08202425508647,Spring,LOAD_PRIORITY
3.0,4.848465463638928,38.22,38.22,0.0,0.0,33.37153453636107,Spring,LOAD_PRIORITY
4.0,6.272354042825788,38.22,38.22,0.0,0.0,31.94764595717421,Spring,LOAD_PRIORITY
5.0,8.15276691780027,38.22,38.22,0.0,0.0,30.06723308219973,Spring,LOAD_PRIORITY
6.0,62.40256676210644,38.22,38.22,0.0,0.0,-24.18256676210644,Spring,LOAD_PRIORITY
7.0,71.92904957590737,38.22,38.22,0.0,0.0,-33.70904957590737,Spring,LOAD_PRIORITY
8.0,76.28286947771826,38.22,38.22,0.0,0.0,-38.06286947771827,Spring,LOAD_PRIORITY
9.0,82.90351602422867,38.22,38.22,0.0,0.0,-44.68351602422866,Spring,LOAD_PRIORITY
10.0,89.63650208090382,38.22,38.22,0.0,0.0,-51.41650208090383,Spring,LOAD_PRIORITY
11.0,94.86412003472802,38.22,38.22,0.0,0.0,-56.64412003472802,Spring,LOAD_PRIORITY
12.0,97.21142025090282,38.22,38.22,0.0,0.0,-58.99142025090282,Spring,LOAD_PRIORITY
13.0,100.25650626715552,38.22,38.22,0.0,9.17649968656009,-62.03650626715551,Spring,LOAD_PRIORITY
14.0,106.03278353736924,38.22,38.22,0.0,31.12199609113044,-67.81278353736924,Spring,LOAD_PRIORITY
15.0,115.78996252074683,38.22,38.22,0.0,34.89317569820276,-77.56996252074683,Spring,LOAD_PRIORITY
16.0,93.90642046758383,38.22,38.22,0.0,38.79955366357296,-55.68642046758384,Spring,LOAD_PRIORITY
17.0,75.89350473854506,38.22,38.0296889414213,0.19031105857870095,29.879662619781115,-37.67350473854506,Spring,LOAD_PRIORITY
18.0,55.03394814912996,119.14126297583643,117.04578436844518,2.095478607391237,0.7274941891812161,64.10731482670646,Spring,LOAD_PRIORITY
19.0,0.0,102.26263271060421,100.87530222462186,1.3873304859823405,0.0,102.26263271060421,Spring,LOAD_PRIORITY
20.0,6.556843458869124,103.04302819621306,102.5132897276906,0.5297384685224553,0.0,96.48618473734393,Spring,LOAD_PRIORITY
21.0,12.319987957509026,120.05838420196584,113.96061316120955,6.097771040756287,0.0,107.73839624445681,Spring,LOAD_PRIORITY
22.0,15.166980028436313,38.22,36.01020224887527,2.209797751124729,0.0,23.053019971563685,Spring,LOAD_PRIORITY
23.0,36.89935659612267,38.22,36.42083928616669,1.7991607138333081,0.0,1.3206434038773287,Spring,LOAD_PRIORITY
24.0,0.0,38.22,28.822616644087727,9.397383355912273,0.0,38.22,Spring,LOAD_PRIORITY
25.0,12.819222945715394,38.22,27.379308494735866,10.840691505264132,0.0,25.400777054284607,Spring,LOAD_PRIORITY
26.0,7.2795170157657765,38.22,22.141785840457075,16.078214159542924,0.0,30.940482984234222,Spring,LOAD_PRIORITY
27.0,12.24094083173237,38.22,22.787015044328705,15.432984955671296,0.0,25.979059168267625,Spring,LOAD_PRIORITY
28.0,12.63196687419859,38.22,22.206193886842534,16.01380611315746,0.0,25.58803312580141,Spring,LOAD_PRIORITY
29.0,11.961674763809874,38.22,21.348869409963754,16.871130590036245,0.0,26.258325236190124,Spring,LOAD_PRIORITY
30.0,67.21073584205702,38.22,37.94,0.27999999999999997,0.0,-28.990735842057017,Spring,LOAD_PRIORITY
31.0,68.4285299944104,38.22,37.94,0.27999999999999997,0.0,-30.208529994410398,Spring,LOAD_PRIORITY
32.0,70.78502126576204,38.22,37.94,0.27999999999999997,0.0,-32.565021265762034,Spring,LOAD_PRIORITY
33.0,75.0980036424923,38.22,37.94,0.27999999999999997,0.0,-36.878003642492295,Spring,LOAD_PRIORITY
34.0,74.8192941471421,38.22,37.94,0.27999999999999997,0.0,-36.599294147142096,Spring,LOAD_PRIORITY
35.0,76.85448612874909,38.22,38.22,0.0,0.0,-38.63448612874909,Spring,LOAD_PRIORITY
36.0,88.36134400948986,38.22,38.22,0.0,0.0,-50.14134400948985,Spring,LOAD_PRIORITY
37.0,83.63529267447105,38.22,38.22,0.0,0.8363539290576296,-45.41529267447105,Spring,LOAD_PRIORITY
38.0,93.58309207991107,38.22,38.22,0.0,2.582742442085326,-55.36309207991108,Spring,LOAD_PRIORITY
39.0,97.756704035932,38.22,38.22,0.0,7.6073577108564505,-59.53670403593201,Spring,LOAD_PRIORITY
40.0,95.71787338993546,38.22,38.22,0.0,15.246706783692046,-57.497873389935464,Spring,LOAD_PRIORITY
41.0,88.80574634849756,38.22,38.22,0.0,22.25106755979559,-50.585746348497565,Spring,LOAD_PRIORITY
