time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Spring,PRODUCE_PRIORITY
1.0,1.1499770555132616,38.22,38.22,0.0,1.1499770555132616,37.07002294448674,Spring,PRODUCE_PRIORITY
2.0,8.137975744913527,38.22,38.22,0.0,8.137975744913527,30.08202425508647,Spring,PRODUCE_PRIORITY
3.0,4.848465463638928,38.22,38.22,0.0,4.848465463638928,33.37153453636107,Spring,PRODUCE_PRIORITY
4.0,6.272354042825788,38.22,38.22,0.0,6.272354042825788,31.94764595717421,Spring,PRODUCE_PRIORITY
5.0,8.15276691780027,38.22,32.67779618945547,5.542203810544526,8.15276691780027,30.06723308219973,Spring,PRODUCE_PRIORITY
6.0,62.40256676210644,38.22,20.22,18.0,62.40256676210644,-24.18256676210644,Spring,PRODUCE_PRIORITY
7.0,72.81161460137864,38.22,16.423347142091618,21.796652857908384,72.81161460137864,-34.59161460137863,Spring,PRODUCE_PRIORITY
8.0,77.21885560627923,38.22,10.14,28.08,77.21885560627923,-38.998855606279236,Spring,PRODUCE_PRIORITY
9.0,83.92073707974066,38.22,6.804414373283407,31.41558562671659,83.92073707974066,-45.70073707974067,Spring,PRODUCE_PRIORITY
10.0,90.7363364622646,38.22,3.6399999999999997,34.58,90.7363364622646,-52.51633646226461,Spring,PRODUCE_PRIORITY
11.0,96.02809696766947,38.22,3.6399999999999997,34.58,96.02809696766947,-57.80809696766947,Spring,PRODUCE_PRIORITY
12.0,98.40419841349059,38.22,3.6399999999999997,34.58,98.40419841349059,-60.184198413490584,Spring,PRODUCE_PRIORITY
13.0,101.4866474483476,38.22,2.0115314986267174,36.20846850137328,101.4866474483476,-63.266647448347605,Spring,PRODUCE_PRIORITY
14.0,107.33379928629401,38.22,0.0,38.22,107.33379928629401,-69.11379928629401,Spring,PRODUCE_PRIORITY
15.0,117.2106982571977,38.22,0.0,38.22,117.2106982571977,-78.9906982571977,Spring,PRODUCE_PRIORITY
16.0,95.058646485591,38.22,0.0,38.22,95.058646485591,-56.838646485591,Spring,PRODUCE_PRIORITY
17.0,76.82471338564378,38.22,0.0,38.22,76.82471338564378,-38.60471338564377,Spring,PRODUCE_PRIORITY
18.0,55.70921131660395,118.94662254769706,0.0,118.94662254769706,55.70921131660395,63.23741123109311,Spring,PRODUCE_PRIORITY
19.0,0.0,120.54587256819282,0.0,120.54587256819282,0.0,120.54587256819282,Spring,PRODUCE_PRIORITY
20.0,6.6372955258491135,110.16875410774234,0.0,110.16875410774234,6.6372955258491135,103.53145858189323,Spring,PRODUCE_PRIORITY
21.0,12.471153453920179,102.78483019123489,0.0,102.78483019123489,12.471153453920179,90.31367673731471,Spring,PRODUCE_PRIORITY
22.0,15.353077942895656,38.22,0.0,38.22,15.353077942895656,22.866922057104343,Spring,PRODUCE_PRIORITY
23.0,37.35210943779289,38.22,0.0,38.22,37.35210943779289,0.867890562207112,Spring,PRODUCE_PRIORITY
24.0,0.0,38.22,0.0,38.22,0.0,38.22,Spring,PRODUCE_PRIORITY
25.0,12.976514024803926,38.22,0.0,38.22,12.976514024803926,25.243485975196073,Spring,PRODUCE_PRIORITY
26.0,7.368836242953087,38.22,0.0,38.22,7.368836242953087,30.851163757046912,Spring,PRODUCE_PRIORITY
27.0,12.391136424759763,38.22,0.0,38.22,12.391136424759763,25.828863575240234,Spring,PRODUCE_PRIORITY
