time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Summer,LOAD_PRIORITY
1.0,1.1499770555132616,38.22,38.22,0.0,0.0,37.07002294448674,Summer,LOAD_PRIORITY
2.0,8.137975744913527,38.22,38.22,0.0,0.0,30.08202425508647,Summer,LOAD_PRIORITY
3.0,4.848465463638928,38.22,38.22,0.0,0.0,33.37153453636107,Summer,LOAD_PRIORITY
4.0,6.272354042825788,38.22,38.22,0.0,0.0,31.94764595717421,Summer,LOAD_PRIORITY
5.0,8.15276691780027,38.22,38.22,0.0,0.0,30.06723308219973,Summer,LOAD_PRIORITY
6.0,62.40256676210644,38.22,38.22,0.0,0.0,-24.18256676210644,Summer,LOAD_PRIORITY
7.0,72.81161460137864,38.22,38.22,0.0,0.0,-34.59161460137863,Summer,LOAD_PRIORITY
8.0,77.21885560627923,38.22,38.22,0.0,0.0,-38.998855606279236,Summer,LOAD_PRIORITY
9.0,83.92073707974066,38.22,38.22,0.0,0.0,-45.70073707974067,Summer,LOAD_PRIORITY
10.0,90.7363364622646,38.22,38.22,0.0,0.0,-52.51633646226461,Summer,LOAD_PRIORITY
11.0,96.02809696766947,38.22,38.22,0.0,0.0,-57.80809696766947,Summer,LOAD_PRIORITY
12.0,98.40419841349059,38.22,38.22,0.0,0.0,-60.184198413490584,Summer,LOAD_PRIORITY
13.0,101.4866474483476,38.22,38.22,0.0,9.517027617538835,-63.266647448347605,Summer,LOAD_PRIORITY
14.0,107.33379928629401,38.22,38.22,0.0,32.143011840055216,-69.11379928629401,Summer,LOAD_PRIORITY
15.0,117.2106982571977,38.22,38.22,0.0,36.03391143465364,-78.9906982571977,Summer,LOAD_PRIORITY
16.0,95.058646485591,38.22,38.22,0.0,39.67177968158013,-56.838646485591,Summer,LOAD_PRIORITY
17.0,76.82471338564378,38.22,38.22,0.0,30.530871266879828,-38.60471338564377,Summer,LOAD_PRIORITY
18.0,55.70921131660395,106.67077730022454,106.67077730022454,0.0,1.78172390476881,50.961565983620595,Summer,LOAD_PRIORITY
19.0,0.0,108.86583327053198,108.86583327053198,0.0,0.0,108.86583327053198,Summer,LOAD_PRIORITY
20.0,6.6372955258491135,105.08368260745394,105.08368260745394,0.0,0.0,98.44638708160483,Summer,LOAD_PRIORITY
21.0,12.471153453920179,113.6003056933209,111.25302428136511,2.3472814119557808,0.0,101.12915223940072,Summer,LOAD_PRIORITY
22.0,15.353077942895656,38.22,35.16573777497331,3.054262225026693,0.0,22.866922057104343,Summer,LOAD_PRIORITY
23.0,37.35210943779289,38.22,35.915824412831796,2.304175587168207,0.0,0.867890562207112,Summer,LOAD_PRIORITY
24.0,0.0,38.22,24.743119613949958,13.476880386050043,0.0,38.22,Summer,LOAD_PRIORITY
25.0,12.976514024803926,38.22,25.13621866571969,13.083781334280312,0.0,25.243485975196073,Summer,LOAD_PRIORITY
26.0,7.368836242953087,38.22,22.25448415411297,15.965515845887028,0.0,30.851163757046912,Summer,LOAD_PRIORITY
27.0,12.391136424759763,38.22,23.32426828570777,14.895731714292229,0.0,25.828863575240234,Summer,LOAD_PRIORITY
28.0,12.786960332777713,38.22,22.74202400176955,15.477975998230445,0.0,25.433039667222285,Summer,LOAD_PRIORITY
29.0,12.108443779316744,38.22,22.186099971037404,16.033900028962595,0.0,26.111556220683255,Summer,LOAD_PRIORITY
30.0,68.03540744748103,38.22,38.22,0.0,0.0,-29.81540744748103,Summer,LOAD_PRIORITY
31.0,69.26814385937249,38.22,38.22,0.0,0.0,-31.048143859372487,Summer,LOAD_PRIORITY
32.0,71.65354913405359,38.22,38.22,0.0,0.0,-33.43354913405359,Summer,LOAD_PRIORITY
33.0,76.01945153994619,38.22,38.22,0.0,0.0,-37.79945153994619,Summer,LOAD_PRIORITY
34.0,75.73732229618679,38.22,38.22,0.0,0.0,-37.517322296186784,Summer,LOAD_PRIORITY
35.0,76.85448612874909,38.22,38.22,0.0,0.0,-38.63448612874909,Summer,LOAD_PRIORITY
36.0,88.36134400948986,38.22,38.22,0.0,1.5344742788968042,-50.14134400948985,Summer,LOAD_PRIORITY
37.0,83.63529267447105,38.22,38.22,0.0,1.7544028083173044,-45.41529267447105,Summer,LOAD_PRIORITY
38.0,93.58309207991107,38.22,38.22,0.0,3.616998036175007,-55.36309207991108,Summer,LOAD_PRIORITY
39.0,97.756704035932,38.22,38.22,0.0,8.235948544359406,-59.53670403593201,Summer,LOAD_PRIORITY
40.0,95.71787338993546,38.22,38.22,0.0,16.853709982628374,-57.497873389935464,Summer,LOAD_PRIORITY
41.0,88.80574634849756,38.22,38.22,0.0,27.639897368606896,-50.585746348497565,Summer,LOAD_PRIORITY
42.0,71.60206352027295,106.43124461652627,106.43124461652627,0.0,5.027521423788039,34.82918109625331,Summer,LOAD_PRIORITY
43.0,24.191369106231694,105.25534251684648,105.25534251684648,0.0,0.0,81.06397341061479,Summer,LOAD_PRIORITY
44.0,9.06563022144885,113.62531449651588,113.6050427351578,0.020271761358092277,0.0,104.55968427506704,Summer,LOAD_PRIORITY
45.0,41.50422936594525,107.908667797346,100.74488000581424,7.16378779153176,0.0,66.40443843140075,Summer,LOAD_PRIORITY
46.0,25.304538782362066,38.22,33.56979521573573,4.650204784264269,0.0,12.915461217637935,Summer,LOAD_PRIORITY
47.0,18.337989631258136,38.22,31.31687965873859,6.9031203412614115,0.0,19.882010368741863,Summer,LOAD_PRIORITY
48.0,0.0,38.22,25.153288575566215,13.066711424433786,0.0,38.22,Summer,LOAD_PRIORITY
49.0,0.0,38.22,20.68674609918123,17.533253900818767,0.0,38.22,Summer,LOAD_PRIORITY
50.0,0.0,38.22,18.601711029881937,19.618288970118062,0.0,38.22,Summer,LOAD_PRIORITY
51.0,10.963429034951563,38.22,22.60900337031288,15.610996629687119,0.0,27.25657096504844,Summer,LOAD_PRIORITY
52.0,12.87961392644452,38.22,23.264722230842327,14.955277769157671,0.0,25.34038607355548,Summer,LOAD_PRIORITY
53.0,14.48647882207349,38.22,23.57843503203266,14.641564967967337,0.0,23.73352117792651,Summer,LOAD_PRIORITY
54.0,69.44566447151126,38.22,38.22,0.0,0.0,-31.225664471511266,Summer,LOAD_PRIORITY
55.0,71.88110585717422,38.22,38.22,0.0,0.0,-33.66110585717421,Summer,LOAD_PRIORITY
56.0,73.91611573771567,38.22,38.22,0.0,0.0,-35.69611573771567,Summer,LOAD_PRIORITY
57.0,77.1660030467904,38.22,38.22,0.0,0.0,-38.9460030467904,Summer,LOAD_PRIORITY
58.0,82.46918695808513,38.22,38.22,0.0,0.24677358114161596,-44.24918695808513,Summer,LOAD_PRIORITY
59.0,88.26928039413767,38.22,38.22,0.0,1.1346163035951418,-50.04928039413766,Summer,LOAD_PRIORITY
60.0,95.0658434782781,38.22,38.22,0.0,4.026665702357381,-56.84584347827809,Summer,LOAD_PRIORITY
61.0,102.51105238186318,38.22,38.22,0.0,8.525242506049857,-64.29105238186318,Summer,LOAD_PRIORITY
62.0,109.17875429578997,38.22,37.99345789808835,0.22654210191164947,19.244056554135287,-70.95875429578997,Summer,LOAD_PRIORITY
63.0,111.17745345208375,38.22,37.72,0.5,31.46696495758728,-72.95745345208375,Summer,LOAD_PRIORITY
64.0,88.21822127555043,38.22,37.72,0.5,29.439265411752178,-49.99822127555043,Summer,LOAD_PRIORITY
65.0,64.0406679303104,38.22,37.72,0.5,19.781778705279663,-25.82066793031041,Summer,LOAD_PRIORITY
66.0,56.23911586047092,116.5317057131526,114.30068754962342,2.2310181635291837,0.8703605880591012,60.29258985268169,Summer,LOAD_PRIORITY
67.0,0.0,106.19302593838525,104.09734907455332,2.095676863831925,0.0,106.19302593838525,Summer,LOAD_PRIORITY
68.0,0.0,118.51428648695376,117.27444711620404,1.2398393707497246,0.0,118.51428648695376,Summer,LOAD_PRIORITY
69.0,1.482725045326249,114.432069926046,101.79055971577579,12.64151021027022,0.0,112.94934488071975,Summer,LOAD_PRIORITY
70.0,12.517917692687764,38.22,30.884456754468765,7.335543245531236,0.0,25.70208230731224,Summer,LOAD_PRIORITY
71.0,32.42371456476014,38.22,33.75811528260596,4.461884717394046,0.0,5.796285435239859,Summer,LOAD_PRIORITY
72.0,0.0,38.22,23.05853547974804,15.161464520251956,0.0,38.22,Summer,LOAD_PRIORITY
73.0,13.94557211368454,38.22,23.363487784794412,14.856512215205584,0.0,24.274427886315458,Summer,LOAD_PRIORITY
74.0,12.718334619590346,38.22,20.634415973857447,17.585584026142552,0.0,25.501665380409655,Summer,LOAD_PRIORITY
75.0,11.951818924963918,38.22,19.080928242982438,19.139071757017565,0.0,26.268181075036082,Summer,LOAD_PRIORITY
76.0,13.295138235331853,38.22,19.481836354958325,18.738163645041674,0.0,24.924861764668144,Summer,LOAD_PRIORITY
77.0,14.633919786113218,38.22,19.97266102893177,18.24733897106823,0.0,23.58608021388678,Summer,LOAD_PRIORITY
78.0,68.88171409165317,38.22,37.22,1.0,0.0,-30.66171409165317,Summer,LOAD_PRIORITY
79.0,60.91830066391414,38.22,37.22,1.0,0.0,-22.69830066391414,Summer,LOAD_PRIORITY
80.0,67.67044932324632,38.22,37.22,1.0,0.0,-29.45044932324632,Summer,LOAD_PRIORITY
81.0,74.78633988111581,38.22,37.22,1.0,0.0,-36.566339881115816,Summer,LOAD_PRIORITY
82.0,79.92760022594994,38.22,37.22,1.0,0.0,-41.70760022594994,Summer,LOAD_PRIORITY
83.0,77.6215381574423,38.22,37.22,1.0,0.0,-39.4015381574423,Summer,LOAD_PRIORITY
84.0,82.38639256205296,38.22,37.22,1.0,0.0,-44.16639256205296,Summer,LOAD_PRIORITY
85.0,87.03863578252039,38.22,37.22,1.0,0.0,-48.81863578252038,Summer,LOAD_PRIORITY
86.0,99.48786911073628,38.22,37.22,1.0,3.760824321552682,-61.267869110736285,Summer,LOAD_PRIORITY
87.0,102.1292333757455,38.22,37.22,1.0,8.607879731139299,-63.90923337574551,Summer,LOAD_PRIORITY
88.0,80.28529412101852,38.22,37.22,1.0,13.882878662808624,-42.065294121018525,Summer,LOAD_PRIORITY
89.0,64.20049131626217,38.22,37.22,1.0,14.217893250249501,-25.98049131626218,Summer,LOAD_PRIORITY
90.0,55.50099748407635,114.20437251863221,110.06576928970463,4.138603228927567,1.6605403208627312,58.703375034555854,Summer,LOAD_PRIORITY
91.0,0.26995798296970797,117.88274116464073,114.3372640330258,3.5454771316149234,0.0,117.61278318167102,Summer,LOAD_PRIORITY
92.0,2.0773627525507,111.75335001010292,104.36439766595359,7.38895234414934,0.0,109.67598725755222,Summer,LOAD_PRIORITY
93.0,7.165194133222045,121.3356779120386,92.97160066645434,28.364077245584266,0.0,114.17048377881656,Summer,LOAD_PRIORITY
94.0,17.028481710994388,38.22,24.572727247517598,13.647272752482403,0.0,21.19151828900561,Summer,LOAD_PRIORITY
95.0,34.87638799787344,38.22,31.725418624731162,6.494581375268837,0.0,3.3436120021265587,Summer,LOAD_PRIORITY
96.0,0.0,38.22,16.441533690391157,21.77846630960884,0.0,38.22,Summer,LOAD_PRIORITY
97.0,0.0,38.22,14.332507356304028,23.88749264369597,0.0,38.22,Summer,LOAD_PRIORITY
98.0,0.0,38.22,12.531327612343068,25.688672387656933,0.0,38.22,Summer,LOAD_PRIORITY
99.0,5.7559649743948,38.22,14.6947823022612,23.5252176977388,0.0,32.4640350256052,Summer,LOAD_PRIORITY
100.0,10.47719343296511,38.22,16.044576681630584,22.175423318369415,0.0,27.742806567034886,Summer,LOAD_PRIORITY
101.0,11.014140078787264,38.22,15.389689102502292,22.83031089749771,0.0,27.20585992121274,Summer,LOAD_PRIORITY
102.0,61.402931876444676,38.22,37.72,0.5,0.0,-23.182931876444677,Summer,LOAD_PRIORITY
103.0,61.84338122671839,38.22,37.72,0.5,0.0,-23.623381226718394,Summer,LOAD_PRIORITY
104.0,63.804119503585,38.22,37.72,0.5,0.0,-25.584119503585,Summer,LOAD_PRIORITY
105.0,69.72546245088094,38.22,37.72,0.5,0.0,-31.50546245088093,Summer,LOAD_PRIORITY
106.0,76.36200331140122,38.22,37.72,0.5,0.0,-38.14200331140122,Summer,LOAD_PRIORITY
107.0,86.4838014699082,38.22,37.72,0.5,0.0,-48.26380146990819,Summer,LOAD_PRIORITY
108.0,89.21940834133835,38.22,37.72,0.5,0.0,-50.999408341338345,Summer,LOAD_PRIORITY
109.0,98.7825076516173,38.22,37.72,0.5,0.0,-60.56250765161729,Summer,LOAD_PRIORITY
