time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Winter,CHARGE_PRIORITY
1.0,1.1499770555132616,38.22,38.22,0.0,0.0,37.07002294448674,Winter,CHARGE_PRIORITY
2.0,8.137975744913527,38.22,38.22,0.0,0.0,30.08202425508647,Winter,CHARGE_PRIORITY
3.0,4.848465463638928,38.22,38.22,0.0,0.0,33.37153453636107,Winter,CHARGE_PRIORITY
4.0,6.272354042825788,38.22,38.22,0.0,0.0,31.94764595717421,Winter,CHARGE_PRIORITY
5.0,8.15276691780027,38.22,38.22,0.0,0.0,30.06723308219973,Winter,CHARGE_PRIORITY
6.0,62.40256676210644,38.22,38.22,0.0,0.0,-24.18256676210644,Winter,CHARGE_PRIORITY
7.0,72.81161460137864,38.22,38.22,0.0,0.0,-34.59161460137863,Winter,CHARGE_PRIORITY
8.0,77.21885560627923,38.22,38.22,0.0,0.0,-38.998855606279236,Winter,CHARGE_PRIORITY
9.0,83.92073707974066,38.22,38.22,0.0,0.0,-45.70073707974067,Winter,CHARGE_PRIORITY
10.0,90.7363364622646,38.22,38.22,0.0,0.0,-52.51633646226461,Winter,CHARGE_PRIORITY
11.0,96.02809696766947,38.22,38.22,0.0,0.0,-57.80809696766947,Winter,CHARGE_PRIORITY
12.0,98.40419841349059,38.22,38.22,0.0,0.0,-60.184198413490584,Winter,CHARGE_PRIORITY
13.0,101.4866474483476,38.22,38.22,0.0,1.0956846381835892,-63.266647448347605,Winter,CHARGE_PRIORITY
14.0,107.33379928629401,38.22,38.22,0.0,31.348020650184303,-69.11379928629401,Winter,CHARGE_PRIORITY
15.0,117.2106982571977,38.22,38.22,0.0,36.03391143465364,-78.9906982571977,Winter,CHARGE_PRIORITY
16.0,95.058646485591,38.22,38.22,0.0,27.625511852700395,-56.838646485591,Winter,CHARGE_PRIORITY
17.0,76.82471338564378,38.22,38.22,0.0,30.530871266879828,-38.60471338564377,Winter,CHARGE_PRIORITY
18.0,55.70921131660395,109.86543488317082,109.86543488317082,0.0,1.5740102677239813,54.15622356656687,Winter,CHARGE_PRIORITY
19.0,0.0,128.9644251800031,128.9644251800031,0.0,0.0,128.9644251800031,Winter,CHARGE_PRIORITY
20.0,6.6372955258491135,114.00270766520308,111.44248014069944,2.5602275245036448,0.0,107.36541213935396,Winter,CHARGE_PRIORITY
21.0,12.319987957509026,116.09362572435897,97.56201106786253,18.53161465649645,0.0,103.77363776684994,Winter,CHARGE_PRIORITY
22.0,15.166980028436313,38.22,27.960096097891476,10.259903902108524,0.0,23.053019971563685,Winter,CHARGE_PRIORITY
23.0,36.89935659612267,38.22,32.17859064258201,6.041409357417991,0.0,1.3206434038773287,Winter,CHARGE_PRIORITY
24.0,0.0,38.22,19.896218102649858,18.32378189735014,0.0,38.22,Winter,CHARGE_PRIORITY
25.0,12.819222945715394,38.22,23.044062301783732,15.175937698216266,0.0,25.400777054284607,Winter,CHARGE_PRIORITY
26.0,7.2795170157657765,38.22,20.06082102542537,18.15917897457463,0.0,30.940482984234222,Winter,CHARGE_PRIORITY
27.0,12.24094083173237,38.22,20.963310343029335,17.256689656970664,0.0,25.979059168267625,Winter,CHARGE_PRIORITY
28.0,12.63196687419859,38.22,20.297878556569145,17.922121443430854,0.0,25.58803312580141,Winter,CHARGE_PRIORITY
29.0,11.961674763809874,38.22,18.528322225026756,19.691677774973243,0.0,26.258325236190124,Winter,CHARGE_PRIORITY
30.0,67.21073584205702,38.22,37.94,0.27999999999999997,0.0,-28.990735842057017,Winter,CHARGE_PRIORITY
31.0,68.4285299944104,38.22,37.94,0.27999999999999997,0.0,-30.208529994410398,Winter,CHARGE_PRIORITY
32.0,70.78502126576204,38.22,37.94,0.27999999999999997,0.0,-32.565021265762034,Winter,CHARGE_PRIORITY
33.0,75.0980036424923,38.22,37.94,0.27999999999999997,0.0,-36.878003642492295,Winter,CHARGE_PRIORITY
34.0,74.8192941471421,38.22,37.94,0.27999999999999997,0.0,-36.599294147142096,Winter,CHARGE_PRIORITY
35.0,75.92291659991577,38.22,37.94,0.27999999999999997,0.0,-37.70291659991577,Winter,CHARGE_PRIORITY
36.0,87.29029741543543,38.22,37.94,0.27999999999999997,0.14955240781248957,-49.07029741543543,Winter,CHARGE_PRIORITY
37.0,82.62153155114412,38.22,37.94,0.27999999999999997,1.0206416849903828,-44.401531551144124,Winter,CHARGE_PRIORITY
38.0,92.44875156985155,38.22,37.94,0.27999999999999997,2.198967685045833,-54.228751569851546,Winter,CHARGE_PRIORITY
39.0,96.57177429004193,38.22,37.94,0.27999999999999997,4.723287665787356,-58.351774290041924,Winter,CHARGE_PRIORITY
40.0,94.55765674278473,38.22,37.94,0.27999999999999997,8.21802451528593,-56.33765674278473,Winter,CHARGE_PRIORITY
41.0,87.72931305942487,38.22,37.94,0.27999999999999997,18.216123029021702,-49.50931305942487,Winter,CHARGE_PRIORITY
42.0,70.73415972002722,114.85095082161192,112.35594639586381,2.495004425748115,2.1577964012323245,44.116791101584695,Winter,CHARGE_PRIORITY
43.0,23.898140389792523,114.34035882713707,112.30837608162706,2.0319827455099984,0.0,90.44221843734454,Winter,CHARGE_PRIORITY
44.0,8.955743794522197,109.47527873331849,102.46360236732862,7.011676365989867,0.0,100.5195349387963,Winter,CHARGE_PRIORITY
45.0,41.00114779787319,113.3575639247307,94.40104851029396,18.956515414436737,0.0,72.35641612685751,Winter,CHARGE_PRIORITY
46.0,24.997817100151615,38.22,29.953607579290438,8.26639242070956,0.0,13.222182899848384,Winter,CHARGE_PRIORITY
47.0,18.115710969061066,38.22,26.742790318245483,11.477209681754518,0.0,20.104289030938933,Winter,CHARGE_PRIORITY
48.0,0.0,38.22,17.48,20.74,0.0,38.22,Winter,CHARGE_PRIORITY
49.0,0.0,38.22,16.73715117895498,21.482848821045017,0.0,38.22,Winter,CHARGE_PRIORITY
50.0,0.0,38.22,14.190772825524432,24.02922717447557,0.0,38.22,Winter,CHARGE_PRIORITY
51.0,10.83053898604306,38.22,18.067161022603667,20.152838977396332,0.0,27.389461013956943,Winter,CHARGE_PRIORITY
52.0,12.723497394002768,38.22,17.46327858284988,20.756721417150118,0.0,25.49650260599723,Winter,CHARGE_PRIORITY
53.0,14.31088513938169,38.22,17.86660078557926,20.35339921442074,0.0,23.909114860618306,Winter,CHARGE_PRIORITY
54.0,68.60389884155356,38.22,37.94,0.27999999999999997,0.0,-30.383898841553552,Winter,CHARGE_PRIORITY
55.0,71.0098197255721,38.22,37.94,0.27999999999999997,0.0,-32.7898197255721,Winter,CHARGE_PRIORITY
56.0,73.02016281968275,38.22,37.94,0.27999999999999997,0.0,-34.800162819682754,Winter,CHARGE_PRIORITY
57.0,77.64233639893108,38.22,37.94,0.27999999999999997,0.0,-39.42233639893108,Winter,CHARGE_PRIORITY
58.0,82.97825601338195,38.22,37.94,0.27999999999999997,0.0,-44.75825601338195,Winter,CHARGE_PRIORITY
59.0,89.9038966977328,38.22,38.22,0.0,0.0,-51.6838966977328,Winter,CHARGE_PRIORITY
60.0,96.82632206120917,38.22,38.22,0.0,2.674979699250988,-58.60632206120917,Winter,CHARGE_PRIORITY
61.0,104.40940520374954,38.22,38.22,0.0,7.247686808556813,-66.18940520374954,Winter,CHARGE_PRIORITY
62.0,111.20058307904533,38.22,38.22,0.0,15.244877130963088,-72.98058307904533,Winter,CHARGE_PRIORITY
63.0,113.23629518267789,38.22,38.22,0.0,19.101952969620786,-75.0162951826779,Winter,CHARGE_PRIORITY
64.0,89.85189203991247,38.22,38.22,0.0,22.03064528567941,-51.63189203991247,Winter,CHARGE_PRIORITY
65.0,65.22660622531616,38.22,38.22,0.0,15.654184333461073,-27.00660622531616,Winter,CHARGE_PRIORITY
66.0,57.28058096899816,102.6177163865837,102.6177163865837,0.0,0.12687882806277995,45.33713541758554,Winter,CHARGE_PRIORITY
67.0,0.0,119.40282377465516,119.40282377465516,0.0,0.0,119.40282377465516,Winter,CHARGE_PRIORITY
68.0,0.0,110.79510715286256,109.72089938207033,1.0742077707922326,0.0,110.79510715286256,Winter,CHARGE_PRIORITY
69.0,1.5101829165359943,119.56104770009851,96.44539933292783,23.115648367170685,0.0,118.05086478356253,Winter,CHARGE_PRIORITY
70.0,12.749730983293093,38.22,24.106865615457757,14.113134384542246,0.0,25.470269016706908,Winter,CHARGE_PRIORITY
71.0,33.02415372336681,38.22,30.06915454519093,8.150845454809069,0.0,5.1958462766331905,Winter,CHARGE_PRIORITY
72.0,0.0,38.22,15.145509208530054,23.074490791469945,0.0,38.22,Winter,CHARGE_PRIORITY
73.0,14.203823449123142,38.22,20.457333547863353,17.762666452136646,0.0,24.016176550876857,Winter,CHARGE_PRIORITY
74.0,12.953859334767944,38.22,19.062998383542983,19.157001616457016,0.0,25.266140665232054,Winter,CHARGE_PRIORITY
75.0,12.173148905055843,38.22,17.797489700439073,20.422510299560926,0.0,26.046851094944156,Winter,CHARGE_PRIORITY
76.0,13.796841564967018,38.22,18.038306911366746,20.181693088633253,0.0,24.423158435032978,Winter,CHARGE_PRIORITY
77.0,15.186143174268434,38.22,18.13932621542845,20.080673784571545,0.0,23.033856825731565,Winter,CHARGE_PRIORITY
78.0,71.48102405737593,38.22,38.22,0.0,0.0,-33.261024057375934,Winter,CHARGE_PRIORITY
79.0,63.217104462552406,38.22,38.22,0.0,0.0,-24.997104462552407,Winter,CHARGE_PRIORITY
80.0,70.2240511845009,38.22,38.22,0.0,0.0,-32.004051184500895,Winter,CHARGE_PRIORITY
81.0,77.60846591436547,38.22,38.22,0.0,0.0,-39.38846591436547,Winter,CHARGE_PRIORITY
82.0,82.94373608353295,38.22,38.22,0.0,0.0,-44.723736083532955,Winter,CHARGE_PRIORITY
83.0,80.55065280489295,38.22,38.22,0.0,0.0,-42.33065280489296,Winter,CHARGE_PRIORITY
84.0,85.4953130360927,38.22,38.22,0.0,0.7827918542505363,-47.2753130360927,Winter,CHARGE_PRIORITY
85.0,90.32311260450228,38.22,38.22,0.0,1.2669066822162593,-52.103112604502286,Winter,CHARGE_PRIORITY
86.0,103.24212832246218,38.22,38.22,0.0,3.558693733226022,-65.02212832246218,Winter,CHARGE_PRIORITY
87.0,105.9831667106793,38.22,38.22,0.0,6.208315431746355,-67.7631667106793,Winter,CHARGE_PRIORITY
88.0,83.31492786143431,38.22,38.22,0.0,8.368695293541235,-45.094927861434314,Winter,CHARGE_PRIORITY
89.0,66.62315136593244,38.22,38.22,0.0,12.412610422197304,-28.40315136593245,Winter,CHARGE_PRIORITY
90.0,57.5953747476264,101.79234843890575,101.79234843890575,0.0,0.7088856335602215,44.19697369127934,Winter,CHARGE_PRIORITY
91.0,0.2801450766666781,116.77408047673372,116.75273737190768,0.021343104826037518,0.0,116.49393540006704,Winter,CHARGE_PRIORITY
92.0,2.1557537998167637,105.49877556217669,94.54071078011204,10.958064782064652,0.0,103.34302176235992,Winter,CHARGE_PRIORITY
93.0,7.435578817494575,115.15318172928062,84.10486293161038,31.04831879767023,0.0,107.71760291178605,Winter,CHARGE_PRIORITY
94.0,17.671065926503612,38.22,25.237645652596793,12.982354347403206,0.0,20.548934073496387,Winter,CHARGE_PRIORITY
95.0,35.52224703487109,38.22,30.940876762258046,7.279123237741953,0.0,2.6977529651289025,Winter,CHARGE_PRIORITY
96.0,0.0,38.22,18.00960702520329,20.210392974796708,0.0,38.22,Winter,CHARGE_PRIORITY
97.0,0.0,38.22,14.481542741658526,23.738457258341473,0.0,38.22,Winter,CHARGE_PRIORITY
98.0,0.0,38.22,11.120607084038197,27.099392915961804,0.0,38.22,Winter,CHARGE_PRIORITY
99.0,5.862556918365074,38.22,11.876114590526324,26.343885409473675,0.0,32.357443081634926,Winter,CHARGE_PRIORITY
100.0,10.671215533575577,38.22,13.930507859738038,24.28949214026196,0.0,27.548784466424422,Winter,CHARGE_PRIORITY
101.0,11.218105635801843,38.22,13.887800852681575,24.332199147318423,0.0,27.001894364198158,Winter,CHARGE_PRIORITY
102.0,62.540023207489945,38.22,38.22,0.0,0.0,-24.32002320748995,Winter,CHARGE_PRIORITY
103.0,62.98862902721318,38.22,38.22,0.0,0.0,-24.76862902721318,Winter,CHARGE_PRIORITY
104.0,64.98567727216991,38.22,38.22,0.0,0.0,-26.76567727216991,Winter,CHARGE_PRIORITY
105.0,71.01667471848984,38.22,38.22,0.0,0.0,-32.79667471848984,Winter,CHARGE_PRIORITY
106.0,77.77611448383458,38.22,38.22,0.0,0.0,-39.55611448383458,Winter,CHARGE_PRIORITY
107.0,88.08535334898056,38.22,38.22,0.0,0.0,-49.86535334898056,Winter,CHARGE_PRIORITY
108.0,90.87161960691869,38.22,38.22,0.0,0.0,-52.651619606918686,Winter,CHARGE_PRIORITY
109.0,100.61181334886946,38.22,38.22,0.0,0.0,-62.39181334886946,Winter,CHARGE_PRIORITY
