time,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
0.0,0.0,38.22,38.22,0.0,0.0,38.22,Winter,LOAD_PRIORITY
1.0,1.1499770555132616,38.22,38.22,0.0,0.0,37.07002294448674,Winter,LOAD_PRIORITY
2.0,8.137975744913527,38.22,38.22,0.0,0.0,30.08202425508647,Winter,LOAD_PRIORITY
3.0,4.848465463638928,38.22,38.22,0.0,0.0,33.37153453636107,Winter,LOAD_PRIORITY
4.0,6.272354042825788,38.22,38.22,0.0,0.0,31.94764595717421,Winter,LOAD_PRIORITY
5.0,8.15276691780027,38.22,38.22,0.0,0.0,30.06723308219973,Winter,LOAD_PRIORITY
6.0,62.40256676210644,38.22,38.22,0.0,0.0,-24.18256676210644,Winter,LOAD_PRIORITY
7.0,72.81161460137864,38.22,38.22,0.0,0.0,-34.59161460137863,Winter,LOAD_PRIORITY
8.0,77.21885560627923,38.22,38.22,0.0,0.0,-38.998855606279236,Winter,LOAD_PRIORITY
9.0,83.92073707974066,38.22,38.22,0.0,0.0,-45.70073707974067,Winter,LOAD_PRIORITY
10.0,90.7363364622646,38.22,38.22,0.0,0.0,-52.51633646226461,Winter,LOAD_PRIORITY
11.0,96.02809696766947,38.22,38.22,0.0,0.0,-57.80809696766947,Winter,LOAD_PRIORITY
12.0,98.40419841349059,38.22,38.22,0.0,0.0,-60.184198413490584,Winter,LOAD_PRIORITY
13.0,101.4866474483476,38.22,38.22,0.0,9.517027617538835,-63.266647448347605,Winter,LOAD_PRIORITY
14.0,107.33379928629401,38.22,38.22,0.0,32.143011840055216,-69.11379928629401,Winter,LOAD_PRIORITY
15.0,117.2106982571977,38.22,38.22,0.0,36.03391143465364,-78.9906982571977,Winter,LOAD_PRIORITY
16.0,95.058646485591,38.22,38.22,0.0,39.67177968158013,-56.838646485591,Winter,LOAD_PRIORITY
17.0,76.82471338564378,38.22,38.22,0.0,30.530871266879828,-38.60471338564377,Winter,LOAD_PRIORITY
18.0,55.70921131660395,123.35490688013937,123.35490688013937,0.0,0.9701498605828078,67.64569556353541,Winter,LOAD_PRIORITY
19.0,0.0,103.56413033794334,103.56413033794334,0.0,0.0,103.56413033794334,Winter,LOAD_PRIORITY
20.0,6.556843458869124,115.74726301832384,115.74726301832384,0.0,0.0,109.19041955945471,Winter,LOAD_PRIORITY
21.0,12.319987957509026,117.31914539925128,113.82407854178692,3.4950668574643595,0.0,104.99915744174226,Winter,LOAD_PRIORITY
22.0,15.166980028436313,38.22,35.614216849328024,2.605783150671976,0.0,23.053019971563685,Winter,LOAD_PRIORITY
23.0,36.89935659612267,38.22,36.51611575788527,1.703884242114734,0.0,1.3206434038773287,Winter,LOAD_PRIORITY
24.0,0.0,38.22,25.742061738259036,12.477938261740963,0.0,38.22,Winter,LOAD_PRIORITY
25.0,12.819222945715394,38.22,25.633892825853955,12.586107174146045,0.0,25.400777054284607,Winter,LOAD_PRIORITY
26.0,7.2795170157657765,38.22,21.396884956575175,16.823115043424824,0.0,30.940482984234222,Winter,LOAD_PRIORITY
27.0,12.24094083173237,38.22,20.8014554737854,17.418544526214596,0.0,25.979059168267625,Winter,LOAD_PRIORITY
28.0,12.63196687419859,38.22,20.535975197197292,17.684024802802703,0.0,25.58803312580141,Winter,LOAD_PRIORITY
29.0,11.961674763809874,38.22,19.531374713316,18.688625286683997,0.0,26.258325236190124,Winter,LOAD_PRIORITY
30.0,67.21073584205702,38.22,37.94,0.27999999999999997,0.0,-28.990735842057017,Winter,LOAD_PRIORITY
31.0,68.4285299944104,38.22,37.94,0.27999999999999997,0.0,-30.208529994410398,Winter,LOAD_PRIORITY
32.0,70.78502126576204,38.22,37.94,0.27999999999999997,0.0,-32.565021265762034,Winter,LOAD_PRIORITY
33.0,75.0980036424923,38.22,37.94,0.27999999999999997,0.0,-36.878003642492295,Winter,LOAD_PRIORITY
34.0,74.8192941471421,38.22,37.94,0.27999999999999997,0.0,-36.599294147142096,Winter,LOAD_PRIORITY
35.0,75.92291659991577,38.22,37.94,0.27999999999999997,0.0,-37.70291659991577,Winter,LOAD_PRIORITY
36.0,87.29029741543543,38.22,37.94,0.27999999999999997,0.0543756618952459,-49.07029741543543,Winter,LOAD_PRIORITY
37.0,82.62153155114412,38.22,37.94,0.27999999999999997,0.7337611233269217,-44.401531551144124,Winter,LOAD_PRIORITY
38.0,92.44875156985155,38.22,37.94,0.27999999999999997,1.8113471774063648,-54.228751569851546,Winter,LOAD_PRIORITY
39.0,96.57177429004193,38.22,37.94,0.27999999999999997,8.688188424372544,-58.351774290041924,Winter,LOAD_PRIORITY
40.0,94.55765674278473,38.22,37.94,0.27999999999999997,15.508037515136849,-56.33765674278473,Winter,LOAD_PRIORITY
41.0,87.72931305942487,38.22,37.94,0.27999999999999997,21.165866866111,-49.50931305942487,Winter,LOAD_PRIORITY
42.0,70.73415972002722,115.46089119937244,113.61924411635927,1.8416470830131701,5.026492824466714,44.72673147934522,Winter,LOAD_PRIORITY
43.0,23.898140389792523,110.40597984157306,109.44058566969348,0.9653941718795882,0.0,86.50783945178054,Winter,LOAD_PRIORITY
44.0,8.955743794522197,102.82270628258188,99.85400724894734,2.968699033634537,0.0,93.86696248805968,Winter,LOAD_PRIORITY
45.0,41.00114779787319,109.10371285813072,106.24805886226986,2.8556539958608695,0.0,68.10256506025755,Winter,LOAD_PRIORITY
46.0,24.997817100151615,38.22,33.84961541868824,4.370384581311761,0.0,13.222182899848384,Winter,LOAD_PRIORITY
47.0,18.115710969061066,38.22,29.60784526283525,8.612154737164746,0.0,20.104289030938933,Winter,LOAD_PRIORITY
48.0,0.0,38.22,22.7615921893947,15.458407810605298,0.0,38.22,Winter,LOAD_PRIORITY
49.0,0.0,38.22,21.054332399875875,17.165667600124127,0.0,38.22,Winter,LOAD_PRIORITY
50.0,0.0,38.22,18.36633150770663,19.85366849229337,0.0,38.22,Winter,LOAD_PRIORITY
51.0,10.963429034951563,38.22,21.850442652388526,16.369557347611472,0.0,27.25657096504844,Winter,LOAD_PRIORITY
52.0,12.87961392644452,38.22,22.012070810466643,16.207929189533356,0.0,25.34038607355548,Winter,LOAD_PRIORITY
53.0,14.48647882207349,38.22,22.436159131767816,15.783840868232183,0.0,23.73352117792651,Winter,LOAD_PRIORITY
54.0,69.44566447151126,38.22,38.22,0.0,0.0,-31.225664471511266,Winter,LOAD_PRIORITY
55.0,71.88110585717422,38.22,38.22,0.0,0.0,-33.66110585717421,Winter,LOAD_PRIORITY
56.0,73.91611573771567,38.22,38.22,0.0,0.0,-35.69611573771567,Winter,LOAD_PRIORITY
57.0,78.59500310321245,38.22,38.22,0.0,0.0,-40.37500310321244,Winter,LOAD_PRIORITY
58.0,83.99639412397559,38.22,38.22,0.0,0.0,-45.7763941239756,Winter,LOAD_PRIORITY
59.0,88.81415249533605,38.22,38.22,0.0,0.2883520578451416,-50.59415249533604,Winter,LOAD_PRIORITY
60.0,95.65266967258844,38.22,38.22,0.0,2.261486130640478,-57.43266967258845,Winter,LOAD_PRIORITY
61.0,103.14383665582531,38.22,38.22,0.0,7.369197012113918,-64.92383665582531,Winter,LOAD_PRIORITY
62.0,109.85269722354175,38.22,38.22,0.0,16.961068483143038,-71.63269722354175,Winter,LOAD_PRIORITY
63.0,111.86373402894846,38.22,38.22,0.0,25.97508828816854,-73.64373402894846,Winter,LOAD_PRIORITY
64.0,88.76277819700444,38.22,38.22,0.0,27.702101722656625,-50.542778197004445,Winter,LOAD_PRIORITY
65.0,64.43598069531232,38.22,38.22,0.0,18.092104886822508,-26.215980695312325,Winter,LOAD_PRIORITY
66.0,56.58627089664667,97.31623482683699,97.31623482683699,0.0,1.207730480196897,40.72996393019032,Winter,LOAD_PRIORITY
67.0,0.0,110.70441971222378,109.08192320586284,1.622496506360946,0.0,110.70441971222378,Winter,LOAD_PRIORITY
68.0,0.0,103.44215998057113,102.43998591391643,1.0021740666546939,0.0,103.44215998057113,Winter,LOAD_PRIORITY
