season,strategy,generation_kwh,consumption_kwh,avg_generation_kwh_per_day,avg_consumption_kwh_per_day,avg_generation_kwh_per_step,avg_consumption_kwh_per_step,grid_import_kwh,grid_export_kwh,curtailed_kwh,unmet_load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,self_consumption_ratio,self_sufficiency_ratio,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,unmet_events,unmet_pct_time,unmet_hours,avg_soc_kwh,min_soc_kwh,max_soc_kwh,soc_full_events,soc_empty_events,avg_cloud,peak_load_kw,peak_gen_kw,inverter_failed_hours_step,inverter_failures,inverter_downtime_hours,avg_failure_duration_hours,batt_in_kwh,batt_out_kwh,batt_eff_real,net_cost,household_id,household_type,wealth_level,wealth_multiplier
Fall,LOAD_PRIORITY,433.0544753198197,370.3328121008617,14.435149177327323,12.344427070028724,0.6014645490553051,0.5143511279178635,16.412943410273616,59.491823719384755,0.0,0.0,156.7659947710433,216.79665682939162,197.15387391954476,353.91986869058803,0.8172640830676345,0.9556805584761322,-0.08711342113744171,3.279674940566404,-1.1407357364508812,0,0.0,0.0,3.806401705161622,0.0,8.0,92,88,0.4665381041111705,3.279674940566404,1.4207357364508812,0.0,0,0.0,0.0,216.79665682939174,197.15387391954465,0.9093953606244722,-41.23293378974107,1,apartment,low,0.8
Fall,LOAD_PRIORITY,649.5817129797294,543.625224538282,21.65272376599098,18.120840817942735,0.9021968235829576,0.7550350340809473,17.771277919973702,99.29681121244795,0.0,0.0,265.04698891506877,285.23791285221284,260.80695770323956,525.8539466183083,0.8095270173264836,0.9673096885173652,-0.1471617895020105,3.485829228009809,-1.6311036046763219,0,0.0,0.0,4.788877209015403,0.0,10.0,110,65,0.46982529684871316,3.485829228009809,2.131103604676322,0.0,0,0.0,0.0,285.23791285221296,260.80695770323956,0.9143488503871099,-76.03867165122287,2,small_family,middle,1.0
Fall,LOAD_PRIORITY,793.9332047530029,779.3640914583732,26.46444015843343,25.97880304861244,1.102685006601393,1.0824501270255182,32.51622351706548,10.888445146380635,0.0,0.0,409.400112760114,373.6446468465082,337.44775518119366,746.8478679413078,0.940693579094801,0.958278519791411,-0.020234879575874457,3.6743861529969943,-1.7646821834932824,0,0.0,0.0,5.23008188556425,-5.551115123125783e-17,13.5,19,67,0.4666666598527462,3.7639802791884547,2.6046821834932823,0.0,0,0.0,0.0,373.64464684650807,337.44775518119394,0.9031248220179007,14.587567006056538,3,family_house,high,1.2
Fall,LOAD_PRIORITY,1010.4604424129127,1259.3734552966175,33.68201474709709,41.97911517655392,1.4034172811290455,1.7491297990230799,273.7201853459843,0.0,0.0,0.0,677.0072209655734,333.4532214473392,308.6460489850599,985.6532699506333,0.9754496352147725,0.7826536805307561,0.34571251789403473,4.4836588328694535,-1.815050051718723,0,0.0,0.0,3.4148068368743694,-1.1102230246251565e-16,12.713859993912715,0,239,0.48058253318475186,4.487250910060874,3.315050051718723,0.0,0,0.0,0.0,333.45322144733944,308.64604898505985,0.9256052397556541,205.29013900948823,4,luxury_house,luxury,1.5
Fall,LOAD_PRIORITY,433.0544753198197,378.7418803090749,14.435149177327323,12.62472934363583,0.6014645490553051,0.5260303893181596,14.212660496981764,44.06271248058979,0.0,0.0,155.9512794676399,233.04048337159003,208.57794034445322,364.5292198120931,0.8417629665248945,0.9624740192835727,-0.07543415973714558,3.2575456861106953,-1.1407357364508812,0,0.0,0.0,3.4402189666283345,0.0,8.0,78,72,0.5094522688137396,3.2632974582972842,1.4207357364508812,0.0,0,0.0,0.0,233.04048337159014,208.577940344453,0.8950287835262902,-28.996945859794486,5,apartment,low,0.8
Fall,LOAD_PRIORITY,649.5817129797294,541.8004212639842,21.65272376599098,18.060014042132806,0.9021968235829576,0.7525005850888669,15.803494756060974,95.35036343288508,0.0,0.0,264.4542474194887,289.7771021273558,261.54267908843457,525.9969265079233,0.8097471280327395,0.970831519991822,-0.14969623849409075,3.4720535974386433,-1.6311036046763219,0,0.0,0.0,4.70929217990916,0.0,10.0,110,57,0.39361670816020883,3.4996645408803992,2.131103604676322,0.0,0,0.0,0.0,289.77710212735576,261.54267908843474,0.9025650307369278,-73.96270602255083,6,small_family,middle,1.0
Fall,LOAD_PRIORITY,793.9332047530029,796.6334693948162,26.46444015843343,26.554448979827207,1.102685006601393,1.106435374159467,42.224829545022004,4.6024763732494876,0.0,0.0,409.54408984989686,379.7866385298564,344.8645499998973,754.4086398497941,0.9502167629888901,0.9469959132182844,0.0037503675580740836,3.8321467143167087,-1.7646821834932824,0,0.0,0.0,4.999122653284339,0.0,13.5,9,79,0.4700485862874557,3.8321467143167087,2.6046821834932823,0.0,0,0.0,0.0,379.7866385298565,344.86454999989735,0.9080481381200204,27.526393422841963,7,family_house,high,1.2
Fall,LOAD_PRIORITY,1010.4604424129127,1246.2957700776956,33.68201474709709,41.54319233592319,1.4034172811290455,1.7309663473301327,261.13756447305377,0.0,0.0,0.0,677.0072209655734,333.4532214473392,308.1509846390686,985.158205604642,0.9749596958512788,0.7904690277037738,0.32754906620108765,4.4791020521523155,-1.815050051718723,0,0.0,0.0,3.4466766122982677,0.0,12.713859993912715,0,228,0.4954891295715779,4.4791020521523155,3.315050051718723,0.0,0,0.0,0.0,333.45322144733944,308.1509846390685,0.9241205806966036,195.85317335479033,8,luxury_house,luxury,1.5
Fall,LOAD_PRIORITY,433.0544753198197,377.7006068610849,14.435149177327323,12.59002022870283,0.6014645490553051,0.5245841761959512,18.398459958769607,55.389814241451745,0.0,0.0,156.2693048483914,221.39535622997653,203.03284205392387,359.3021469023153,0.8296927231544328,0.9512882435861788,-0.07688037285935388,3.2518872047467275,-1.1407357364508812,0,0.0,0.0,3.7071798566981986,-2.7755575615628914e-17,8.0,90,81,0.5085700705141852,3.2518872047467275,1.4207357364508812,0.0,0,0.0,0.0,221.39535622997667,203.03284205392384,0.9170600752936363,-36.05198784822937,9,apartment,low,0.8
Fall,LOAD_PRIORITY,649.5817129797294,551.302346974716,21.65272376599098,18.3767448991572,0.9021968235829576,0.76569770413155,22.066268230670936,91.0443069849699,0.0,0.0,265.75638979706656,292.78101619769313,263.4796889469785,529.236078744045,0.8147336480831013,0.95997428933187,-0.1364991194514077,3.455278251890526,-1.6311036046763219,0,0.0,0.0,4.594105590915094,0.0,10.0,103,80,0.4276427300207378,3.4704407938792836,2.131103604676322,0.0,0,0.0,0.0,292.78101619769313,263.4796889469785,0.8999206723467015,-65.39017511346971,10,small_family,middle,1.0
