season,strategy,generation_kwh,consumption_kwh,avg_generation_kwh_per_day,avg_consumption_kwh_per_day,avg_generation_kwh_per_step,avg_consumption_kwh_per_step,grid_import_kwh,grid_export_kwh,curtailed_kwh,unmet_load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,self_consumption_ratio,self_sufficiency_ratio,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,unmet_events,unmet_pct_time,unmet_hours,avg_soc_kwh,min_soc_kwh,max_soc_kwh,soc_full_events,soc_empty_events,avg_cloud,peak_load_kw,peak_gen_kw,inverter_failed_hours_step,inverter_failures,inverter_downtime_hours,avg_failure_duration_hours,batt_in_kwh,batt_out_kwh,batt_eff_real,net_cost,household_id,household_type,wealth_level,wealth_multiplier
Summer,CHARGE_PRIORITY,433.0544753198197,396.32760328636914,14.435149177327323,13.210920109545638,0.6014645490553051,0.5504550045644016,30.73952061428267,32.39625433066758,0.0,0.0,33.114668951249726,367.5435520379024,332.4734137208368,365.5880826720865,0.8442080696708933,0.9224391125942555,-0.05100954449090353,3.2658422957698714,-1.1407357364508812,0,0.0,0.0,3.180340134685299,-2.7755575615628914e-17,8.0,57,136,0.7617404642241278,3.2658422957698714,1.4207357364508812,0.0,0,0.0,0.0,367.5435520379019,332.47341372083446,0.9045823600424612,-6.101988436888821,1,apartment,low,0.8
Summer,CHARGE_PRIORITY,649.5817129797294,553.6825166959984,21.65272376599098,18.456083889866612,0.9021968235829576,0.7690034954111089,21.769511518850805,71.59344008827016,0.0,0.0,73.3467288159006,504.6415440755588,458.566276361247,531.9130051771476,0.8188546483816214,0.9606823208925641,-0.1331933281718489,3.4763789341054494,-1.6311036046763219,0,0.0,0.0,4.363487898655079,-5.551115123125783e-17,10.0,88,75,0.7242647654945282,3.4808067531323146,2.131103604676322,0.0,0,0.0,0.0,504.64154407555884,458.56627636124716,0.9086970380159329,-48.10696244030503,2,small_family,middle,1.0
Summer,CHARGE_PRIORITY,793.9332047530029,782.8661823926788,26.46444015843343,26.09553941308929,1.102685006601393,1.0873141422120538,66.86854461889287,1.3898636600524092,0.0,0.0,7.127475148767153,785.4158659441832,708.8701626250188,715.9976377737858,0.9018361160452241,0.9145849621265767,-0.015370864389339007,3.812477206604147,-1.7646821834932824,0,0.0,0.0,4.213447941700931,-5.551115123125783e-17,13.5,4,126,0.710788011215608,3.8361317081144755,2.6046821834932823,0.0,0,0.0,0.0,785.4158659441823,708.8701626250194,0.9025411802355888,48.90053117012248,3,family_house,high,1.2
Summer,CHARGE_PRIORITY,971.1204457467678,1263.9160536015415,32.37068152489226,42.130535120051384,1.348778396870511,1.7554389633354743,381.36950274699586,0.0,0.0,0.0,0.0,971.1204457467678,882.5465508545456,882.5465508545456,0.9087920604697896,0.698263581936253,0.4066605664649634,4.48786026307493,-1.815050051718723,0,0.0,0.0,2.5266086868562043,-5.551115123125783e-17,10.816493397811689,0,287,0.7713462682572646,4.492596741256545,3.315050051718723,28.0,1,27.55215607147476,27.55215607147476,971.120445746768,882.5465508545454,0.9087920604697892,286.0271270602469,4,luxury_house,luxury,1.5
Summer,CHARGE_PRIORITY,433.0544753198197,368.7692474511365,14.435149177327323,12.292308248371217,0.6014645490553051,0.5121795103488007,9.826354948344848,41.45867526178485,0.0,0.0,38.2041627283602,353.39163732967467,320.7387297744315,358.9428925027916,0.8288631406884893,0.9733536486128852,-0.08928503870650444,3.080225736862994,-1.1407357364508812,0,0.0,0.0,3.5739979927790477,0.0,8.0,74,51,0.706151315884232,3.215571438679072,1.4207357364508812,0.0,0,0.0,0.0,353.3916373296744,320.7387297744294,0.9076013575137786,-29.943041524347727,5,apartment,low,0.8
Summer,CHARGE_PRIORITY,649.5817129797294,527.1751805980962,21.65272376599098,17.57250601993654,0.9021968235829576,0.7321877508306891,11.83592649850548,87.30438379282008,0.0,0.0,80.42497775197117,481.8523514349383,434.9142763476194,515.3392540995906,0.7933401507497057,0.9775483995944623,-0.17000907275226873,3.4580722086677818,-1.6311036046763219,0,0.0,0.0,4.866571144926056,0.0,10.0,100,36,0.7035110671836605,3.485984030815915,2.131103604676322,0.0,0,0.0,0.0,481.85235143493827,434.9142763476195,0.9025882618450674,-69.69700053965896,6,small_family,middle,1.0
Summer,CHARGE_PRIORITY,793.9332047530029,786.8844876299308,26.46444015843343,26.229482920997693,1.102685006601393,1.0928951217082372,68.5728029976663,0.9156414197761781,0.0,0.0,7.770305244580443,785.2472580886462,710.5413793876841,718.3116846322646,0.904750777939481,0.9128553122146236,-0.00978988489315558,3.81938989914158,-1.7646821834932824,0,0.0,0.0,4.203760304522351,-5.551115123125783e-17,13.5,3,131,0.64009605195122,3.81938989914158,2.6046821834932823,0.0,0,0.0,0.0,785.2472580886454,710.5413793876844,0.9048632415695395,50.605524970451164,7,family_house,high,1.2
Summer,CHARGE_PRIORITY,1010.4604424129127,1253.7183625129846,33.68201474709709,41.790612083766156,1.4034172811290455,1.7412755034902565,335.7658146589087,0.0,0.0,0.0,0.0,1010.4604424129127,917.9525478540759,917.9525478540759,0.9084497614395136,0.7321840177997463,0.3378582223612111,4.493233976345457,-1.815050051718723,0,0.0,0.0,2.6459268792862076,-4.440892098500626e-16,10.816493397811689,0,266,0.6873540408135904,4.493233976345457,3.315050051718723,0.0,0,0.0,0.0,1010.460442412913,917.9525478540758,0.9084497614395132,251.82436099418152,8,luxury_house,luxury,1.5
Summer,CHARGE_PRIORITY,433.0544753198197,377.1423594482352,14.435149177327323,12.57141198160784,0.6014645490553051,0.5238088325669933,20.376373909481508,44.605619575253996,0.0,0.0,36.7843092958593,351.66454644870635,319.98167624289437,356.7659855387536,0.8238362743515687,0.945971664547858,-0.07765571648831184,3.2756976802578546,-1.1407357364508812,0,0.0,0.0,3.557707733549913,-2.7755575615628914e-17,8.0,74,82,0.6770504343173813,3.2756976802578546,1.4207357364508812,0.0,0,0.0,0.0,351.6645464487063,319.98167624289226,0.9099059870386016,-24.862777185617468,9,apartment,low,0.8
Summer,CHARGE_PRIORITY,649.5817129797294,550.3010361862639,21.65272376599098,18.343367872875465,0.9021968235829576,0.7643069947031443,27.142769018359264,78.4027714423054,0.0,0.0,76.20769462680167,494.97124691062254,446.950572541103,523.1582671679047,0.8053771476541399,0.9506765075231077,-0.13788982887981338,3.403279961037635,-1.6311036046763219,0,0.0,0.0,4.549081560267764,-5.551115123125783e-17,10.0,92,99,0.6811129386540341,3.489124660936929,2.131103604676322,0.0,0,0.0,0.0,494.97124691062265,446.950572541103,0.9029829011902366,-50.205417534305404,10,small_family,middle,1.0
