season,strategy,generation_kwh,consumption_kwh,avg_generation_kwh_per_day,avg_consumption_kwh_per_day,avg_generation_kwh_per_step,avg_consumption_kwh_per_step,grid_import_kwh,grid_export_kwh,curtailed_kwh,unmet_load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,self_consumption_ratio,self_sufficiency_ratio,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,unmet_events,unmet_pct_time,unmet_hours,avg_soc_kwh,min_soc_kwh,max_soc_kwh,soc_full_events,soc_empty_events,avg_cloud,peak_load_kw,peak_gen_kw,inverter_failed_hours_step,inverter_failures,inverter_downtime_hours,avg_failure_duration_hours,batt_in_kwh,batt_out_kwh,batt_eff_real,net_cost,household_id,household_type,wealth_level,wealth_multiplier
Summer,LOAD_PRIORITY,433.0544753198197,396.3598520241935,14.435149177327323,13.211995067473117,0.6014645490553051,0.5504997944780465,22.66200485414402,37.981267018983544,0.0,0.0,157.0799533674927,237.99325493334348,216.61789380255686,373.6978471700495,0.8629349619215132,0.9428246712213407,-0.050964754577258554,3.253098872424404,-1.1407357364508812,0,0.0,0.0,3.252756679670794,0.0,8.0,70,107,0.6640442489625169,3.2633488342411057,1.4207357364508812,0.0,0,0.0,0.0,237.99325493334362,216.61789380255678,0.9101850128619251,-17.186636676477175,1,apartment,low,0.8
Summer,LOAD_PRIORITY,649.5817129797294,523.2545068341342,21.65272376599098,17.44181689447114,0.9021968235829576,0.7267423706029642,11.191308150405089,114.80067537977233,0.0,0.0,265.3641589145917,269.41687868536553,246.69903976913747,512.0631986837293,0.7882968200179437,0.9786121132178754,-0.17545445297999349,3.4447696138875608,-1.6311036046763219,0,0.0,0.0,5.253360680056028,-1.734723475976807e-18,10.0,122,42,0.7013334455673984,3.4447696138875608,2.131103604676322,0.0,0,0.0,0.0,269.41687868536553,246.6990397691374,0.9156777443674611,-94.92712672899128,2,small_family,middle,1.0
Summer,LOAD_PRIORITY,793.9332047530029,794.5522059751102,26.46444015843343,26.485073532503673,1.102685006601393,1.1035447305209862,50.71287712984349,14.704877769419062,0.0,0.0,408.6413537802224,370.58697320336137,335.1979750650443,743.8393288452668,0.936904168250123,0.9361742667775917,0.000859723919593643,3.814962783445572,-1.7646821834932824,0,0.0,0.0,5.340070112471342,-5.551115123125783e-17,13.5,24,98,0.712021901456733,3.814962783445572,2.6046821834932823,0.0,0,0.0,0.0,370.5869732033613,335.1979750650443,0.9045055528195884,24.800267854905464,3,family_house,high,1.2
Summer,LOAD_PRIORITY,1010.4604424129127,1265.5014633638332,33.68201474709709,42.183382112127774,1.4034172811290455,1.7576409213386572,282.6093797509755,0.0,0.0,0.0,676.8133422818543,333.6471001310583,306.07874133100347,982.8920836128577,0.9727170331040139,0.7766819020502982,0.35422364020961183,4.3279176889657665,-1.815050051718723,0,0.0,0.0,3.3882950886901027,-2.220446049250313e-16,12.713859993912715,0,238,0.776273267047939,4.472947604356326,3.315050051718723,0.0,0,0.0,0.0,333.64710013105855,306.07874133100324,0.9173727007091436,211.95703481323164,4,luxury_house,luxury,1.5
Summer,LOAD_PRIORITY,433.0544753198197,381.8077227813948,14.435149177327323,12.726924092713158,0.6014645490553051,0.5302885038630483,16.231906518993966,48.52212289221566,0.0,0.0,157.19677630612156,227.33557612148246,208.37903995627923,365.5758162624008,0.8441797443437468,0.9574866993240794,-0.07117604519225686,3.259346928674824,-1.1407357364508812,0,0.0,0.0,3.5572385729608023,-2.220446049250313e-16,8.0,84,93,0.6642608559480946,3.27797138592544,1.4207357364508812,0.0,0,0.0,0.0,227.33557612148266,208.37903995627914,0.916614299932213,-31.495980713748626,5,apartment,low,0.8
Summer,LOAD_PRIORITY,649.5817129797294,528.5717471298117,21.65272376599098,17.61905823766039,0.9021968235829576,0.7341274265691828,9.259379826323451,104.23302075589922,0.0,0.0,264.6172310678428,280.7314611559875,254.69513623564546,519.3123673034883,0.799456568629871,0.9824822649401853,-0.1680693970137748,3.4195616467976238,-1.6311036046763219,0,0.0,0.0,4.967416845384207,0.0,10.0,117,37,0.7527469216565711,3.469271734533785,2.131103604676322,0.0,0,0.0,0.0,280.73146115598746,254.69513623564544,0.9072554076656373,-86.86518381056672,6,small_family,middle,1.0
Summer,LOAD_PRIORITY,793.9332047530029,777.1344508335271,26.46444015843343,25.904481694450904,1.102685006601393,1.0793534039354544,33.23477748004373,13.033672001797797,0.0,0.0,409.4553905441559,371.4441422070491,334.44428280932755,743.8996733534834,0.9369801752842858,0.9572341987356278,-0.023331602665938405,3.799999944144525,-1.7646821834932824,0,0.0,0.0,5.471897958087716,0.0,13.5,22,67,0.7070633545794651,3.824162939128006,2.6046821834932823,0.0,0,0.0,0.0,371.444142207049,334.44428280932755,0.9003891697473664,13.195778308414782,7,family_house,high,1.2
Summer,LOAD_PRIORITY,1010.4604424129127,1265.03121616394,33.68201474709709,42.167707205464666,1.4034172811290455,1.7569878002276944,279.3855858181527,0.0,0.0,0.0,676.9308249171116,333.52961749580106,308.71480542867556,985.6456303457873,0.9754420746962946,0.7791472793332666,0.3535705190986489,4.48182409806777,-1.815050051718723,0,0.0,0.0,3.381001804577271,-1.1102230246251565e-16,12.713859993912715,0,245,0.749027317574784,4.48182409806777,3.315050051718723,0.0,0,0.0,0.0,333.5296174958013,308.71480542867556,0.9255993747918411,209.53918936361453,8,luxury_house,luxury,1.5
Summer,LOAD_PRIORITY,412.5950992208693,378.9117502564852,13.753169974028976,12.630391675216174,0.573048748917874,0.526266319800674,30.60890363867284,46.22651824493795,0.0,0.0,147.94102292529166,218.42755805063968,200.3618236925207,348.3028466178124,0.8441759179290684,0.9192189114801701,-0.04678242911720009,3.2560493103678527,-1.1407357364508812,0,0.0,0.0,3.3821144891889174,-8.673617379884035e-19,8.0,76,91,0.6715279549480857,3.2560493103678527,1.4207357364508812,42.0,1,42.022252494464944,42.022252494464944,218.42755805063973,200.36182369252063,0.9172918723289907,-18.647188691439528,9,apartment,low,0.8
Summer,LOAD_PRIORITY,649.5817129797294,534.1728003970826,21.65272376599098,17.805760013236085,0.9021968235829576,0.7419066672181702,15.974843850671752,107.7047853149171,0.0,0.0,265.00357152315837,276.87335614165414,253.1943850232525,518.1979565464109,0.7977409865332546,0.9700942394693315,-0.1602901563647875,3.4751036308793606,-1.6311036046763219,0,0.0,0.0,5.011297281359781,0.0,10.0,115,64,0.7163707020992888,3.4751036308793606,2.131103604676322,0.0,0,0.0,0.0,276.873356141654,253.1943850232526,0.9144772489185027,-84.95317389542159,10,small_family,middle,1.0
Summer,LOAD_PRIORITY,793.9332047530029,773.9938633471195,26.46444015843343,25.79979544490398,1.102685006601393,1.0749914768709994,29.359630996150447,11.571430307461569,0.0,0.0,409.45758324284793,372.9041912026933,335.1766491081211,744.6342323509691,0.9379053903944338,0.9620673594630514,-0.02769352973039348,3.817428674853115,-1.7646821834932824,0,0.0,0.0,5.191469765398041,0.0,13.5,17,65,0.7072630075213057,3.818475394401603,2.6046821834932823,0.0,0,0.0,0.0,372.9041912026933,335.1766491081211,0.8988277874461721,11.605435970397425,11,family_house,high,1.2
Summer,LOAD_PRIORITY,1010.4604424129127,1275.731245380408,33.68201474709709,42.5243748460136,1.4034172811290455,1.7718489519172331,290.87794354462244,0.0,0.0,0.0,676.520389757119,333.94005265579364,308.3329120786664,984.8533018357855,0.9746579484932839,0.7719912053593341,0.36843167078818784,4.480639313641079,-1.815050051718723,0,0.0,0.0,3.3567724480123475,0.0,12.713859993912715,0,245,0.7093845541898826,4.4999665779235665,3.315050051718723,0.0,0,0.0,0.0,333.9400526557938,308.3329120786663,0.9233181513463979,218.15845765846683,12,luxury_house,luxury,1.5
Summer,LOAD_PRIORITY,433.0544753198197,377.3217211419279,14.435149177327323,12.57739070473093,0.6014645490553051,0.5240579460304554,15.36885694158705,52.424331695138136,0.0,0.0,156.0871349118247,224.54300871285682,205.86572928851615,361.95286420034085,0.8358137020360572,0.9592685602751023,-0.07740660302484967,3.2772841067539615,-1.1407357364508812,0,0.0,0.0,3.623947007166551,0.0,8.0,87,76,0.7220179861734664,3.2772841067539615,1.4207357364508812,0.0,0,0.0,0.0,224.54300871285702,205.8657292885159,0.9168209265057751,-35.65525581943404,13,apartment,low,0.8
