season,strategy,generation_kwh,consumption_kwh,avg_generation_kwh_per_day,avg_consumption_kwh_per_day,avg_generation_kwh_per_step,avg_consumption_kwh_per_step,grid_import_kwh,grid_export_kwh,curtailed_kwh,unmet_load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,self_consumption_ratio,self_sufficiency_ratio,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,unmet_events,unmet_pct_time,unmet_hours,avg_soc_kwh,min_soc_kwh,max_soc_kwh,soc_full_events,soc_empty_events,avg_cloud,peak_load_kw,peak_gen_kw,inverter_failed_hours_step,inverter_failures,inverter_downtime_hours,avg_failure_duration_hours,batt_in_kwh,batt_out_kwh,batt_eff_real,net_cost,household_id,household_type,wealth_level,wealth_multiplier
Winter,CHARGE_PRIORITY,433.0544753198197,375.28006722370804,14.435149177327323,12.509335574123602,0.6014645490553051,0.5212223155884834,19.773502367447954,41.30028663495642,0.0,0.0,34.16241121848736,357.5917774663759,321.34415363777276,355.5065648562601,0.8209280474326265,0.9473100116568122,-0.0802422334668217,3.2192989496532327,-1.1407357364508812,0,0.0,0.0,3.4662101235878504,-2.7755575615628914e-17,8.0,71,93,0.38721020245729615,3.2192989496532327,1.4207357364508812,0.0,0,0.0,0.0,357.59177746637573,321.34415363777026,0.898634067915575,-22.34013119587481,1,apartment,low,0.8
Winter,CHARGE_PRIORITY,649.5817129797294,559.8903959883355,21.65272376599098,18.663013199611182,0.9021968235829576,0.7776255499837993,33.582235420797986,73.94405927942566,0.0,0.0,74.99168384692953,500.64596985337437,451.3164767206081,526.3081605675376,0.8102262579919046,0.9400199830870155,-0.12457127359915836,3.4958345970680877,-1.6311036046763219,0,0.0,0.0,4.384354222144272,-5.551115123125783e-17,10.0,93,101,0.4469341702794381,3.4958345970680877,2.131103604676322,0.0,0,0.0,0.0,500.64596985337437,451.3164767206082,0.9014683107362006,-41.36297678588461,2,small_family,middle,1.0
Winter,CHARGE_PRIORITY,793.9332047530029,779.9653403825426,26.46444015843343,25.998844679418088,1.102685006601393,1.0832851949757536,63.619371627694335,2.5625903049855934,0.0,0.0,11.699613808868264,779.6710006391489,704.6463549459802,716.3459687548484,0.9022748569606781,0.9184330785820669,-0.019399811625639085,3.831127656253142,-1.7646821834932824,0,0.0,0.0,4.352412668648867,-5.551115123125783e-17,13.5,5,122,0.4858502775044149,3.831127656253142,2.6046821834932823,0.0,0,0.0,0.0,779.6710006391481,704.6463549459794,0.90377396923617,45.408197446283715,3,family_house,high,1.2
Winter,CHARGE_PRIORITY,1010.4604424129127,1267.5294252589238,33.68201474709709,42.25098084196413,1.4034172811290455,1.7604575350818386,349.647967822218,0.0,0.0,0.0,0.0,1010.4604424129127,917.8814574367058,917.8814574367058,0.9083794069611133,0.7241500190413379,0.3570402539527932,4.4836495055633,-1.815050051718723,0,0.0,0.0,2.614114184240322,-2.220446049250313e-16,10.816493397811689,0,267,0.38775789758364976,4.4836495055633,3.315050051718723,0.0,0,0.0,0.0,1010.460442412913,917.8814574367059,0.9083794069611131,262.23597586666347,4,luxury_house,luxury,1.5
Winter,CHARGE_PRIORITY,433.0544753198197,382.6035705972846,14.435149177327323,12.75345235324282,0.6014645490553051,0.5313938480517841,20.25119223739684,33.85507316686281,0.0,0.0,34.887178052958404,364.3122240999985,327.4652003069294,362.3523783598878,0.8367362514664767,0.9470700385629371,-0.07007070100352093,3.224755534513512,-1.1407357364508812,0,0.0,0.0,3.326915593914335,-2.7755575615628914e-17,8.0,64,107,0.3317330719131912,3.224755534513512,1.4207357364508812,0.0,0,0.0,0.0,364.3122240999981,327.465200306927,0.8988586674957215,-15.281171672128899,5,apartment,low,0.8
Winter,CHARGE_PRIORITY,649.5817129797294,526.2210042769789,21.65272376599098,17.540700142565964,0.9021968235829576,0.7308625059402485,9.000097465617223,85.70753145777823,0.0,0.0,77.5981825957142,486.2759989262371,439.6227242156474,517.2209068113616,0.7962368651648015,0.9828967346562243,-0.17133431764270932,3.412178226457999,-1.6311036046763219,0,0.0,0.0,4.836534279519245,-5.551115123125783e-17,10.0,99,40,0.4402621636633224,3.412178226457999,2.131103604676322,0.0,0,0.0,0.0,486.2759989262371,439.6227242156474,0.9040600917717379,-70.3867052127875,6,small_family,middle,1.0
Winter,CHARGE_PRIORITY,793.9332047530029,795.2997028484558,26.46444015843343,26.509990094948527,1.102685006601393,1.1045829206228552,80.08827854323033,1.7585547270507387,0.0,0.0,7.629005751448964,784.545644274503,707.5824185537766,715.2114243052256,0.9008458394528692,0.8992979901081505,0.0018979140214626187,3.8275591842005037,-1.7646821834932824,0,0.0,0.0,4.11464176211231,-5.551115123125783e-17,13.5,4,143,0.4306530602164416,3.8393310128337648,2.6046821834932823,0.0,0,0.0,0.0,784.5456442745023,707.5824185537768,0.9019008947632409,58.483509653077085,7,family_house,high,1.2
Winter,CHARGE_PRIORITY,975.0696797052418,1254.909568920678,32.50232265684139,41.8303189640226,1.354263444035058,1.742929956834275,368.8087075035058,0.0,0.0,0.0,0.0,975.0696797052418,886.1008614171722,886.1008614171722,0.9087564508056856,0.7061073430010493,0.38866651279921693,4.431159042371573,-1.815050051718723,0,0.0,0.0,2.5248833148987417,-5.551115123125783e-17,10.816493397811689,0,288,0.35208315728705036,4.463079006938543,3.315050051718723,24.0,1,23.503022443311252,23.503022443311252,975.069679705242,886.1008614171726,0.9087564508056858,276.60653062762935,8,luxury_house,luxury,1.5
Winter,CHARGE_PRIORITY,433.0544753198197,383.9011913623446,14.435149177327323,12.79670637874482,0.6014645490553051,0.5331960991143675,20.244155367746735,36.326439214906884,0.0,0.0,33.29477194528502,363.4332641596278,330.3622640493129,363.6570359945979,0.8397489385741358,0.9472672765200166,-0.06826844994093756,3.2789158239261615,-1.1407357364508812,0,0.0,0.0,3.315549842300125,-2.7755575615628914e-17,8.0,60,109,0.43265639841843045,3.2789158239261615,1.4207357364508812,0.0,0,0.0,0.0,363.4332641596275,330.3622640493105,0.9090039262454755,-17.510678767606144,9,apartment,low,0.8
Winter,CHARGE_PRIORITY,649.5817129797294,550.3122416858477,21.65272376599098,18.343741389528255,0.9021968235829576,0.7643225578970106,22.395031312086605,72.26790214924502,0.0,0.0,73.83795324112097,503.47585758936356,454.07925713264007,527.9172103737611,0.8127033132631231,0.9593048643739402,-0.13787426568594713,3.4886574012463196,-1.6311036046763219,0,0.0,0.0,4.402906913887403,-5.551115123125783e-17,10.0,87,80,0.33385752006584557,3.4886574012463196,2.131103604676322,0.0,0,0.0,0.0,503.4758575893637,454.07925713263984,0.9018888399272327,-48.24483845025556,10,small_family,middle,1.0
