time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,1.1499770555132616,38.22,1.1499770555132616,38.22,1.1499770555132616,0.0,37.07002294448674,38.22,37.07002294448674,0.0,0.0,0.0,0.0,226.63734746969493
2.0,8.137975744913527,38.22,8.137975744913527,38.22,8.137975744913527,0.0,30.08202425508647,38.22,30.08202425508647,0.0,0.0,0.0,0.0,194.92810971152718
3.0,4.848465463638928,38.22,4.848465463638928,38.22,4.848465463638928,0.0,33.37153453636107,38.22,33.37153453636107,0.0,0.0,0.0,0.0,159.75142366156982
4.0,6.272354042825788,38.22,6.272354042825788,38.22,6.272354042825788,0.0,31.94764595717421,38.22,31.94764595717421,0.0,0.0,0.0,0.0,126.07564795978959
5.0,8.15276691780027,38.22,8.15276691780027,38.22,8.15276691780027,0.0,30.06723308219973,38.22,30.06723308219973,0.0,0.0,0.0,0.0,94.38200146681763
6.0,62.40256676210644,38.22,62.40256676210644,38.22,38.22,24.18256676210644,0.0,38.22,-24.18256676210644,0.0,0.0,0.0,0.0,117.3235986580195
7.0,72.81161460137864,38.22,72.81161460137864,38.22,38.22,34.59161460137863,0.0,38.22,-34.59161460137863,0.0,0.0,0.0,0.0,150.1400856829477
8.0,77.21885560627923,38.22,77.21885560627923,38.22,38.22,38.998855606279236,0.0,38.22,-38.998855606279236,0.0,0.0,0.0,0.0,187.13764863970846
9.0,83.92073707974066,38.22,83.92073707974066,38.22,38.22,45.70073707974067,0.0,38.22,-45.70073707974067,0.0,0.0,0.0,0.0,230.49317461585625
10.0,90.7363364622646,38.22,90.7363364622646,38.22,38.22,52.51633646226461,0.0,38.22,-52.51633646226461,0.0,0.0,0.0,0.0,280.31454589240786
11.0,96.02809696766947,38.22,96.02809696766947,38.22,38.22,57.80809696766947,0.0,38.22,-57.80809696766947,0.0,0.0,0.0,0.0,335.1561219777205
12.0,98.40419841349059,38.22,98.40419841349059,38.22,38.22,60.184198413490584,0.0,38.22,-60.184198413490584,0.0,0.0,0.0,0.0,392.2518658191572
13.0,101.4866474483476,38.22,101.4866474483476,38.22,38.22,53.74961983080877,0.0,38.22,-63.266647448347605,0.0,9.517027617538835,0.0,0.0,443.2432324292102
14.0,107.33379928629401,38.22,107.33379928629401,38.22,38.22,36.9707874462388,0.0,38.22,-69.11379928629401,0.0,32.143011840055216,0.0,0.0,478.31680099523254
15.0,117.2106982571977,38.22,117.2106982571977,38.22,38.22,42.95678682254406,0.0,38.22,-78.9906982571977,0.0,36.03391143465364,0.0,0.0,519.0691871916965
16.0,95.058646485591,38.22,95.058646485591,38.22,38.22,17.166866804010873,0.0,38.22,-56.838646485591,0.0,39.67177968158013,0.0,0.0,535.3551070085194
17.0,76.82471338564378,38.22,76.82471338564378,38.22,38.22,8.073842118763945,0.0,38.22,-38.60471338564377,0.0,30.530871266879828,0.0,0.0,543.0146261776875
18.0,55.70921131660395,102.46222319502846,55.70921131660395,102.46222319502846,54.38185115291379,0.02002410726698778,48.08037204211467,102.46222319502846,46.7530118784245,0.0,1.3073360564231749,0.0,0.0,492.35246058002224
19.0,0.0,121.41628857781248,0.0,121.41628857781248,0.0,0.0,121.41628857781248,121.41628857781248,121.41628857781248,0.0,0.0,0.0,0.0,364.3684549299644
20.0,6.6372955258491135,109.70990052768975,6.6372955258491135,109.70990052768975,6.6372955258491135,0.0,103.07260500184064,109.70990052768975,103.07260500184064,0.0,0.0,0.0,0.0,255.72038953907096
21.0,12.471153453920179,123.6405090171181,12.471153453920179,123.6405090171181,12.471153453920179,0.0,101.31708256806931,113.78823602198948,111.16935556319794,9.852272995128628,0.0,0.0,0.0,148.92280727292408
22.0,15.353077942895656,38.22,15.353077942895656,38.22,15.353077942895656,0.0,16.95855750934686,32.31163545224251,22.866922057104343,5.908364547757483,0.0,0.0,0.0,131.04691808609465
23.0,37.35210943779289,38.22,37.35210943779289,38.22,32.77764208351084,4.574467354282047,2.4287518274753097,35.20639391098615,0.867890562207112,3.013606089013849,0.0,0.0,0.0,132.82650964720656
24.0,0.0,38.22,0.0,38.22,0.0,0.0,23.5023241320558,23.5023241320558,38.22,14.717675867944198,0.0,0.0,0.0,108.05288479226115
25.0,12.976514024803926,38.22,12.976514024803926,38.22,12.976514024803926,0.0,13.258356051284668,26.234870076088594,25.243485975196073,11.985129923911405,0.0,0.0,0.0,94.0773504084159
26.0,7.368836242953087,38.22,7.368836242953087,38.22,7.368836242953087,0.0,14.021774136518845,21.390610379471934,30.851163757046912,16.829389620528065,0.0,0.0,0.0,79.29710270580246
27.0,12.391136424759763,38.22,12.391136424759763,38.22,12.391136424759763,0.0,10.660676732361026,23.051813157120787,25.828863575240234,15.16818684287921,0.0,0.0,0.0,68.05976274812842
28.0,12.786960332777713,38.22,12.786960332777713,38.22,12.786960332777713,0.0,10.290652049959647,23.07761238273736,25.433039667222285,15.142387617262637,0.0,0.0,0.0,57.212463052743985
29.0,12.108443779316744,38.22,12.108443779316744,38.22,12.108443779316744,0.0,9.564624068848758,21.673067848165502,26.111556220683255,16.546932151834497,0.0,0.0,0.0,47.13046404580091
30.0,68.03540744748103,38.22,68.03540744748103,38.22,38.22,29.81540744748103,0.0,38.22,-29.81540744748103,0.0,0.0,0.0,0.0,75.41584311579706
31.0,69.26814385937249,38.22,69.26814385937249,38.22,38.22,31.048143859372487,0.0,38.22,-31.048143859372487,0.0,0.0,0.0,0.0,104.87069863065337
32.0,71.65354913405359,38.22,71.65354913405359,38.22,38.22,33.43354913405359,0.0,38.22,-33.43354913405359,0.0,0.0,0.0,0.0,136.5885482886812
33.0,76.01945153994619,38.22,76.01945153994619,38.22,38.22,37.79945153994619,0.0,38.22,-37.79945153994619,0.0,0.0,0.0,0.0,172.44825664009795
34.0,75.73732229618679,38.22,75.73732229618679,38.22,38.22,37.517322296186784,0.0,38.22,-37.517322296186784,0.0,0.0,0.0,0.0,208.0403136900685
35.0,76.85448612874909,38.22,76.85448612874909,38.22,38.22,38.63448612874909,0.0,38.22,-38.63448612874909,0.0,0.0,0.0,0.0,244.692205409177
36.0,88.36134400948986,38.22,88.36134400948986,38.22,38.22,50.14134400948985,0.0,38.22,-50.14134400948985,0.0,0.0,0.0,0.0,292.2604610127852
37.0,83.63529267447105,38.22,83.63529267447105,38.22,38.22,44.521638205585255,0.0,38.22,-45.41529267447105,0.0,0.893654468885793,0.0,0.0,334.4973955802716
38.0,93.58309207991107,38.22,93.58309207991107,38.22,38.22,51.09687742786788,0.0,38.22,-55.36309207991108,0.0,4.266214652043199,0.0,0.0,382.97214977862416
39.0,97.756704035932,38.22,97.756704035932,38.22,38.22,48.591654223950464,0.0,38.22,-59.53670403593201,0.0,10.94504981198155,0.0,0.0,429.0702405655316
40.0,95.71787338993546,38.22,95.71787338993546,38.22,38.22,37.50370340828801,0.0,38.22,-57.497873389935464,0.0,19.99416998164745,0.0,0.0,464.6493776040146
41.0,88.80574634849756,38.22,88.80574634849756,38.22,38.22,27.186550994165977,0.0,38.22,-50.585746348497565,0.0,23.399195354331592,0.0,0.0,490.4408044637784
42.0,71.60206352027295,103.56831257490146,71.60206352027295,103.56831257490146,65.64268455731319,1.9662116999088308,37.92562801758827,103.56831257490146,31.966249054628502,0.0,3.9931672630509376,0.0,0.0,452.328994587955
43.0,24.191369106231694,118.0675131381726,24.191369106231694,118.0675131381726,24.191369106231694,0.0,93.8761440319409,118.0675131381726,93.8761440319409,0.0,0.0,0.0,0.0,353.3748502229697
44.0,9.06563022144885,119.12694750743987,9.06563022144885,119.12694750743987,9.06563022144885,0.0,110.06131728599102,119.12694750743987,110.06131728599102,0.0,0.0,0.0,0.0,237.36003525557194
45.0,41.50422936594525,110.10390419612861,41.50422936594525,110.10390419612861,41.21600045570097,0.2882289102442764,64.61908707787505,105.83508753357603,68.59967483018336,4.268816662552587,0.0,0.0,0.0,169.51897471312282
46.0,25.304538782362066,38.22,25.304538782362066,38.22,24.957156913626225,0.3473818687358408,10.347007771918953,35.304164685545175,12.915461217637935,2.9158353144548235,0.0,0.0,0.0,158.94182624779546
