time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,1.1499770555132616,38.22,1.1499770555132616,38.22,1.1499770555132616,0.0,37.07002294448674,38.22,37.07002294448674,0.0,0.0,0.0,0.0,226.63734746969493
2.0,8.137975744913527,38.22,8.137975744913527,38.22,8.137975744913527,0.0,30.08202425508647,38.22,30.08202425508647,0.0,0.0,0.0,0.0,194.92810971152718
3.0,4.848465463638928,38.22,4.848465463638928,38.22,4.848465463638928,0.0,33.37153453636107,38.22,33.37153453636107,0.0,0.0,0.0,0.0,159.75142366156982
4.0,6.272354042825788,38.22,6.272354042825788,38.22,6.272354042825788,0.0,31.94764595717421,38.22,31.94764595717421,0.0,0.0,0.0,0.0,126.07564795978959
5.0,8.15276691780027,38.22,8.15276691780027,38.22,8.15276691780027,0.0,30.06723308219973,38.22,30.06723308219973,0.0,0.0,0.0,0.0,94.38200146681763
6.0,62.40256676210644,38.22,62.40256676210644,38.22,38.22,24.18256676210644,0.0,38.22,-24.18256676210644,0.0,0.0,0.0,0.0,117.3235986580195
7.0,71.92904957590737,38.22,71.92904957590737,38.22,37.94,33.98904957590737,0.27999999999999997,38.22,-33.70904957590737,0.0,0.0,0.0,0.0,149.2732963923447
8.0,76.28286947771826,38.22,76.28286947771826,38.22,37.94,38.342869477718274,0.27999999999999997,38.22,-38.06286947771827,0.0,0.0,0.0,0.0,185.3533903502378
9.0,82.90351602422867,38.22,82.90351602422867,38.22,37.94,44.96351602422866,0.27999999999999997,38.22,-44.68351602422866,0.0,0.0,0.0,0.0,227.7143811091011
10.0,89.63650208090382,38.22,89.63650208090382,38.22,37.94,51.696502080903834,0.27999999999999997,38.22,-51.41650208090383,0.0,0.0,0.0,0.0,276.46284328593913
11.0,94.86412003472802,38.22,94.86412003472802,38.22,37.94,56.92412003472802,0.27999999999999997,38.22,-56.64412003472802,0.0,0.0,0.0,0.0,330.17065930415924
12.0,97.21142025090282,38.22,97.21142025090282,38.22,37.94,59.27142025090282,0.27999999999999997,38.22,-58.99142025090282,0.0,0.0,0.0,0.0,386.10531983297466
13.0,100.25650626715552,38.22,100.25650626715552,38.22,37.94,53.14000658059542,0.27999999999999997,38.22,-62.03650626715551,0.0,9.17649968656009,0.0,0.0,436.2232106193309
14.0,106.03278353736924,38.22,106.03278353736924,38.22,37.94,36.9707874462388,0.27999999999999997,38.22,-67.81278353736924,0.0,31.12199609113044,0.0,0.0,471.0016332704042
15.0,115.78996252074683,38.22,115.78996252074683,38.22,37.94,42.95678682254406,0.27999999999999997,38.22,-77.56996252074683,0.0,34.89317569820276,0.0,0.0,511.4588735519191
16.0,93.90642046758383,38.22,93.90642046758383,38.22,37.94,17.166866804010873,0.27999999999999997,38.22,-55.68642046758384,0.0,38.79955366357296,0.0,0.0,527.449647453793
17.0,75.89350473854506,38.22,75.89350473854506,38.22,37.94,8.073842118763945,0.089688941421299,38.0296889414213,-37.67350473854506,0.19031105857870095,29.879662619781115,0.0,0.0,535.0146261776875
18.0,55.03394814912996,119.14126297583643,55.03394814912996,119.14126297583643,54.30645395994875,0.0,62.73933040849644,117.04578436844518,64.10731482670646,2.095478607391237,0.7274941891812161,0.0,0.0,468.88156518945055
19.0,0.0,102.26263271060421,0.0,102.26263271060421,0.0,0.0,100.87530222462186,100.87530222462186,102.26263271060421,1.3873304859823405,0.0,0.0,0.0,362.5496602935654
20.0,6.556843458869124,103.04302819621306,6.556843458869124,103.04302819621306,6.556843458869124,0.0,95.95644626882148,102.5132897276906,96.48618473734393,0.5297384685224553,0.0,0.0,0.0,261.40268483188487
21.0,12.319987957509026,120.05838420196584,12.319987957509026,120.05838420196584,12.319987957509026,0.0,101.64062520370052,113.96061316120955,107.73839624445681,6.097771040756287,0.0,0.0,0.0,154.26405868281512
22.0,15.166980028436313,38.22,15.166980028436313,38.22,15.166980028436313,0.0,20.843222220438953,36.01020224887527,23.053019971563685,2.209797751124729,0.0,0.0,0.0,132.2933733516087
23.0,36.89935659612267,38.22,36.89935659612267,38.22,32.49764208351084,4.4017145126118296,3.9231972026558504,36.42083928616669,1.3206434038773287,1.7991607138333081,0.0,0.0,0.0,132.3337934357122
24.0,0.0,38.22,0.0,38.22,0.0,0.0,28.822616644087727,28.822616644087727,38.22,9.397383355912273,0.0,0.0,0.0,101.95208786198023
25.0,12.819222945715394,38.22,12.819222945715394,38.22,12.819222945715394,0.0,14.560085549020473,27.379308494735866,25.400777054284607,10.840691505264132,0.0,0.0,0.0,86.60441010804426
26.0,7.2795170157657765,38.22,7.2795170157657765,38.22,7.2795170157657765,0.0,14.862268824691297,22.141785840457075,30.940482984234222,16.078214159542924,0.0,0.0,0.0,70.93820321346485
27.0,12.24094083173237,38.22,12.24094083173237,38.22,12.24094083173237,0.0,10.546074212596332,22.787015044328705,25.979059168267625,15.432984955671296,0.0,0.0,0.0,59.82166491847444
28.0,12.63196687419859,38.22,12.63196687419859,38.22,12.63196687419859,0.0,9.574227012643947,22.206193886842534,25.58803312580141,16.01380611315746,0.0,0.0,0.0,49.729543519986244
29.0,11.961674763809874,38.22,11.961674763809874,38.22,11.961674763809874,0.0,9.387194646153878,21.348869409963754,26.258325236190124,16.871130590036245,0.0,0.0,0.0,39.83457154625803
30.0,67.21073584205702,38.22,67.21073584205702,38.22,37.94,29.270735842057015,0.0,37.94,-28.990735842057017,0.27999999999999997,0.0,0.0,0.0,67.60322976126606
31.0,68.4285299944104,38.22,68.4285299944104,38.22,37.94,30.488529994410396,0.0,37.94,-30.208529994410398,0.27999999999999997,0.0,0.0,0.0,96.52718894907532
32.0,70.78502126576204,38.22,70.78502126576204,38.22,37.94,32.845021265762036,0.0,37.94,-32.565021265762034,0.27999999999999997,0.0,0.0,0.0,127.68671204801771
33.0,75.0980036424923,38.22,75.0980036424923,38.22,37.94,37.1580036424923,0.0,37.94,-36.878003642492295,0.27999999999999997,0.0,0.0,0.0,162.9378894925503
34.0,74.8192941471421,38.22,74.8192941471421,38.22,37.94,36.8792941471421,0.0,37.94,-36.599294147142096,0.27999999999999997,0.0,0.0,0.0,197.9246598938361
35.0,76.85448612874909,38.22,76.85448612874909,38.22,38.22,38.63448612874909,0.0,38.22,-38.63448612874909,0.0,0.0,0.0,0.0,234.5765516129446
36.0,88.36134400948986,38.22,88.36134400948986,38.22,38.22,50.14134400948985,0.0,38.22,-50.14134400948985,0.0,0.0,0.0,0.0,282.1448072165528
37.0,83.63529267447105,38.22,83.63529267447105,38.22,38.22,44.57893874541342,0.0,38.22,-45.41529267447105,0.0,0.8363539290576296,0.0,0.0,324.4361018491434
38.0,93.58309207991107,38.22,93.58309207991107,38.22,38.22,52.78034963782575,0.0,38.22,-55.36309207991108,0.0,2.582742442085326,0.0,0.0,374.5079380158152
39.0,97.756704035932,38.22,97.756704035932,38.22,38.22,51.92934632507556,0.0,38.22,-59.53670403593201,0.0,7.6073577108564505,0.0,0.0,423.77244155309523
40.0,95.71787338993546,38.22,95.71787338993546,38.22,38.22,42.251166606243416,0.0,38.22,-57.497873389935464,0.0,15.246706783692046,0.0,0.0,463.85541763558797
41.0,88.80574634849756,38.22,88.80574634849756,38.22,38.22,28.334678788701975,0.0,38.22,-50.585746348497565,0.0,22.25106755979559,0.0,0.0,490.73605415805565
42.0,71.60206352027295,117.5834401482119,71.60206352027295,117.5834401482119,67.18431517760688,1.6602717501707693,50.39912497060503,117.5834401482119,45.98137662793894,0.0,2.757476592495313,0.0,0.0,439.1857839088082
43.0,24.191369106231694,106.19527779506545,24.191369106231694,106.19527779506545,24.191369106231694,0.0,82.00390868883375,106.19527779506545,82.00390868883375,0.0,0.0,0.0,0.0,352.74607441107935
44.0,9.06563022144885,106.91121822006508,9.06563022144885,106.91121822006508,9.06563022144885,0.0,96.57273260467771,105.63836282612657,97.84558799861622,1.2728553939385163,0.0,0.0,0.0,250.9494761120171
45.0,41.50422936594525,112.70810853804537,41.50422936594525,112.70810853804537,41.23483990965748,0.2693894562877691,63.64082457909118,104.87566448874865,71.20387917210012,7.832444049296714,0.0,0.0,0.0,184.1217221094833
