time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,1.1499770555132616,38.22,1.1499770555132616,38.22,1.1499770555132616,0.0,37.07002294448674,38.22,37.07002294448674,0.0,0.0,0.0,0.0,226.63734746969493
2.0,8.137975744913527,38.22,8.137975744913527,38.22,8.137975744913527,0.0,30.08202425508647,38.22,30.08202425508647,0.0,0.0,0.0,0.0,194.92810971152718
3.0,4.848465463638928,38.22,4.848465463638928,38.22,4.848465463638928,0.0,33.37153453636107,38.22,33.37153453636107,0.0,0.0,0.0,0.0,159.75142366156982
4.0,6.272354042825788,38.22,6.272354042825788,38.22,6.272354042825788,0.0,31.94764595717421,38.22,31.94764595717421,0.0,0.0,0.0,0.0,126.07564795978959
5.0,8.15276691780027,38.22,8.15276691780027,38.22,8.15276691780027,0.0,30.06723308219973,38.22,30.06723308219973,0.0,0.0,0.0,0.0,94.38200146681763
6.0,62.40256676210644,38.22,62.40256676210644,38.22,38.22,24.18256676210644,0.0,38.22,-24.18256676210644,0.0,0.0,0.0,0.0,117.3235986580195
7.0,72.81161460137864,38.22,72.81161460137864,38.22,38.22,34.59161460137863,0.0,38.22,-34.59161460137863,0.0,0.0,0.0,0.0,150.1400856829477
8.0,77.21885560627923,38.22,77.21885560627923,38.22,38.22,38.998855606279236,0.0,38.22,-38.998855606279236,0.0,0.0,0.0,0.0,187.13764863970846
9.0,83.92073707974066,38.22,83.92073707974066,38.22,38.22,45.70073707974067,0.0,38.22,-45.70073707974067,0.0,0.0,0.0,0.0,230.49317461585625
10.0,90.7363364622646,38.22,90.7363364622646,38.22,38.22,52.51633646226461,0.0,38.22,-52.51633646226461,0.0,0.0,0.0,0.0,280.31454589240786
11.0,96.02809696766947,38.22,96.02809696766947,38.22,38.22,57.80809696766947,0.0,38.22,-57.80809696766947,0.0,0.0,0.0,0.0,335.1561219777205
12.0,98.40419841349059,38.22,98.40419841349059,38.22,38.22,60.184198413490584,0.0,38.22,-60.184198413490584,0.0,0.0,0.0,0.0,392.2518658191572
13.0,101.4866474483476,38.22,101.4866474483476,38.22,38.22,53.74961983080877,0.0,38.22,-63.266647448347605,0.0,9.517027617538835,0.0,0.0,443.2432324292102
14.0,107.33379928629401,38.22,107.33379928629401,38.22,38.22,36.9707874462388,0.0,38.22,-69.11379928629401,0.0,32.143011840055216,0.0,0.0,478.31680099523254
15.0,117.2106982571977,38.22,117.2106982571977,38.22,38.22,42.95678682254406,0.0,38.22,-78.9906982571977,0.0,36.03391143465364,0.0,0.0,519.0691871916965
16.0,95.058646485591,38.22,95.058646485591,38.22,38.22,17.166866804010873,0.0,38.22,-56.838646485591,0.0,39.67177968158013,0.0,0.0,535.3551070085194
17.0,76.82471338564378,38.22,76.82471338564378,38.22,38.22,8.073842118763945,0.0,38.22,-38.60471338564377,0.0,30.530871266879828,0.0,0.0,543.0146261776875
18.0,55.70921131660395,106.67077730022454,55.70921131660395,106.67077730022454,53.83375793467575,0.09372947715938484,52.837019365548784,106.67077730022454,50.961565983620595,0.0,1.78172390476881,0.0,0.0,487.40843711068396
19.0,0.0,108.86583327053198,0.0,108.86583327053198,0.0,0.0,108.86583327053198,108.86583327053198,108.86583327053198,0.0,0.0,0.0,0.0,372.65377294167774
20.0,6.6372955258491135,105.08368260745394,6.6372955258491135,105.08368260745394,6.6372955258491135,0.0,98.44638708160483,105.08368260745394,98.44638708160483,0.0,0.0,0.0,0.0,268.88216941086176
21.0,12.471153453920179,113.6003056933209,12.471153453920179,113.6003056933209,12.471153453920179,0.0,98.78187082744495,111.25302428136511,101.12915223940072,2.3472814119557808,0.0,0.0,0.0,164.75693496177252
22.0,15.353077942895656,38.22,15.353077942895656,38.22,15.353077942895656,0.0,19.81265983207765,35.16573777497331,22.866922057104343,3.054262225026693,0.0,0.0,0.0,143.872557769941
23.0,37.35210943779289,38.22,37.35210943779289,38.22,32.77764208351084,4.574467354282047,3.138182329320952,35.915824412831796,0.867890562207112,2.304175587168207,0.0,0.0,0.0,144.9043439219101
24.0,0.0,38.22,0.0,38.22,0.0,0.0,24.743119613949958,24.743119613949958,38.22,13.476880386050043,0.0,0.0,0.0,118.82280578922077
25.0,12.976514024803926,38.22,12.976514024803926,38.22,12.976514024803926,0.0,12.159704640915761,25.13621866571969,25.243485975196073,13.083781334280312,0.0,0.0,0.0,106.00535167581621
26.0,7.368836242953087,38.22,7.368836242953087,38.22,7.368836242953087,0.0,14.885647911159884,22.25448415411297,30.851163757046912,15.965515845887028,0.0,0.0,0.0,90.31450106028521
27.0,12.391136424759763,38.22,12.391136424759763,38.22,12.391136424759763,0.0,10.933131860948007,23.32426828570777,25.828863575240234,14.895731714292229,0.0,0.0,0.0,78.78996818043487
28.0,12.786960332777713,38.22,12.786960332777713,38.22,12.786960332777713,0.0,9.955063668991839,22.74202400176955,25.433039667222285,15.477975998230445,0.0,0.0,0.0,68.29640969843261
29.0,12.108443779316744,38.22,12.108443779316744,38.22,12.108443779316744,0.0,10.07765619172066,22.186099971037404,26.111556220683255,16.033900028962595,0.0,0.0,0.0,57.673627351120686
30.0,68.03540744748103,38.22,68.03540744748103,38.22,38.22,29.81540744748103,0.0,38.22,-29.81540744748103,0.0,0.0,0.0,0.0,85.95900642111684
31.0,69.26814385937249,38.22,69.26814385937249,38.22,38.22,31.048143859372487,0.0,38.22,-31.048143859372487,0.0,0.0,0.0,0.0,115.41386193597313
32.0,71.65354913405359,38.22,71.65354913405359,38.22,38.22,33.43354913405359,0.0,38.22,-33.43354913405359,0.0,0.0,0.0,0.0,147.131711594001
33.0,76.01945153994619,38.22,76.01945153994619,38.22,38.22,37.79945153994619,0.0,38.22,-37.79945153994619,0.0,0.0,0.0,0.0,182.99141994541773
34.0,75.73732229618679,38.22,75.73732229618679,38.22,38.22,37.517322296186784,0.0,38.22,-37.517322296186784,0.0,0.0,0.0,0.0,218.58347699538828
35.0,76.85448612874909,38.22,76.85448612874909,38.22,38.22,38.63448612874909,0.0,38.22,-38.63448612874909,0.0,0.0,0.0,0.0,255.2353687144968
36.0,88.36134400948986,38.22,88.36134400948986,38.22,38.22,48.60686973059305,0.0,38.22,-50.14134400948985,0.0,1.5344742788968042,0.0,0.0,301.34789419842747
37.0,83.63529267447105,38.22,83.63529267447105,38.22,38.22,43.660889866153745,0.0,38.22,-45.41529267447105,0.0,1.7544028083173044,0.0,0.0,342.7682511924705
38.0,93.58309207991107,38.22,93.58309207991107,38.22,38.22,51.74609404373607,0.0,38.22,-55.36309207991108,0.0,3.616998036175007,0.0,0.0,391.85890635111406
39.0,97.756704035932,38.22,97.756704035932,38.22,38.22,51.3007554915726,0.0,38.22,-59.53670403593201,0.0,8.235948544359406,0.0,0.0,440.52707626334217
40.0,95.71787338993546,38.22,95.71787338993546,38.22,38.22,40.64416340730709,0.0,38.22,-57.497873389935464,0.0,16.853709982628374,0.0,0.0,479.08551525109027
41.0,88.80574634849756,38.22,88.80574634849756,38.22,38.22,22.94584897989067,0.0,38.22,-50.585746348497565,0.0,27.639897368606896,0.0,0.0,500.8538589379019
42.0,71.60206352027295,106.43124461652627,71.60206352027295,106.43124461652627,64.87150547380173,1.7030366226831766,41.559739142724524,106.43124461652627,34.82918109625331,0.0,5.027521423788039,0.0,0.0,458.6616897866555
43.0,24.191369106231694,105.25534251684648,24.191369106231694,105.25534251684648,24.191369106231694,0.0,81.06397341061479,105.25534251684648,81.06397341061479,0.0,0.0,0.0,0.0,373.2127590663652
44.0,9.06563022144885,113.62531449651588,9.06563022144885,113.62531449651588,9.06563022144885,0.0,104.53941251370895,113.6050427351578,104.55968427506704,0.020271761358092277,0.0,0.0,0.0,263.0185427999557
45.0,41.50422936594525,107.908667797346,41.50422936594525,107.908667797346,41.18644149837725,0.3177878675680012,59.55843850743699,100.74488000581424,66.40443843140075,7.16378779153176,0.0,0.0,0.0,200.53991632004718
46.0,25.304538782362066,38.22,25.304538782362066,38.22,24.957156913626225,0.3473818687358408,8.612638302109506,33.56979521573573,12.915461217637935,4.650204784264269,0.0,0.0,0.0,191.790953797672
