time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,1.1499770555132616,38.22,1.1499770555132616,38.22,1.1499770555132616,0.0,37.07002294448674,38.22,37.07002294448674,0.0,0.0,0.0,0.0,226.63734746969493
2.0,8.137975744913527,38.22,8.137975744913527,38.22,8.137975744913527,0.0,30.08202425508647,38.22,30.08202425508647,0.0,0.0,0.0,0.0,194.92810971152718
3.0,4.848465463638928,38.22,4.848465463638928,38.22,4.848465463638928,0.0,33.37153453636107,38.22,33.37153453636107,0.0,0.0,0.0,0.0,159.75142366156982
4.0,6.272354042825788,38.22,6.272354042825788,38.22,6.272354042825788,0.0,31.94764595717421,38.22,31.94764595717421,0.0,0.0,0.0,0.0,126.07564795978959
5.0,8.15276691780027,38.22,8.15276691780027,38.22,8.15276691780027,0.0,30.06723308219973,38.22,30.06723308219973,0.0,0.0,0.0,0.0,94.38200146681763
6.0,62.40256676210644,38.22,62.40256676210644,38.22,38.22,24.18256676210644,0.0,38.22,-24.18256676210644,0.0,0.0,0.0,0.0,117.3235986580195
7.0,72.81161460137864,38.22,72.81161460137864,38.22,38.22,34.59161460137863,0.0,38.22,-34.59161460137863,0.0,0.0,0.0,0.0,150.1400856829477
8.0,77.21885560627923,38.22,77.21885560627923,38.22,38.22,38.998855606279236,0.0,38.22,-38.998855606279236,0.0,0.0,0.0,0.0,187.13764863970846
9.0,83.92073707974066,38.22,83.92073707974066,38.22,38.22,45.70073707974067,0.0,38.22,-45.70073707974067,0.0,0.0,0.0,0.0,230.49317461585625
10.0,90.7363364622646,38.22,90.7363364622646,38.22,38.22,52.51633646226461,0.0,38.22,-52.51633646226461,0.0,0.0,0.0,0.0,280.31454589240786
11.0,96.02809696766947,38.22,96.02809696766947,38.22,38.22,57.80809696766947,0.0,38.22,-57.80809696766947,0.0,0.0,0.0,0.0,335.1561219777205
12.0,98.40419841349059,38.22,98.40419841349059,38.22,38.22,60.184198413490584,0.0,38.22,-60.184198413490584,0.0,0.0,0.0,0.0,392.2518658191572
13.0,101.4866474483476,38.22,101.4866474483476,38.22,38.22,53.74961983080877,0.0,38.22,-63.266647448347605,0.0,9.517027617538835,0.0,0.0,443.2432324292102
14.0,107.33379928629401,38.22,107.33379928629401,38.22,38.22,36.9707874462388,0.0,38.22,-69.11379928629401,0.0,32.143011840055216,0.0,0.0,478.31680099523254
15.0,117.2106982571977,38.22,117.2106982571977,38.22,38.22,42.95678682254406,0.0,38.22,-78.9906982571977,0.0,36.03391143465364,0.0,0.0,519.0691871916965
16.0,95.058646485591,38.22,95.058646485591,38.22,38.22,17.166866804010873,0.0,38.22,-56.838646485591,0.0,39.67177968158013,0.0,0.0,535.3551070085194
17.0,76.82471338564378,38.22,76.82471338564378,38.22,38.22,8.073842118763945,0.0,38.22,-38.60471338564377,0.0,30.530871266879828,0.0,0.0,543.0146261776875
18.0,55.70921131660395,123.35490688013937,55.70921131660395,123.35490688013937,54.73906145602114,0.0,68.61584542411822,123.35490688013937,67.64569556353541,0.0,0.9701498605828078,0.0,0.0,470.68717447160225
19.0,0.0,103.56413033794334,0.0,103.56413033794334,0.0,0.0,103.56413033794334,103.56413033794334,103.56413033794334,0.0,0.0,0.0,0.0,361.52099588412074
20.0,6.556843458869124,115.74726301832384,6.556843458869124,115.74726301832384,6.556843458869124,0.0,109.19041955945471,115.74726301832384,109.19041955945471,0.0,0.0,0.0,0.0,246.42418772502873
21.0,12.319987957509026,117.31914539925128,12.319987957509026,117.31914539925128,12.319987957509026,0.0,101.5040905842779,113.82407854178692,104.99915744174226,3.4950668574643595,0.0,0.0,0.0,139.4294817015722
22.0,15.166980028436313,38.22,15.166980028436313,38.22,15.166980028436313,0.0,20.447236820891707,35.614216849328024,23.053019971563685,2.605783150671976,0.0,0.0,0.0,117.8762016312795
23.0,36.89935659612267,38.22,36.89935659612267,38.22,32.49764208351084,4.4017145126118296,4.018473674374425,36.51611575788527,1.3206434038773287,1.703884242114734,0.0,0.0,0.0,117.81619149603122
24.0,0.0,38.22,0.0,38.22,0.0,0.0,25.742061738259036,25.742061738259036,38.22,12.477938261740963,0.0,0.0,0.0,90.68167590884065
25.0,12.819222945715394,38.22,12.819222945715394,38.22,12.819222945715394,0.0,12.81466988013856,25.633892825853955,25.400777054284607,12.586107174146045,0.0,0.0,0.0,77.17382781404238
26.0,7.2795170157657765,38.22,7.2795170157657765,38.22,7.2795170157657765,0.0,14.117367940809398,21.396884956575175,30.940482984234222,16.823115043424824,0.0,0.0,0.0,62.29281539417611
27.0,12.24094083173237,38.22,12.24094083173237,38.22,12.24094083173237,0.0,8.560514642053029,20.8014554737854,25.979059168267625,17.418544526214596,0.0,0.0,0.0,53.26924065680657
28.0,12.63196687419859,38.22,12.63196687419859,38.22,12.63196687419859,0.0,7.904008322998703,20.535975197197292,25.58803312580141,17.684024802802703,0.0,0.0,0.0,44.93768434160533
29.0,11.961674763809874,38.22,11.961674763809874,38.22,11.961674763809874,0.0,7.569699949506127,19.531374713316,26.258325236190124,18.688625286683997,0.0,0.0,0.0,36.95851999343835
30.0,67.21073584205702,38.22,67.21073584205702,38.22,37.94,29.270735842057015,0.0,37.94,-28.990735842057017,0.27999999999999997,0.0,0.0,0.0,64.72717820844639
31.0,68.4285299944104,38.22,68.4285299944104,38.22,37.94,30.488529994410396,0.0,37.94,-30.208529994410398,0.27999999999999997,0.0,0.0,0.0,93.65113739625565
32.0,70.78502126576204,38.22,70.78502126576204,38.22,37.94,32.845021265762036,0.0,37.94,-32.565021265762034,0.27999999999999997,0.0,0.0,0.0,124.81066049519804
33.0,75.0980036424923,38.22,75.0980036424923,38.22,37.94,37.1580036424923,0.0,37.94,-36.878003642492295,0.27999999999999997,0.0,0.0,0.0,160.06183793973062
34.0,74.8192941471421,38.22,74.8192941471421,38.22,37.94,36.8792941471421,0.0,37.94,-36.599294147142096,0.27999999999999997,0.0,0.0,0.0,195.0486083410164
35.0,75.92291659991577,38.22,75.92291659991577,38.22,37.94,37.98291659991577,0.0,37.94,-37.70291659991577,0.27999999999999997,0.0,0.0,0.0,231.0823669306021
36.0,87.29029741543543,38.22,87.29029741543543,38.22,37.94,49.295921753540185,0.0,37.94,-49.07029741543543,0.27999999999999997,0.0543756618952459,0.0,0.0,277.84858456019066
37.0,82.62153155114412,38.22,82.62153155114412,38.22,37.94,43.947770427817204,0.0,37.94,-44.401531551144124,0.27999999999999997,0.7337611233269217,0.0,0.0,319.54110035161915
38.0,92.44875156985155,38.22,92.44875156985155,38.22,37.94,52.697404392445186,0.0,37.94,-54.228751569851546,0.27999999999999997,1.8113471774063648,0.0,0.0,369.53424774934564
39.0,96.57177429004193,38.22,96.57177429004193,38.22,37.94,49.943585865669384,0.0,37.94,-58.351774290041924,0.27999999999999997,8.688188424372544,0.0,0.0,416.9148935048579
40.0,94.55765674278473,38.22,94.55765674278473,38.22,37.94,41.10961922764788,0.0,37.94,-56.33765674278473,0.27999999999999997,15.508037515136849,0.0,0.0,455.9149026553437
41.0,87.72931305942487,38.22,87.72931305942487,38.22,37.94,28.62344619331387,0.0,37.94,-49.50931305942487,0.27999999999999997,21.165866866111,0.0,0.0,483.0694879915881
42.0,70.73415972002722,115.46089119937244,70.73415972002722,115.46089119937244,64.50634455095718,1.2013223446033217,49.11289956540209,113.61924411635927,44.72673147934522,1.8416470830131701,5.026492824466714,0.0,0.0,432.4396207282334
43.0,23.898140389792523,110.40597984157306,23.898140389792523,110.40597984157306,23.898140389792523,0.0,85.54244527990095,109.44058566969348,86.50783945178054,0.9653941718795882,0.0,0.0,0.0,342.2699661599645
44.0,8.955743794522197,102.82270628258188,8.955743794522197,102.82270628258188,8.955743794522197,0.0,90.89826345442515,99.85400724894734,93.86696248805968,2.968699033634537,0.0,0.0,0.0,246.45478353662165
45.0,41.00114779787319,109.10371285813072,41.00114779787319,109.10371285813072,40.678042871128,0.3231049267451825,65.57001599114186,106.24805886226986,68.10256506025755,2.8556539958608695,0.0,0.0,0.0,177.6444422022522
