season,strategy,num_households,total_generation_kwh,total_consumption_kwh,total_solar_used_kwh,total_battery_charge_kwh,total_battery_discharge_kwh,total_self_consumed_kwh,total_grid_import_kwh,total_grid_export_kwh,total_curtailed_kwh,total_unmet_load_kwh,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,avg_soc_kwh_per_house,avg_net_cost_per_house,total_net_cost,avg_self_consumption_ratio,avg_self_sufficiency_ratio
Spring,LOAD_PRIORITY,50,35488.2048851757,36449.74786006793,18417.14750932127,14988.011569676784,13679.048344857112,32096.195854178382,4353.552005889546,2083.0458061776408,0.0,0.0,0.026709527080339822,4.4987160210534345,-1.815050051718723,4.2627250562733705,27.80845557714565,1390.4227788572825,0.8871583220819566,0.9095077849198145
Spring,CHARGE_PRIORITY,50,35460.7486089248,36600.380446540046,1576.8377812274528,32278.491220648033,29278.95153382935,30855.789315056798,5744.59113148325,1605.4196070493147,0.0,0.0,0.03165643993375698,4.495736960040371,-1.815050051718723,3.7467162293294654,57.27131404536108,2863.565702268054,0.8606476666450437,0.8847951752758381
Spring,PRODUCE_PRIORITY,50,35546.46507355485,36499.85954468335,0.0,0.0,290.2970892034572,290.2970892034572,36209.56245547989,35546.46507355485,0.0,0.0,0.026483179753569366,4.493000746479581,-1.815050051718723,0.03134467330736286,-96.69293449178896,-4834.646724589448,0.008199888357369556,0.0084645352136613
Summer,LOAD_PRIORITY,50,35511.37366043237,36511.96953798466,18401.571464312365,14995.055971469903,13681.169375849895,32082.74084016226,4429.2286978224,2114.7462246500986,0.0,0.0,0.027794329932008078,4.498983174575816,-1.815050051718723,4.253110572009873,28.372998423634236,1418.6499211817118,0.8869719338584738,0.9109497921670037
Summer,CHARGE_PRIORITY,50,35598.95552018003,36583.33682716132,1559.200432880024,32445.179056975605,29420.562840474533,30979.763273354558,5603.57355380677,1594.5760303244006,0.0,0.0,0.027343925193924846,4.4997905581586215,-1.815050051718723,3.738290737781747,55.35123476126235,2767.5617380631174,0.8601232365706077,0.8851631366395545
Summer,PRODUCE_PRIORITY,50,35388.47504678909,36501.52426397959,0.0,0.0,290.2970892034572,290.2970892034572,36211.22717477613,35388.47504678909,0.0,0.0,0.030918033810847217,4.492613537674565,-1.815050051718723,0.03134467330736286,-93.82414322056164,-4691.207161028082,0.00822660769446249,0.00847724170660427
Fall,LOAD_PRIORITY,50,35396.88206500512,36509.252657443605,18317.253794074022,15040.093498379707,13716.32838990376,32033.58218397778,4475.670473465834,2039.534772551387,0.0,0.0,0.030899183123291568,4.497422861144268,-1.815050051718723,4.209687796465293,30.423431196062552,1521.1715598031276,0.8884245526771702,0.9098369848129947
Fall,CHARGE_PRIORITY,50,35580.80403912266,36481.54391543554,1580.4793101344042,32419.48559425137,29370.25473756151,30950.734047695914,5530.809867739632,1580.8391347368838,0.0,0.0,0.02502055211980236,4.49697078299146,-1.815050051718723,3.7824094798501817,54.50704359083056,2725.352179541528,0.859277928452734,0.8865888185180704
Fall,PRODUCE_PRIORITY,50,35460.454302941376,36576.77974839506,0.0,0.0,290.2970892034572,290.2970892034572,36286.4826591916,35460.454302941376,0.0,0.0,0.031009040151491175,4.497054177212116,-1.815050051718723,0.03134467330736286,-93.99093756507074,-4699.546878253537,0.008196423928080468,0.00843422457946033
Winter,LOAD_PRIORITY,50,35317.36654085539,36463.09362722265,18272.070355650816,14959.621339235222,13650.56354907566,31922.633904726477,4540.459722496177,2085.674845969354,0.0,0.0,0.031825752399090586,4.485603577228945,-1.815050051718723,4.2243118617889,30.564748609994282,1528.237430499714,0.8873256055504339,0.9096156955843621
Winter,CHARGE_PRIORITY,50,35479.4788069307,36528.737457417206,1590.627993522304,32278.891751031908,29248.28577670931,30838.913770231615,5689.823687185592,1609.9590623764832,0.0,0.0,0.029146073624625287,4.499300810619964,-1.815050051718723,3.7525622002164143,56.36809218500717,2818.4046092503586,0.8586879160959087,0.8838548957925874
Winter,PRODUCE_PRIORITY,50,35355.33074378029,36370.362882948524,0.0,0.0,290.2970892034572,290.2970892034572,36080.06579374507,35355.33074378029,0.0,0.0,0.02819533719911789,4.493520694995151,-1.815050051718723,0.03134467330736286,-95.19496648186907,-4759.748324093453,0.008220943246299007,0.008499962720897094
