hour_index,generation_kw,load_kw,generation_kwh,load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,soc,cloud,inverter_failed_frac,season,strategy,time_step_min
0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.22295372330527,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
1,0.8659648709668557,0.5,0.8659648709668557,0.5,0.0,0.0,0.0,0.0,6.5174338563952645,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
2,1.672915667051933,0.5,1.672915667051933,0.5,0.0,0.0,0.0,0.0,7.5774547320797385,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
3,2.365860025051277,0.5,2.365860025051277,0.5,0.0,0.0,0.0,0.0,9.294860346676526,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
4,2.8975749321119277,0.5,2.8975749321119277,0.5,0.0,0.0,0.0,0.0,11.516695012926233,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
5,3.231824896018132,0.5,3.231824896018132,0.5,0.0,0.6412378780434955,0.0,0.0,13.5,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
6,3.3458313341038664,0.5,3.3458313341038664,0.5,0.0,2.8458313341038664,0.0,0.0,13.5,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
7,3.231824896018133,0.5,3.231824896018133,0.5,0.0,2.731824896018133,0.0,0.0,13.5,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
8,2.897574932111928,0.5,2.897574932111928,0.5,0.0,2.397574932111928,0.0,0.0,13.5,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
9,2.365860025051277,0.5,2.365860025051277,0.5,0.0,1.8658600250512771,0.0,0.0,13.5,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
10,1.6729156670519345,0.5,1.6729156670519345,0.5,0.0,1.1729156670519345,0.0,0.0,13.5,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
11,0.8659648709668566,0.5,0.8659648709668566,0.5,0.0,0.3659648709668566,0.0,0.0,13.5,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
12,4.0974616337972186e-16,0.5,4.0974616337972186e-16,0.5,0.0,0.0,0.0,0.0,12.97295372330527,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
13,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,12.44590744661054,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
14,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.918861169915811,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
15,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.391814893221081,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
16,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.864768616526352,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
17,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.337722339831622,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
18,0.0,2.0484348167349733,0.0,2.0484348167349733,0.0,0.0,0.0,0.0,8.178482453407584,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
19,0.0,2.741681940720377,0.0,2.741681940720377,0.0,0.0,0.0,0.0,5.288495935931873,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
20,0.0,1.2199586620748897,0.0,1.2199586620748897,0.0,0.0,0.0,0.0,4.0025465947957635,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
21,0.0,0.6900706956028259,0.0,0.6900706956028259,0.0,0.0,0.0,0.0,3.2751482132485403,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
22,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2.7481019365538106,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
23,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2.221055659859081,0.3308337331792267,0.0,Spring,CHARGE_PRIORITY,60
24,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.694009383164351,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
25,0.7589358880428831,0.5,0.7589358880428831,0.5,0.0,0.0,0.0,0.0,1.886952907747039,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
26,1.4661515495164992,0.5,1.4661515495164992,0.5,0.0,0.0,0.0,0.0,2.750820118489493,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
27,2.073451405820562,0.5,2.073451405820562,0.5,0.0,0.0,0.0,0.0,4.190822559816088,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
28,2.5394489753584133,0.5,2.5394489753584133,0.5,0.0,0.0,0.0,0.0,6.072909112295376,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
29,2.832387293863445,0.5,2.832387293863445,0.5,0.0,0.0,0.0,0.0,8.232901354899388,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
30,2.932303099032999,0.5,2.932303099032999,0.5,0.0,0.0,0.0,0.0,10.487682053079027,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
31,2.8323872938634453,0.5,2.8323872938634453,0.5,0.0,0.0,0.0,0.0,12.64767429568304,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
32,2.539448975358414,0.5,2.539448975358414,0.5,0.0,1.1410187973754793,0.0,0.0,13.5,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
33,2.073451405820562,0.5,2.073451405820562,0.5,0.0,1.573451405820562,0.0,0.0,13.5,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
34,1.4661515495165005,0.5,1.4661515495165005,0.5,0.0,0.9661515495165005,0.0,0.0,13.5,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
35,0.7589358880428839,0.5,0.7589358880428839,0.5,0.0,0.2589358880428839,0.0,0.0,13.5,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
